													Table A.1. 
												Optical R–band light curve

t ? t0 [s] 		texp [s] 		F? [mJy] 		Ref. 		t ? t0 [s] 			texp [s] 			F? [mJy] 			Ref.
24 			12 			11.08 ± 2.053 		[1] 		3.949 × 104 			150 				0.7666 ± 0.04238 		[8]
79.2 			30 			9.388 ± 1.739 		[2] 		4.195 × 104 			150 				0.7187 ± 0.04637 		[8]
126 			30 			12.84 ± 2.379 		[2] 		4.457 × 104 			150 				0.6033 ± 0.04449 		[8]
171.6 			30 			8.027 ± 1.487 		[2] 		4.520 × 104 			180 				0.5967 ± 0.01649 		[9]
217.2 			30 			11.08 ± 2.053 		[2] 		4.609 × 104 			180 				0.6283 ± 0.01736 		[9]
264 			30 			11.39 ± 2.11 		[2] 		4.822 × 104 			1200 				0.5018 ± 0.05558 		[10]
1366 			30 			4.705 ± 0.8716 		[2] 		5.077 × 104 			1200 				0.5018 ± 0.04165 		[10]
1468 			30 			3.737 ± 0.6923 		[2] 		5.242 × 104 			150 				0.6376 ± 0.03525 		[11]
1501 			30 			6.033 ± 1.118 		[2] 		5.260 × 104 			150 				0.4411 ± 0.03253 		[11]
1556 			30 			5.207 ± 0.9645 		[2] 		5.499 × 104 			180 				0.4186 ± 0.02237 		[9]
1612 			30 			3.986 ± 0.7384 		[2] 		5.643 × 104 			180 				0.4577 ± 0.01855 		[9]
1823 			30 			4.06 ± 0.7522 		[2] 		5.740 × 104 			180 				0.3942 ± 0.01707 		[9]
1889 			30 			3.377 ± 0.6256 		[2] 		5.917 × 104 			180 				0.3213 ± 0.02192 		[9]
1973 			30 			4.098 ± 0.7591 		[2] 		6.344 × 104 			180 				0.3109 ± 0.03385 		[9]
2087 			180	 		3.196 ± 0.592 		[3] 		6.451 × 104 			180 				0.2334 ± 0.02149 		[12]
2105 			30 			4.619 ± 0.8557 		[2] 		6.452 × 104 			180 				0.3123 ± 0.01871 		[9]
2152 			30 			4.927 ± 0.9127 		[2] 		7.776 × 104 			600 				0.5978 ± 0.02203 		[13]
2200 			30 			8.405 ± 1.557 		[2] 		1.119 × 105 			120 				0.1108 ± 0.01022 		[6]
2360 			300	 		6.495 ± 1.203 		[3] 		1.134 × 105 			120 				0.09291 ± 0.008557 		[14]
2523 			30 			7.595 ± 1.407 		[2] 		1.318 × 105 			1800 				0.1108 ± 0.01022 		[15]
2984 			300	 		5.303 ± 0.9824 		[3] 		1.358 × 105 			900 				0.09216 ± 0.0085 		[15]
3250 			300 			5.207 ± 0.9645 		[3] 		1.476 × 105 			360 				0.1602 ± 0.04482 		[16]
5083 			300 			4.331 ± 0.8022 		[3] 		1.506 × 105 			3000 				0.05018 ± 0.005558 		[17]
8012 			300 			3.377 ± 0.6256 		[3] 		1.668 × 105 			300 				0.04705 ± 0.001734 		[18]
1.045 × 104 		300 			2.809 ± 0.5204 		[3] 		2.081 × 105 			3300 				0.03877 ± 0.001786 		[19]
1.173 × 104 		300 			2.358 ± 0.4368 		[3] 		2.523 × 105 			300 				0.02151 ± 0.001586 		[18]
1.286 × 104 		300 			1.805 ± 0.3344 		[3] 		2.915 × 105 			4680 				0.02942 ± 0.001378 		[17]
1.893 × 104 		2220 			1.89 ± 0.08709 		[4] 		3.798 × 105 			4920 				(105.8 ± 6.827) × 10?4		[19]	
2.092 × 104 		60 			1.332 ± 0.1229 		[5] 		4.639 × 105 			2280 				(84.05 ± 9.309) × 10?4		[19]
2.662 × 104 		60 			1.108 ± 0.1022 		[6] 		1.698 × 106 			2640 				(14.61 ± 2.706) × 10?4		[20]
2.700 × 104 		300 			0.5862 ± 0.1080 	[7] 		2.929 × 106 			636 				(11.08 ± 4.175) × 10?4		[21]
3.089 × 104 		60 			0.7187 ± 0.1331 	[2] 		7.977 × 106 			4812 				(4.411 ± 1.662) × 10?4		[21]
