	Table 8
Ins. 		Band 		T-T0 (s) 		Exp(s) 		Mag 		Err
UVOT 		v 		643 			10 		15.30 		0.09
UVOT 		v 		817 			10 		15.57 		0.10
UVOT 		v 		4219 			100 		17.72 		0.14
UVOT 		v 		5654 			100 		18.10 		0.14
UVOT 		v 		10933 			453 		18.99 		0.10
UVOT 		v 		23772 			93 		19.75 		0.40
UVOT 		v 		40923 			205 		20.74 		0.65
UVOT 		v	 	74215 			454 		>22.2 		nan
UVOT 		v 		91482 			6229 		22.19 		1.54
UVOT 		v 		142800 			11769 		>22.1 		nan
UVOT 		v 		265545 			25697 		>23.9 		nan
UVOT 		v 		328350 			54 		>21.9 		nan
UVOT 		b 		569 			10 		15.70 		0.06
UVOT 		b 		742 			10 		15.94 		0.07
UVOT 		b 		5039 			100 		18.45 		0.08
UVOT 		b 		6474 			100 		18.76 		0.10
UVOT 		b 		27297 			281 		20.45 		0.20
UVOT 		b 		44612 			233 		22.08 		1.43
UVOT 		b 		56976 			3651 		22.00 		0.38
UVOT 		b 		80901 			364 		22.26 		0.85
UVOT 		b 		142563 			11702 		22.59 		1.21
UVOT 		b 		264961 			25578 		23.41 		2.01
UVOT 		b 		328171 			42 		>21.5 		nan
UVOT 		u 		313 			5 		14.52 		0.08
UVOT 		u 		323 			5 		14.57 		0.08
UVOT 		u 		333 			5 		14.69 		0.08
UVOT 		u 		343 			5 		14.56 		0.08
UVOT 		u 		353 			5 		14.65 		0.08
UVOT 		u 		363 			5 		14.77 		0.08
UVOT 		u 		373 			5 		14.89 		0.09
UVOT 		u 		383 			5 		14.72 		0.08
UVOT 		u 		393 			5 		14.81 		0.08
UVOT 		u 		403 			5 		14.77 		0.08
UVOT 		u 		413 			5 		14.86 		0.09
UVOT 		u 		423 			5 		14.92 		0.09
UVOT 		u 		433 			5 		14.89 		0.09
UVOT 		u 		443 			5 		14.96 		0.09
UVOT 		u 		453 			5 		14.90 		0.09
UVOT 		u 		463 			5 		15.05 		0.09
UVOT		u 		473 			5 		15.01 		0.09
UVOT 		u 		483 			5 		15.13 		0.10
UVOT 		u 		493 			5 		14.94 		0.09
UVOT 		u 		503 			5 		15.07 		0.09
UVOT 		u 		513 			5 		15.14 		0.10
UVOT 		u 		523 			5 		15.12 		0.10
UVOT 		u 		533 			5 		15.20 		0.10
UVOT 		u 		543 			5 		15.25 		0.10
UVOT 		u 		553 			5 		15.23 		0.10
UVOT 		u 		717 			10 		15.44 		0.08
UVOT 		u 		4834 			100 		17.74 		0.08
UVOT 		u 		6269 			100 		18.27 		0.10
UVOT 		u 		16707 			116 		19.13 		0.15
UVOT 		u 		34925 			6 		>20.3 		nan
UVOT 		u 		56063 			3776 		21.56 		0.34
UVOT 		u 		69374 			5761 		21.79 		0.41
UVOT 		u 		86665 			6117 		22.73 		1.72
UVOT 		u 		108800	 		305 		>23.1 		nan
UVOT 		u 		142443 			11665 		>22.7 		nan
UVOT 		u 		264669 			25515 		>23.1 		nan
UVOT 		u 		328082 			42 		>21.6 		nan
UVOT 		white 		101 			5 		15.21 		0.05
UVOT 		white 		111 			5 		15.01 		0.05
UVOT 		white 		121 			5 		14.89 		0.05
UVOT 		white 		131 			5 		14.80 		0.05
UVOT 		white 		141 			5 		14.76 		0.05
UVOT 		white 		151 			5 		14.72 		0.05
UVOT 		white 		161 			5 		14.56 		0.05
UVOT 		white 		171 			5 		14.66 		0.05
UVOT 		white 		181 			5 		14.61 		0.05
UVOT 		white 		191 			5 		14.70 		0.05
UVOT 		white 		201 			5 		14.77 		0.05
UVOT 		white 		211 			5 		14.72 		0.05
UVOT 		white 		221 			5 		14.72 		0.05
UVOT 		white 		231 			5 		14.80 		0.05
UVOT 		white 		241 			5 		14.70 		0.05
UVOT 		white 		593 			10	 	15.74 		0.04
UVOT 		white 		767 			10 		16.05 		0.05
UVOT 		white 		868 			75 		16.25 		0.03
UVOT 		white 		5244 			100 		18.54 		0.05
UVOT 		white 		6678 			57 		18.80 		0.08
UVOT 		white 		57887 			225 		21.69 		0.29
UVOT 		white 		142681 			11739 		>24.4 		nan
UVOT 		white 		265252 			25641 		>27.0 		nan
UVOT 		white 		328259 			42 		>21.5 		nan
UVOT 		uvw1 		692 			10 		17.52 		0.33
UVOT 		uvw1 		4629 			100 		20.01 		0.41
UVOT 		uvw1 		6064 			100 		20.71 		0.68
UVOT 		uvw1 		15801 			450 		21.39 		0.60
UVOT 		uvw1 		34019 			450 		22.02 		0.96
UVOT 		uvw1 		51655 			5523 		>21.8 		nan
UVOT 		uvw1 		68467 			5757 		>23.6 		nan
UVOT 		uvw1 		85759 			5610 		>21.7 		nan
UVOT 		uvw1 		107894 			450 		21.83 		1.27
UVOT 		uvm2 		677 			10 		20.05 		0.86
UVOT 		uvw2 		628 			10 		18.96 		0.89
OSN 		V		24852			600 		19.83 		0.11
OSN 		V 		27020 			600 		19.96 		0.11
OSN 		V 		29186 			600 		20.07 		0.11
OSN 		V 		115713 			600 		22.63 		0.19
OSN 		V 		117851 			600 		22.97 		0.22
OSN 		V 		120677 			600 		23.11 		0.30
OSN 		I 		25781 			600 		18.99 		0.20
OSN 		I 		27944 			600 		19.14 		0.20
OSN 		I 		29931 			600 		19.33 		0.20
OSN 		I 		116628 			600 		22.17 		0.35
OSN 		I 		119433 			600 		22.29 		0.33
OSN 		I 		121592 			600 		22.03 		0.46
OSN 		R 		24537 			300 		18.89 		0.15
OSN 		R 		25469 			300 		18.89 		0.15
OSN 		R 		26393 			300 		19.03 		0.15
OSN 		R 		26706 			300 		19.04 		0.15
OSN		R 		27632 			300 		19.06 		0.15
OSN 		R 		28557 			300 		19.09 		0.15
OSN 		R 		28871 			300 		19.17 		0.15
OSN 		R 		29798 			300 		19.22 		0.15
OSN 		R 		30723 			300 		19.28 		0.15
OSN 		R 		115404 			300 		21.89	 	0.27
OSN 		R 		116320 			300 		21.97	 	0.26
OSN 		R 		117235 			300 		22.32 		0.34
OSN 		R 		117543			2798 		21.94 		0.20
OSN 		R 		120369 			2130 		21.90 		0.22
OSN 		R 		376511 			5329 		22.65 		0.27
BOOTES 		i 		28937 			1200 		19.57 		0.18
BOOTES 		i 		30413 			1800 		19.74 		0.18
