0.0961 ,UKIRT/UFTI, K 540 18.05 40.17
0.1057 ,UKIRT/UFTI, J 405 19.62 22.54
0.1270 ,UKIRT/UFTI, H 270 18.88 28.65
0.1316 ,UKIRT/UFTI, K 540 18.35 30.36
0.7254 ,NOT/StanCam, i 900 23.47 1.38
0.7384 ,NOT/StanCam, R 1800 23.72 1.01
0.7640 ,NOT/StanCam, B 900 21.95 6.82
0.8896 ,CT1.3m/ANDICAM, J 60 20.67 8.59
0.8897 ,CT1.3m/ANDICAM, I 360 21.79 4.69
0.9271 ,VLT/FORS, i 119 24.74 0.31
1.1270 ,UKIRT/UFTI, K 1440 17.47 68.53
2.8488 ,CT1.3m/ANDICAM, J 1800 20.80 7.59
2.8488 ,CT1.3m/ANDICAM, I 2160 21.95 4.04
4.9158 ,CT1.3m/ANDICAM, J 1800 19.16 34.27
4.9158 ,CT1.3m/ANDICAM, I 2160 21.85 4.43
6.9235 ,CT1.3m/ANDICAM, J 1800 19.46 26.13
6.9235 ,CT1.3m/ANDICAM, I 2160 21.90 4.24
9.9057 ,CT1.3m/ANDICAM, J 1800 19.93 16.94
9.9057 ,CT1.3m/ANDICAM, I 2160 20.70 12.71
13.9056 ,CT1.3m/ANDICAM, J 1800 19.99 15.96
13.9008 ,CT1.3m/ANDICAM, I 2160 21.71 5.03
16.9389 ,CT1.3m/ANDICAM, I 2160 21.83 4.50
18.1155 ,Keck-I/LRIS, R 300 25.10 0.28
18.1155 ,Keck-I/LRIS, g' 30 23.32 1.70
18.1221 ,Keck-I/LRIS, R 10 23.39 1.37
18.1237 ,Keck-I/LRIS, R 10 23.26 1.54
18.1257 ,Keck-I/LRIS, R 600 25.39 0.22
18.1307 ,Keck-I/LRIS, g' 200 25.00 0.36
18.1341 ,Keck-I/LRIS, R 600 25.37 0.22
18.1342 ,Keck-I/LRIS, g' 630 25.50 0.23
18.1422 ,Keck-I/LRIS, g' 630 25.70 0.19
18.1423 ,Keck-I/LRIS, R 600 25.44 0.21
18.1506 ,Keck-I/LRIS, R 600 25.44 0.21
18.1506 ,Keck-I/LRIS, g' 630 25.80 0.17
18.1416 ,Keck-I/LRIS, R 2720 27.40 0.03a
18.1460 ,Keck-I/LRIS, g' 2120 26.25 0.12b
20.9249 ,CT1.3m/ANDICAM, J 1800 19.77 19.76
20.9250 ,CT1.3m/ANDICAM, I 2160 21.33 7.13
22.6958 ,NOT/StanCam, R 3600 24.80 0.37
23.8962 ,CT1.3m/ANDICAM, J 1800 20.00 15.95
23.8962 ,CT1.3m/ANDICAM, I 2160 21.63 5.43
25.9324 ,CT1.3m/ANDICAM, J 1800 20.02 15.65
25.9324 ,CT1.3m/ANDICAM, I 2160 21.67 5.20
27.8593 ,CT1.3m/ANDICAM, J 1800 20.21 13.10
27.8593 ,CT1.3m/ANDICAM, I 2160 22.11 3.48
