COATLI observations of GRB 180205A
ti (s) 		tf (s)		texp (s)	w (AB)
217.0 		217.8 		0.8 		15.639 ± 0.078
221.8 		226.8 		5.0 		15.568 ± 0.017
230.8 		235.8 		5.0 		15.624 ± 0.018
239.8 		244.8 		5.0 		15.629 ± 0.018
248.8 		253.8 		5.0 		15.648 ± 0.018
257.8 		262.8 		5.0 		15.723 ± 0.019
268.1 		273.1 		5.0 		15.762 ± 0.020
277.2 		282.2 		5.0 		15.771 ± 0.020
286.2 		291.2 		5.0 		15.766 ± 0.021
295.2 		300.2 		5.0 		15.796 ± 0.021
305.3 		310.3 		5.0 		15.791 ± 0.021
314.3 		319.3 		5.0 		15.825 ± 0.021
323.3 		328.3 		5.0 		15.824 ± 0.021
350.4		355.4 		5.0 		15.866 ± 0.021
359.3		364.3 		5.0 		15.954 ± 0.022
368.3 		373.3 		5.0 		15.876 ± 0.021
377.4 		382.4 		5.0 		15.928 ± 0.022
386.4 		391.4 		5.0 		15.936 ± 0.022
396.4 		401.4 		5.0 		15.925 ± 0.023
405.4 		410.4 		5.0 		15.956 ± 0.022
414.4 		419.4 		5.0 		15.945 ± 0.022
423.4 		428.4 		5.0 		15.981 ± 0.023
441.4 		446.4 		5.0 		15.978 ± 0.023
450.4 		455.4		5.0 		16.069 ± 0.024
468.4 		473.4		5.0 		16.061 ± 0.024
477.4 		482.4 		5.0 		16.053 ± 0.024
496.6 		501.6 		5.0 		16.088 ± 0.024
505.6 		510.6 		5.0 		16.122 ± 0.025
515.1 		520.1 		5.0 		16.131 ± 0.025
525.5 		530.5 		5.0 		16.146 ± 0.026
543.6 		548.6 		5.0 		16.195 ± 0.026
552.6 		557.6 		5.0 		16.151 ± 0.026
570.6 		575.6 		5.0 		16.225 ± 0.027
580.8 		585.8 		5.0 		16.253 ± 0.029
598.8 		603.8 		5.0 		16.228 ± 0.026
616.8 		621.8 		5.0 		16.226 ± 0.026
625.8 		630.8 		5.0 		16.215 ± 0.026
643.8 		648.8 		5.0 		16.277 ± 0.028
652.8		657.8 		5.0 		16.284 ± 0.028
673.2 		678.2 		5.0 		16.352 ± 0.029
682.2 		687.2 		5.0 		16.344 ± 0.029
691.2 		696.2 		5.0 		16.313 ± 0.029
709.2 		714.2 		5.0 		16.422 ± 0.031
718.2 		723.2 		5.0 		16.373 ± 0.030
727.2 		732.2 		5.0 		16.400 ± 0.031
736.2 		741.2 		5.0 		16.418 ± 0.031
745.2 		750.2 		5.0 		16.404 ± 0.031
754.2 		759.2 		5.0 		16.432 ± 0.031
764.1 		769.1 		5.0 		16.417 ± 0.033
777.0 		782.0 		5.0 		16.430 ± 0.031
786.0 		791.0 		5.0 		16.530 ± 0.033
813.1 		818.1 		5.0 		16.472 ± 0.032
822.2 		827.2 		5.0 		16.455 ± 0.032
840.2 		845.2 		5.0 		16.519 ± 0.033
