GRB	GCN	Telescope
051006	4094	2.6m-Shajn
051016	4105	Lulin/1m
051016	4106	University_of_Miyazaki/30cm
051016	4110	Gemini-North-NIRI
051016	4098	Swope-40-inch,Magellan
051016	4185	1.5m-MAO
051016	4186	Keck-I-LRIS
051016	4109	Swift/UVOT
051016	4107	Swift/UVOT
051016	4112	14-inch-Automated-Response
051022	4155	Swift/UVOT
051022	5079	SOAR-4.1m
051022	4156	200"-Hale
051022	4130	14-inch-Automated-Response
051022	4133	University_of_Miyazaki/30cm
051022	4134	SSO/40-inch
051022	4143	1.5m-Carlos-Snchez
051022	4149	WIYN-0.9m
051022	4164	Observatorio-de-Sierra-Nevada/1.5m
051022	4181	Russian-Turkish-1.5m
051022	4246	Tautenburg-1.34m-Schmidt
051028	4278	IAO/2m-HCT
051028	4175	La-Palma/William-Herschel
051028	4178	1.34m-Tautenburg-Schmidt
051028	4177	Swift/UVOT
051028	4176	La-Palma/4.2m-William-Herschel
051109	4231	Swift/UVOT
051109	4277	1m-Sampurnanand
051109	4214	McDonald/ROTSE-IIIb
051109	4215	MDM-2.4m
051109	4218	automated-0.6m-Super-LOTIS
051109	4219	New-Mexico-Skies/0.3m
051109	4220	Skynet/PROMPT-3,-5
051109	4221	9.2m-Hobby-Eberly
051109	4224	Kiso-1.05m-Schmidt
051109	4225	automated-0.6m-Super-LOTIS
051109	4230	Lulin-1m
051109	4239	Raptor-S
051109	4240	0.76m-Katzman-Automatic-Imaging
051109	4241	robotic-0.25m-GETS
051109	4259	1m-Sampurnanand
051109	4273	CrAO/0.38m
051109	4295	GAO-150cm
051109	4296	GAO-150cm
051111	4258	Lulin-1m
051111	4254	0.76m-Katzman-Automatic-Imaging
051111	4307	1.5m-MAO
051111	4298	1.52m-Loiano
051111	4252	0.6m-automated-Super-LOTIS
051111	4255	Keck-HIRESr
051111	4263	Swift/UVOT
051111	4267	Haleakala/AEOS-RUCCD
051111	4262	Lulin-1m
051111	4250	2m-Faulkes-North
051111	4251	McDonald/ROTSE-IIIb
051111	4253	New-Mexico-Skies/-0.3m
051221	4363	Swift/UVOT
051221	4386	TAROT-robotic-25cm
051221	4369	Gemini-north-GMOS
051221	4380	RAPTOR-S
051221	4392	MDM/1.3m
051221	4612	MAO/1.5m
051221	4613	MAO/1.3m
051221	4373	Swift/UVOT
051221	4390	Swift/UVOT
051221	4420	Kuiper/1.54m
060108	4447	2m-Faulkes
060108	4451	Mitsume-50cm
060108	4458	Palomar-200inch-Hale
060108	4459	ISAS/1.3m
060108	4502	2m-Faulkes-North
060108	4539	BRi'-Faulkes-North
060108	4450	Swift/UVOT
060108	4446	University_of_Miyazaki/30cm
060111	4496	Mitsume-50cm
060111	4483	TAROT-robotic-25cm
060111	4489	Gualba/12"
060111	4490	automated-Palomar-60inch
060111	4482	Swift/UVOT
060111	4497	Swift/UVOT
060111	4495	TAROT-robotic-25cm
060111	4494	Russian-Turkish-1.5m
060111	4493	Russian-Turkish-1.5m
060115	4510	Mitsume-50cm
060115	4530	**WARNING**
060115	4526	La-silla/-REM,ROSS
060115	4516	Swift/UVOT
060115	24485	60cm-robotic
060115	24488	Las-Cumbres/1m
060115	4511	University_of_Miyazaki/30cm
060116	4524	Lulin/1m
060116	4568	Haleakala/AEOS
060116	4521	2m-Faulkes
060116	4527	Swift/UVOT
060116	4541	ESO-NTT-3.5m
060116	4537	PROMPT
060124	4574	Tautenburg-1.34m-Schmidt
060124	4575	Kiso-1.05m-Schmidt
060124	4576	University_of_Miyazaki/30cm
060124	4581	TAROT-robotic-25cm
060124	4587	1.82m-Copernico
060124	4588	0.8m-Xinglong
060124	4579	Tautenburg-1.34m-Schmidt
060124	4591	MDM-2.4m
060124	4592	Keck-10m
060124	4603	CrAO/AT-64
060124	4605	1.52m-Loiano
060124	4607	USNOFS-1.0m
060124	4609	CrAO/2.6m-Shajn
060124	4610	CrAO/2.6m-Shajn
060124	4580	Swift/UVOT
060124	4589	ARIES-Nainital/104cm
060124	4597	IAO/2m-HCT
060204	4674	Swift/UVOT
060204	4698	Swift/UVOT
060204	4829	robotic-0.25m-GETS
060204	4658	University_of_Miyazaki/30cm
060204	4660	0.35m-ART-3b
060204	4661	2m-Faulkes
060204	4665	Liverpool
060204	4667	10m-Keck-I
060204	4668	Observatorio-Sierra-Nevada/1.5m
060204	4673	Asiago-AFOSC
060204	4675	Malargue/FRAM
060204	4678	peak-Terskol-60cm
060204	4720	Russian-Turkish-1.5m
060206	4722	Swift/UVOT
060206	4686	NOT+ALFOSC
060206	4690	0.76m-Katzman-Automatic-Imaging
060206	4683	NOT+ALFOSC
060206	4712	PROMPT/Skynet
060206	4691	automated-Palomar-60inch
060206	4693	2m-Liverpool
060206	4696	Lulin/0.4m,1.0m
060206	4699	60cm-Super-LOTIS
060206	4701	Lick/Shane-3m
060206	4703	Subaru-8.2m
060206	4709	PROMPT/Skynet
060206	4710	32-inch-Tenagra-II
060206	4713	Colorado/14.5-inch-TTT
060206	4716	Subaru-IRCS
060206	4732	1.52m-Loiano
060206	4901	1.5m-MAO
060210	6197	FRAM
060210	7469	1.2m-Mercator
060210	7648	BOOTES-1-0.3m,Observatorio-Sierra-Nevada/1.5m
060210	4753	ARC-3.5m
060210	4746	Swift/UVOT
060210	4742	ARIES-Nainital/1m
060210	4726	2m-Faulkes
060210	4728	robotic-0.6m-Super-LOTIS
060210	4725	0.76m-Katzman-Automatic-Imaging
060210	4723	Palomar-60inch
060210	23669	La-palma/25cm-FRAM-ORM
060210	4731	**WARNING**
060218	4807	3.6m-TNG
060218	4836	CrAO/70cm
060218	4834	amateur-0.25m-ABT
060218	4833	La-silla/60cm-REM,ROSS
060218	4818	Danish-1.5m
060218	4817	TNG
060218	4816	Danish-1.5m
060218	4810	TNG
060218	4809	6.0m-BTA
060218	4804	Gemini-south-GMOS
060218	4842	CrAO-Shajn-2.6m
060218	4792	MDM-2.4m
060218	4790	La-Palma/1.2m-Mercator,3.5m-TNG(+NICS)
060218	4784	MDM-2.4m
060218	18563	Asiago-1.82m-Copernico
060218	13267	Gemini-North-GMOS,Keck-LRIS
060218	12802	10.4m-GTC
060218	11506	Palomar-60-inch
060218	11503	Calar-Alto/1.23m
060218	10514	2.2m-ESO/MPI
060218	10661	Swift/UVOT
060218	4802	Xinglong/1m,0.8m
060218	12641	Swift/UVOT
060218	12642	Swift/UVOT
060218	4800	Swift/UVOT
060218	4838	K-380-Cassegrain
060218	4837	CTIO/1.3m
060218	7168	Swift/UVOT
060218	6525	automated-Palomar-60inch
060218	5358	2m-RCC
060218	4932	2m-RCC
060218	4929	1.52m-Loiano
060218	4900	Maidanak-1.5m
060218	5277	Danish-1.54m
060218	4898	FLWO-1.2m
060218	4847	Russian-Turkish-1.5m
060218	4845	N.-Copernicus/40cm
060218	5262	Swift/UVOT
060218	4843	peak-Terskol-60cm
060218	4899	IAG-USP-60cm
060223	4814	Swift/UVOT
060223	4844	peak-Terskol/60cm
060223	4827	Xinglong/0.8m
060223	4824	Swift/UVOT
060223	4839	Swift/UVOT
060223	4815	Keck-I-10m
060313	4868	La-silla/60cm-REM,ROSS
060313	4877	Swift/UVOT
060313	4878	16-inch-PROMPT
060313	4869	CTIO/1.3m
060313	4883	La-silla/60cm-REM,ROSS
060313	4880	SSO/40inch
060313	4874	Danish-1.5m
060319	4885	Swift/UVOT
060319	4890	TNG/3.6m
060319	4896	Teide/IAC-80
060319	4897	WHT/LIRIS
060319	4894	Swift/UVOT
060319	4888	MASTER-Kislovodsk
060319	4892	MASTER-Kislovodsk
060319	4889	Robonet/Liverpool(2m)-
060418	4978	Swift/UVOT
060418	5112	1.5m-MAO
060418	4982	Lulin-1m
060418	4967	La-silla/60m-REM
060418	4976	Malargue/FRAM
060418	4974	ESO's-VLT
060418	4971	16-inch-PROMPT
060418	4970	CTIO/1.3m
060418	4969	Magellan-Clay-MIKE
060418	4968	2m-Liverpool
060418	4979	SRO-0.35m
060418	4990	1.5m-MAO
060502	5047	Swift/UVOT
060502	5070	FLWO/1.2m
060502	5069	Swift/UVOT
060502	5068	Swift/UVOT
060502	5071	Gemini-North-GMOS
060502	5184	**WARNING**
060502	5195	NOT/MOSCA-2.56m
060502	5077	Gemini-North
060502	5074	Loiano/152-Cassini
060502	5066	MDM-1.3m
060502	5065	AGU/AROMA-0.3m
060502	5060	0.37m-TTT
060502	5072	MDM-1.3m
060502	5052	Gemini-North-GMOS
060502	5051	3.5m-APO
060502	5049	KittPeak/super-lotis-0.6m
060502	5048	Palomar/60-inch
060502	5057	Xinglong/0.8m
060505	5082	Swift/UVOT
060505	25663	0.76m-KAIT
060505	5161	FORS2/VLT
060505	5089	CTIO/16-inch-PROMPT
060505	5123	Gemini-South-GMOS
060510	5103	2m-Faulkes-North
060510	5109	Swift/UVOT
060510	5101	Gemini-North-NIRI
060510	5116	Swift/UVOT
060510	5097	MDM-1.3m
060510	5099	MAGNUM-MIPS
060510	5100	robotic-0.6m-Super-LOTIS
060512	5127	1.54m-Kuiper
060512	5122	3.6-TNG
060512	5125	automated-Palomar-60inch
060512	5119	2m-Liverpool
060512	5121	La-silla/-60cm-REM
060512	20407	**WARNING**
060512	5128	2m-Liverpool
060512	5130	Swift/UVOT
060512	5118	2m-Liverpool
060512	5129	Subaru-8.2m
060512	5126	ARC-3.5m
060512	5145	3.6m-TNG
060512	5156	5m-Palomar-Hale
060512	5217	Keck-I-(+LRIS)
060512	5267	NOT-NOTcam
060512	5140	TAROT-robotic-25cm
060522	5158	Swift/UVOT
060522	5232	**WARNING**
060522	5159	Swift/UVOT
060522	5152	La-silla/-60cm-REM
060522	5151	3.6m-TNG
060522	5155	10m-Keck-I
060526	5166	Swift/UVOT
060526	5202	Tautenburg-1.34m-Schmidt
060526	5266	NOT+ALFOSC
060526	5306	**WARNING**
060526	5189	Russian-Turkish-1.5m
060526	5186	Russian-Turkish-1.5m
060526	5185	Mt-Abu-IR/1.2m
060526	5183	Russian-Turkish-1.5m
060526	5180	CTIO/1.3m
060526	5192	152cm-Cassini
060526	5165	Boyden/40cm-robotic
060526	5167	3.6m-TNG
060526	5169	Lulin-1m
060526	5170	Magellan/Clay
060526	5181	Shajn-2.6m
060526	5173	Russian-Turkish-1.5m
060526	5171	Loiano/152cm
060526	5179	Danish-1.54m
060526	5178	robotic-60cm-REM
060526	5177	Russian-Turkish-1.5m
060526	5176	MDM-1.3m
060526	5193	Russian-Turkish-1.5m
060602	5198	IAA/Bootes-IR
060602	5201	IAA/Bootes-IR
060602	6997	VLT-FORS1
060602	5207	Swift/UVOT
060602	5245	Swift/UVOT
060602	5205	Russian-Turkish-1.5m
060604	5218	2.5m-NOT
060604	5219	Swift/UVOT
060604	5253	Swift/UVOT
060605	5260	Swift/UVOT
060605	5228	Swift/UVOT
060605	5223	ANU-2.3m
060605	5224	Russian-Turkish-1.5m
060605	5225	3.6m-TNG
060605	5226	10m-Southern-African-Large
060605	5230	TNT-0.8m
060605	5235	Russian-Turkish-1.5m
060605	5263	NOT+ALFOSC
060605	5310	**WARNING**
060605	5489	Calar-Alto-3.5m
060605	5822	Kitt-Peak-2.1m
060607	5239	Lick-3m
060607	5248	Russian-Turkish-1.5m
060607	5247	Boyden/Watcher-0.4m
060607	5243	Swift/UVOT
060607	5234	La-silla/60cm-REM
060614	31235	Gemini-North-NIRI
060614	31341	CAHA-2.2m/CAFOS
060614	5257	Boyden/Watcher-0.4m
060614	5259	1.3m-ANDICAM-CTIO
060614	5272	La-silla/Danish-1.54m,DFOSC
060614	5281	Swift/UVOT
060614	5255	Swift/UVOT
060614	5258	1m-SSO
060707	5285	Swift/UVOT
060707	5291	Skinakas/1.3m
060707	5294	Swift/UVOT
060707	5290	OSN/BOOTES-IR-0.6m
060707	5288	OSN/BOOTES-IR-0.6m
060707	5298	VLT/FORS1
060707	5314	Skinakas/1.3m
060708	5296	Swift/UVOT
060708	5299	CTIO/16"-PROMPT
060708	5318	Haleakala/AEOS-3.63m
060708	5319	VLT-FORS2
060714	5312	University_of_Miyazaki/30cm
060714	5434	1.5m-MAO
060714	5355	NOT+ALFOSC
060714	5337	NOT+ALFOSC
060714	5328	La-silla/-60cm-REM
060714	5324	CrAO/Shajn-2.6m
060714	5323	1.3m-CTIO
060714	5322	2m-Liverpool-(La-PAlme)
060714	5320	VLT-FORS1
060714	5317	CrAO/Shajn-2.6m
060714	5336	CrAO/Shajn-2.6m
060714	5357	Swift/UVOT
060719	5351	Swift/UVOT
060719	5372	La-silla/REM-robotic-60cm-TORTORA
060719	5356	La-silla/60cm-robotic-REM
060719	5345	FRAM
060719	5343	La-silla/60cm-REM
060719	5342	LCO-40-inch
060719	5344	SkyNet/3-0.4m-PROMPT
060719	5340	LCO/40-inch
060729	5371	Swift/UVOT
060729	5432	Swift/UVOT
060729	5465	CTIO/1.3m-ANDICAM
060729	5652	Swift/UVOT
060729	5367	Swift/UVOT
060805	5454	peak-Terskol-Z-600
060805	5429	1.5m-OSN
060805	5413	Swift/UVOT
060805	5402	Swift/UVOT
060805	5401	automated-Palomar-60inch
060805	5400	0.76m-KAIT
060805	5406	2m-Liverpool
060814	5448	TAROT-robotic-25cm
060814	5457	Palomar-200"-Hale
060814	6663	Keck-I-10m
060814	5453	Swift/UVOT
060814	5458	Palomar-60inch
060904	5524	Russian-Turkish-1.5m
060904	5522	Subaru-8.2m
060904	5519	Swift/UVOT
060904	5512	automated-Palomar-60inch
060904	5511	Crni-Vrh/-60cm-robotic
060904	5510	Boyden/-0.4m-Watcher
060904	5525	CTIO/1.3m-ANDICAM
060904	5526	Loiano/152cm-Cassini-BFOSC
060904	5547	Kiso-1.05m-Schmidt
060904	5508	TAROT-robotic-25cm
060904	5523	Swift/UVOT
060904	5541	Swift/UVOT
060904	5506	TAROT-robotic-25cm
060904	5548	Kiso-1.05m-Schmidt
060904	5509	IAA-CSIC-0.6m-BOOTES-IR,1.5m
060904	5741	1.5m-MAO
060906	5557	La-Silla/Danish-1.5m
060906	5542	Loiano/152cm-BFOSC
060906	5540	New-Mexico-Skies/-0.3m
060906	5539	RAPTOR-B
060906	5535	Paranal/-ESO-VLT-UT2
060906	5529	Palomar-60inch
060906	5530	FRAM
060906	5532	0.76m-KAIT
060906	5531	Palomar-60inch
060908	5545	PROMPT
060908	5546	La-silla/60cm-REM
060908	5552	Danish-1.5m
060908	5553	Swift/UVOT
060908	5653	Terskol/2m
060912	5565	Swift/UVOT
060912	5566	Boyden/Watcher-0.4m
060912	5560	TNT-0.8m
060912	5567	1.5m-MAO
060923	5648	Ussuriysk-Astrophysical-Observatory/0.4m
060923	5608	0.3m-AROMA-robotic
060923	5606	University_of_Miyazaki/30cm
060923	5596	TNT-0.8m
060923	5594	SSO/-2m-Faulkes-South
060923	5588	0.6m-Super-LOTIS
060923	5592	Osaka/ART-3
060923	5586	Hawaii/2m-Faulkes-North
060923	5584	0.76m-KAIT
060923	5603	Swift/UVOT
060923	5593	Hawaii/2m-Faulkes-North
060926	5615	Boyden/Watcher-0.4m
060926	5616	IAA-CSIC/0.6m-BOOTES-IR
060926	5618	Russian-Turkish-1.5m
060926	5623	Skinakas/1.3m
060926	5626	Paranal/ESO's-VLT-UT2
060926	5632	355mm-CCD-Alta-U16
060926	5901	355mm-CCD-Alta-U16
060927	25109	0.76m-KAIT
060927	5633	SSO/2m-Faulkes-south
060927	5636	University_of_Miyazaki/30cm
060927	5638	TNT-0.8m
060927	5640	1.52m-Loiano
060927	5647	AZT-11-(1.25m)
060927	5651	ESO-VLT-FORS1
060927	5664	GAO-150cm
060927	6099	CTIO/16"-PROMPT
060927	5643	Swift/UVOT
060927	5634	Kiso-1.05m-Schmit
061006	5699	Swift/UVOT
061006	27213	0.76m-KAIT
061006	5700	SSO/2m-Faulkes-South
061006	5711	Swift/UVOT
061007	5716	VLT-FORS1
061007	5708	SSO/2m-Faulkes-South
061007	5709	SSO/2m-Faulkes-South
061007	5719	Swift/UVOT
061007	5715	Magellan-Clay-LCO
061021	5745	Swift/UVOT
061110	5795	Swift/UVOT
061110	5899	Swift/UVOT
061110	5816	Kitt-Peak-2.1m
061110	5808	Crni-Vrh/60cm-robotic
061110	5813	Swift/UVOT
061110	5804	2m-Liverpool
061110	5796	SSO/ROTSE-IIIa
061110	5801	TAROT-robotic-25cm
061110	5799	NOT+ALFOSC
061110	5797	Lulin-1m
061110	5812	FORS1/VLT
061110	5794	SSO/Uppsala-Schmidt
061110	5798	Xinglong/TNT-0.8m
061110	5818	NOT/ALFOSC
061110	5814	Swift/UVOT
061110	5805	2m-Liverpool
061121	5833	Swift/UVOT
061121	5861	Swift/UVOT
061121	5851	MDM-2.4m
061121	5853	MDM-2.4m
061121	6717	CTIO/16"-PROMPT
061121	5878	1.3m-CTIO
061121	5870	CrAO/Shajn-2.6m
061121	5850	CrAO/Shajn-2.6m
061121	5847	MDM-2.4m
061121	5844	Palomar-60inch
061121	5839	Swift/UVOT
061121	5830	University_of_Miyazaki/30cm
061121	5828	Higashi-Hiroshima/KANATA-1.5m
061121	5827	Hawaii/2m-Faulkes-North
061121	5826	Keck-I-10m
061126	5894	robotic-NMSU-1m
061126	5866	1.34m-Schmidt
061126	5865	Mt-Abu-IR/-1.2-M
061126	5858	PAIRITEL
061126	5857	Hawaii/2m-Faulkes-North
061126	5873	Raptor-S
061126	5902	1.5m-MAO
061126	5869	0.6m-Super-LOTIS
061126	5903	ARIES-Nainital/1.0m-Sampurnanand
061126	5868	New-Mexico-Skies/0.3m
061126	5856	Swift/UVOT
061126	5875	Tautenburg-1.34m-Schmidt
061126	5876	2.5m-Isaac-Newton
061201	5995	Magellan/Clay-6.5m
061222	5959	TAROT-robotic-25cm
061222	5961	1.3m-CTIO
061222	5968	IAA-CSIS/60cm-BOOTES-IR
061222	5969	Higashi-Hiroshima/KANATA-1.5m
061222	5971	Higashi-Hiroshima/KANATA-1.5m
061222	5975	Gemini-North
061222	5963	La-silla/-60cm-REM
061222	5977	50cm-MITSuME
061222	5972	Swift/UVOT
061222	5973	Swift/UVOT
061222	5979	50cm-MITSuME
061222	5986	CrAO/Shajn-2.6m
061222	5976	Xinglong/2.16m
070110	6009	Swift/UVOT
070125	6028	Palomar-60inch
070125	6034	Palomar-60inch
070125	6039	KANATA-1.5m
070125	6044	CTIO/16-inch-PROMPT
070125	6047	Loiano/-152cm-Cassini
070125	6064	1.52m-Loiano
070125	6073	CARMA
070125	6096	MDM-2.4m,1.3m
070125	6165	LBT
070125	6050	50cm-MITSuME
070125	6035	TNT-0.8m
070125	6036	Swift/UVOT
070129	6066	Swift/UVOT
070129	6097	MDM-2.4m
070129	6070	NOT-StanCam
070129	6062	50cm-MITSuME
070129	6057	TNT-0.8m
070129	6055	ESO-VLT-FORS2
070208	6090	Haleakala-Maui/AEOS
070208	6083	Gemini-North
070208	6222	Sayan/1.5m
070208	6093	Sayan/1.5m
070208	6084	Raptor-S
070208	6082	MDM-1.3m
070208	6078	Palomar-60inch
070208	6077	2m-Faulkes-North
070208	6075	MDM-1.3m
070223	6127	2m-Liverpool
070223	6133	Higashi-Hiroshima/KANATA-1.5m
070223	6168	4.2m-WHT-(+LIRIS)
070223	6162	MDM-1.3m
070223	6126	MDM-1.3m
070223	6221	MDM
070223	6136	Yunnan/1.02m
070223	6134	Swift/UVOT
070224	6144	0.9m-SARA
070224	6148	Magellan-Clay-MagIC
070224	6146	MDM-1.3m
070224	6145	Gemini-south-GMOS
070224	6152	Swift/UVOT
070306	6184	University_of_Miyazaki/30cm
070306	6171	Higashi-Hiroshima/KANATA-1.5m
070306	6177	Swift/UVOT
070318	6213	Swift/UVOT
070318	6296	CTIO/1.3m-ANDICAM
070318	6215	Swift/UVOT
070318	6220	Swift/UVOT
070411	6346	LBT
070411	6351	LBT
070411	6487	TAROT-robotic-25cm
070411	6343	NOT,VLT,TNG,and-WHT
070411	6335	Ondrejov/BART
070411	6295	Tautenburg-1.34m-Schmidt
070411	6283	VLT-FORS2
070411	6278	Magellan/Clay
070411	6272	Observatorio-del-Teide/IAC80
070411	6271	2m-Liverpool
070411	6270	60cm-Cichocki-robotic
070411	6268	Tautenburg-1.34m-Schmidt
070411	6291	Swift/UVOT
070411	6277	Magellan/Baade
070419	6316	NHAO/2.0m-NAYUTA
070419	6312	Mt.-John/0.6m-B&C
070419	6315	2m-Faulkes-North
070419	6314	Mt.-John/0.6m-B&C
070419	6313	Higashi-Hiroshima/KANATA-1.5m
070419	6311	Lulin-1m
070419	6324	Raptor
070419	6308	Kiso-1.05m-Schmidt
070419	6306	Palomar-60inch
070419	6304	KAIT
070419	6320	ARIES-Nainital/1m
070419	6340	Swift/UVOT
070419	6310	University_of_Miyazaki/30cm
070419	6322	10m-Keck-I
070419	6321	Mt.-John/0.6m-B&C
070419	6339	Haleakala/AEOS
070419	6328	0.6m-Super-LOTIS
070419	6325	ANU-1m
070419	6341	1.54m-Kuiper
070419	6406	LBT
070419	6407	1.5m-MAO
070419	6329	50cm-MITSuME
070506	6378	Swift/UVOT
070521	6454	Swift/UVOT
070521	6456	MAGNUM-MIPS
070521	6435	2m-Faulkes-North
070521	6936	TNT-0.8m
070521	6436	Palomar-200inch
070521	6434	TAROT-robotic-25cm
070521	6453	University_of_Miyazaki30cm
070521	6451	Keck-I-LRIS
070521	6450	Gemini-North-GMOS+NIRI
070521	6449	La-Silla-2.2m-Max-Planck-Institute
070521	6444	Subaru-FOCAS
070521	6457	Gemini-North
070521	6482	CrAO-1m-Zeiss-(Simeiz)
070529	6473	Swift/UVOT
070529	6470	Gemini-North-GMOS
070529	6471	Mt.-Abu-IR/1.2-M
070529	6472	Haleakala/-AEOS
070529	6474	KPNO/0.9m-SARA
070529	24957	0.76m-KAIT
070529	6467	Xinglong-TNT-80cm
070611	6601	VLT-FORS1
070611	6528	Boyden/Watcher-40cm-robotic
070611	6504	Swift/UVOT
070612	6519	Swift/UVOT
070612	6566	Calar-Alto-2.2m
070612	6558	Italian-3.6m-TNG
070612	6556	Gemini-North-GMOS
070612	6553	50cm-MITSuME
070612	6541	1.52m-Loiano
070612	6535	0.6m-Super-LOTIS
070612	6531	50cm-MITSuME
070612	6530	SARA-0.9m
070612	6526	MDM-2.4m
070612	6555	NOT
070612	6518	Pierre-Auger/FRAM
070612	6517	Palomar-60inch
070612	6516	0.76m-KAIT
070612	27064	0.76m-KAIT
070612	25179	0.76m-KAIT
070612	6524	Kitt-Peak/0.9m-SARA
070714	6657	CTIO/16"-PROMPT
070714	6652	10m-Keck-I
070714	6630	William-Herschel
070714	6624	Palomar-Oschin-Schmidt
070714	6621	2m-Liverpool
070714	6625	Palomar-Oschin-Schmidt
070714	6633	Swift/UVOT
070714	6689	Swift/UVOT
070714	6632	Swift/UVOT
070721	6641	Swift/UVOT
070721	6648	Swift/UVOT
070721	6645	Faulkes-South
070721	6647	Faulkes-South
070721	6650	Swift/UVOT
070721	6655	NOT-+-ESO-VLT
070721	6674	NOT,VLT
070721	6676	Swift/UVOT
070724	6665	Gemini-South-GMOS
070724	11742	Sayan/AZT-33IK
070724	11744	CrAO/AZT-11
070724	27160	0.76m-KAIT
070724	6679	Palomar-60inch
070724	6664	Palomar-60inch,10m-Gemini-North-GMOS+NIRI
070724	6677	Swift/UVOT
070724	6660	Swift/UVOT
070802	6704	La-Silla/60cm-REM
070802	6694	La-Silla/2.2m
070802	6701	Swift/UVOT
070810	6746	Higashi-Hiroshima/-KANATA-1.5m
070810	6757	Keck-I-LRIS
070810	6758	2m-Faulkes-South
070810	6762	CrAO/Shajn-2.6m
070810	6771	Keck-I-LRIS
070810	6755	Swift/UVOT
070810	6735	Swift/UVOT
070810	6747	Xinglong-TNT-80cm
071003	6846	Lulin-1m
071003	6838	0.76m-KAIT
071003	6839	Palomar-60inch
071003	6840	ARIES-Nainital/1.04m-Sampurnanand
071003	6841	Haleakala/-AEOS
071003	6848	2m-Faulkes-North
071010	6861	Keck-I-LRIS
071010	7041	CrAO/AZT-11
071010	6977	Zeiss-1000-(Simeiz)
071010	6969	Mt.-Lemmon-1m
071010	6957	Mt.-Lemmon-1m
071010	6945	Sayan/1.5m
071010	6860	TAROT-robotic-25cm
071010	6928	Keck-II-10m
071010	6924	EST-1m
071010	6923	Tautenburg-1.34m-Schmidt
071010	6935	**WARNING**
071010	6919	Keck-I-10m
071010	6862	CTIO/16"-PROMPT
071010	6865	La-silla/-60cm-REM
071010	6872	Keck-I-10m
071010	6876	Canary-Islands/TNG
071010	6880	NainiTal/1.04m
071010	6920	Mt.-Lemmon-1.0m
071010	6881	NainiTal/1.04m
071010	6909	35cm-robotic
071010	6885	Keck-I-LRIS
071010	6888	Gemini-North-GMOS
071010	6893	0.6m-Super-LOTIS
071010	6897	Mt.-Lemmon-1.0m
071010	6903	TLS-Tautenburg-2m
071010	6918	Tautenburg-1.34m-Schmidt
071010	6884	TLS-1.34m-Schmidt
071020	6952	VLT-FORS2
071020	6953	Mt.-Hopkins/1.3m-PAIRITEL
071020	6956	TNT-0.8
071020	6979	Kitt-Peak/SARA-0.9m
071020	6984	6.0m-BTA
071020	7006	University_of_Miyazaki/-30cm
071020	7026	50cm-MITSuME
071020	7146	CrAO/AZT-8
071020	6970	Mt.-Lemmon-1m
071021	6993	CFHT-WIRCam
071021	7007	Haleakala/AEOS
071021	6959	2m-Faulkes-south
071021	6961	Lulin-1m
071021	6962	TNT-0.8m
071021	6968	La-palma/3.5m-Telescopio-Nazionale-Galileo,Observatorio-de-Sierra-Nevada/1.5m,2.5m-NOT
071021	6973	Magellan/Clay-LDSS3
071021	6974	Magellan/Clay-LDSS3
071021	6975	50cm-MITSuME
071021	6976	Subaru-IRCS
071021	7337	SSO/2m-Faulkes-south
071021	6983	robotic-MAGNUM
071025	6999	TNT-0.8m
071025	7001	Palomar-Oschin-Schmidt
071025	7003	Kitt-Peak-Mayall-4m
071025	7005	0.9m-SARA
071025	7018	MAGNUM-MIPS
071025	7011	1.54m-Kuiper
071025	6991	Mt.-Lemmon-1m
071025	6995	0.6m-Super-LOTIS
071025	7000	Swift/UVOT
071025	7008	Raptor
071025	6994	Mt.-Lemmon-1m
071031	7028	Swift/UVOT
071031	7022	CTIO/16"-PROMPT
071031	7024	CTIO/1.3m-ANDICAM
071031	7025	La-silla/60cm-REM
071031	7021	2.2m-MPI/ESO
071112	7080	Swift/UVOT
071112	7085	Magellan/Clay-LDSS3
071112	7084	Kitt-peak/0.9m-SARA
071112	7334	TAOS
071112	7135	MAGNUM-MIPS
071112	7089	Loiano/152cm-Cassini
071112	7087	50cm-MITSuME
071112	7083	Lulin-1m
071112	7082	50cm-MITSuME
071112	7078	60cm-Cichocki-robotic
071112	7086	Gemini-North-GMOS
071112	7075	Magellan/Clay-LDSS3
071112	7069	Palomar-Oschin-Schmidt
071112	7067	Lulin-1m
071112	7066	Russian-Turkish-1.5m
071112	7065	TAROT-robotic-25cm
071112	7063	TNT-0.8,Xinglong/EST-1.0
071112	7062	Higashi-Hiroshima/KANATA-1.5m
071112	7076	VLT-FORS2
071117	7112	Swift/UVOT
071117	7104	Swope-40-inch
071117	7108	TAROT-robotic
071117	7099	Swift/UVOT
071122	7123	Palomar-60inch
071122	7124	Gemini-North-GMOS
071122	7131	Swift/UVOT
071227	7150	Swift/UVOT
071227	7154	Magellan/Baade-IMACS
071227	7149	La-silla/60cm-REM
071227	7151	Magellan/Baade-IMACS
080109	7187	CrAO-2.6
080109	7191	Abu-1.2m-Cassegrain
080109	7212	ARC-3.5m
080109	7181	PROMPT-4,5
080109	7162	TNG-DOLoRes
080129	7231	2.2m-MPI/ESO
080129	7232	2.2m-MPI/ESO
080129	7234	TAROT-robotic-25cm
080129	7238	0.76m-KAIT
080129	7241	1.5m-OSN
080129	7246	Swift/UVOT
080205	7253	Swift/UVOT
