StartDate(UTC) MJD Rest-frameEpoch(days) Instrument Filter Exp(s) Mag(AB) MagErr
2017Apr28.15a 57871.15321 −110.29 ACS/WFC F606W 348.00 >27.20 –
2017Aug22.32 57987.31734 4.74 WFC3/IR F110W 297.69 18.456 0.002
2017Aug22.45 57987.44978 4.87 WFC3/IR F160W 297.69 18.033 0.002
2017Aug22.86 57987.85647 5.28 WFC3/UVIS F336W 1089.00 25.04 0.104
2017Aug22.92 57987.91564 5.33 WFC3/UVIS F225W 1089.00 >26.13 –
2017Aug24.77 57989.76747 7.17 WFC3/IR F110W 297.69 19.376 0.003
2017Aug25.58 57990.57922 7.97 WFC3/UVIS F606W 452.00 22.467 0.019
2017Aug25.60 57990.60205 8.00 WFC3/UVIS F475W 520.00 23.639 0.026
2017Aug25.65 57990.65157 8.04 WFC3/UVIS F275W 620.00 >25.62 –
2017Aug27.36 57992.35973 9.74 WFC3/UVIS F336W 2200.00 >26.52 –
2017Aug27.45 57992.44996 9.83 WFC3/IR F160W 1607.12 19.650 0.003
2017Aug27.45 57992.45483 9.83 ACS/WFC F475W 1395.00 24.085 0.021
2017Aug27.50 57992.50148 9.88 ACS/WFC F625W 890.00 22.899 0.108
2017Aug27.56 57992.56367 9.94 ACS/WFC F775W 740.00 22.186 0.069
2017Aug27.60 57992.60180 9.98 ACS/WFC F850LP 680.00 21.557 0.027
2017Aug27.63 57992.62637 10.00 WFC3/IR F110W 1309.43 20.490 0.004
2017Aug28.88 57993.88414 11.25 WFC3/UVIS F475W 1120.00 24.720 0.057
2017Aug28.89 57993.88553 11.25 WFC3/UVIS F606W 768.00 23.651 0.031
2017Aug28.94 57993.93794 11.30 WFC3/UVIS F275W 1709.00 >25.82 –
2017Aug28.95 57993.95272 11.31 WFC3/UVIS F814W 560.00 22.316 0.030
2017Aug29.01 57994.00675 11.37 WFC3/UVIS F336W 946.00 >26.38 –
2017Aug29.02 57994.01757 11.38 WFC3/UVIS F275W 1089.00 >26.32 –
2017Dec06.02 58093.01904 109.42 WFC3/UVIS F606W 2264.00 26.310 0.190
2017Dec06.15 58093.15206 109.55 WFC3/UVIS F814W 2400.00 26.298 0.150
2017Dec06.43 58093.42907 109.82 WFC3/IR F140W 4793.86 >25.30 –
2017Dec07.42b 58094.41545 110.80 WFC3/IR F160W 4808.67 25.612 0.288
2017Dec08.93 58095.93259 112.30 WFC3/IR F110W 7635.25 25.908 0.244
2018Jan01.57 58119.57043 135.71 ACS/WFC F606W 2120.00 26.590 0.230
2018Jan29.72 58147.71752 163.59 WFC3/UVIS F606W 2372.00 26.500 0.190
2018Feb05.67 58154.66997 170.47 WFC3/UVIS F814W 2400.00 26.495 0.194
2018Feb05.74 58154.73617 170.54 WFC3/UVIS F606W 2400.00 26.580 0.220
2018Mar14.62 58191.62273 207.06 WFC3/UVIS F606W 2432.00 26.610 0.260
2018Mar23.89 58200.89223 216.24 ACS/WFC F606W 2120.00 >26.90 –
2018Jun10.32 58279.32202 293.91 WFC3/UVIS F606W 5220.00 27.290 0.200
2018Jul11.75b 58310.74890 325.04 WFC3/UVIS F606W 14070.00 >27.58 –
2018Jul20.35 58319.35419 333.56 ACS/WFC F606W 2120.00 >27.72 –
2018Aug08.46 58338.45574 352.47 WFC3/UVIS F814W 5220.00 >27.41 –
2018Aug14.94 58344.93633 358.89 WFC3/UVIS F606W 14070.00 27.830 0.290
2019Mar24.67b 58566.67373 578.48 ACS/WFC F606W 6728.00 >28.40 –
2021Jan04.98 59218.97751 1224.45 WFC3/IR F140W 7823.49 >27.04 –
2021Jan06.17 59220.17390 1225.63 WFC3/IR F160W 7823.49 >26.58 –
2021Feb07.75 59252.74630 1257.89 WFC3/IR F110W 10423.49 >27.68 –
2021Feb22.62 59267.61813 1272.62 WFC3/UVIS F814W 7940.00 >27.20 –
– – – WFC3+ACS F606W 64212.00 >28.80 –
– – – WFC3/UVIS F814W 18520.00 >28.60 –
– – – WFC3/IR F110W 19963.56 >28.07 –
– – – WFC3/IR F140W 12617.34 >27.58 –
– – – WFC3/IR F160W 14536.96 >26.81 –
