#GRB f t(days) m em system inst
130831A B    2.0525   22.700 0.070 Vega MAO    
130831A Rc   2.0411   22.200 0.090 Vega MAO    
130831A Rc   3.3168   22.200 0.110 Vega Mondy  
130831A Rc   4.1061   22.530 0.090 Vega Mondy  
130831A Rc   4.2555   22.530 0.070 Vega MAO    
130831A Rc   5.2440   22.880 0.130 Vega CrAO   
130831A Rc   5.2658   22.870 0.060 Vega MAO    
130831A Rc   7.0446   22.990 0.080 Vega MAO    
130831A Rc   8.0586   22.900 0.060 Vega MAO    
130831A Rc   9.2558   23.110 0.060 Vega MAO    
130831A Rc  10.2526   22.940 0.080 Vega MAO    
130831A Rc  11.2419   22.930 0.110 Vega MAO    
130831A Rc  15.2202   22.870 0.080 Vega MAO    
130831A Rc  16.2715   22.770 0.070 Vega MAO    
130831A Rc  22.0721   22.530 0.290 Vega MAO    
130831A Rc  27.0558   22.900 0.170 Vega MAO    
130831A Rc  28.6928   22.910 0.094 Vega WHT    
130831A Rc  30.15945  23.360 0.160 Vega MAO    
130831A Rc  37.1378   23.590 0.160 Vega MAO    
130831A Rc  40.60034  23.640 0.230 Vega Mondy  
130831A Rc  44.5578  >23.2   ---   Vega Mondy  
130831A Rc  66.3495   23.650 0.150 Vega CrAO   
130831A Rc  96.0754   23.750 0.350 Vega Mondy  
130831A Ic  28.6701   22.076 0.129 Vega WHT    
130831A g    0.3834   19.672 0.022 AB   NOT    
130831A g    4.6225   23.464 0.034 AB   WHT    
130831A r    0.3907   19.324 0.026 AB   NOT    
130831A r    0.6974   20.423 0.025 AB   NOT    
130831A r    0.7013   20.432 0.027 AB   NOT    
130831A r    7.5947   22.995 0.048 AB   NOT    
130831A r   13.4525   23.038 0.094 AB   NOT    
130831A r   27.3877   23.414 0.055 AB   NOT    
130831A r   68.5157   23.922 0.051 AB   Gemini 
130831A r  156.3151   24.063 0.089 AB   NOT    
130831A i    0.3901   19.100 0.027 AB   NOT    
130831A i    1.6584   21.741 0.066 AB   NOT    
130831A i    3.6759   22.403 0.053 AB   NOT    
130831A i    4.6024   22.540 0.044 AB   WHT    
130831A i   13.4761   22.580 0.061 AB   NOT    
130831A i   22.6051   22.422 0.058 AB   NOT    
130831A i   27.4342   22.843 0.054 AB   NOT    
130831A i   68.5281   23.777 0.089 AB   Gemini 
130831A i  127.2841   24.235 0.097 AB   LT     
130831A z    0.3987   19.026 0.043 AB   NOT    
130831A z    1.4975   21.218 0.099 AB   LT     
130831A z    6.5690   22.720 0.112 AB   LT     
130831A z   17.5640   22.726 0.200 AB   LT     
