Date(UT) Time_afterburst(d) Telescope Instrument Band Exp(s) Mag(AB) Flux(uJy) MagHost(AB) A_lambda(mag)
2015Jan3.297 1.66 Magellan/Baade IMACS r 8×150 23.01±0.17 2.27±0.36 ··· 0.094
2015Jan4.289 2.65 Magellan/Baade IMACS r 10×120 23.53±0.26 1.41±0.34 ··· 0.094
2015Jan4.298 2.66 VLT HAWK-I J 12×60 >22.3 <4.37 ··· 0.029
2015Jan4.310 2.67 VLT HAWK-I H 12×60 >21.4 <10.0 ··· 0.018
2015Jan4.322 2.68 VLT HAWK-I K 12×60 >21.5 <9.12 ··· 0.012
2015Jan4.359 2.72 VLT HAWK-I Y 22×60 >20.5 <22.9 ··· 0.043
2015Jan11.261 9.62 TNGa NICS J ... >21.7 <7.59 ··· 0.029
2015Jan12.341 10.70 Gemini-South GMOS r 19×90 >24.2 <0.76 ··· 0.094
2015Jan16.201 14.56 TNGa NICS J ... >22.4 <3.98 ··· 0.029
2015Jan16.307 14.67 VLT HAWK-I H 22×60 >23.4 <1.58 ··· 0.018
2015Jan16.331 14.69 VLT HAWK-I Y 22×60 >23.6 <1.32 ··· 0.043
2015Jan21.533 19.89 UKIRT WFCAM J 12×200 >22.4 <3.98 15.47±0.05 0.029
2015Jan21.569 19.93 UKIRT WFCAM K 12×200 >22.2 <4.79 15.11±0.05 0.012
2015Jan30.508 28.87 UKIRT WFCAM J 12×200 >23.0 <2.29 15.55±0.05 0.029
2015Jan30.544 28.90 UKIRT WFCAM K 12×200 >22.4 <3.98 15.20±0.06 0.012
2015Feb11.320 40.70 HST WFC3/IR F160W 3×250 >25.3 <0.28 15.09±0.01 0.021
2015Feb11.385 40.74 HST WFC3/UVIS F606W 4×350 >25.1 <0.33 16.57±0.01 0.102
2015Feb14.274 43.63 VLT HAWK-I H 22×60 >23.9 <1.00 ··· 0.018
2015Feb19.036 48.39 Magellan/Baade IMACS r 8×150 >24.6 <0.52 ··· 0.094
2015Feb19.048 48.41 Magellan/Baade IMACS r 3×45 ... ... 16.51±0.04 0.094
2015Feb19.053 48.41 Magellan/Baade IMACS g 3×60 ... ... 17.42±0.04 0.136
2015Feb19.058 48.42 Magellan/Baade IMACS i 3×45 ... ... 16.08±0.04 0.070
2015Feb19.063 48.42 Magellan/Baade IMACS z 3×60 ... ... 15.77±0.05 0.052
