Table 1. Log of the Swift UVOT observations.
t 		(Delta)t- 	(Delta)t+	Magnitude			Filter
106.6		4.9 		5.1 		18.23+0.18/-0.16 		white
126.6		4.9 		5.1 		17.97+0.15/-0.13 		white
151.6		7.3 		7.7 		18.06+0.13/-0.12 		white
181.5		7.3 		7.6 		17.83+0.11/-0.10 		white
4690 		49 		49		19.81+0.16/-0.14 		white
6122 		49 		49 		20.14+0.31/-0.24 		white
17560		193 		195 		20.90+0.30/-0.23 		white
85.7 		7.6 		8.4 		17.72 ± 0.66 			v
220 		9 		9 		16.66+0.16/-0.14 		v
263 		12 		13 		16.69+0.14/-0.12 		v
318 		15 		15 		16.37+0.10/-0.09 		v
383 		17 		18 		16.67+0.12/-0.11 		v
463 		22 		23 		16.45+0.10/-0.09 		v
551 		21 		22 		16.60+0.12/-0.10 		v
5100 		49 		49 		18.45+0.22/-0.18 		v
10013 		223 		228 		19.33+0.14/-0.13 		v
34052 		225 		226 		> 20.57 			v
51412 		225 		226 		> 20.58 			v
68768 		225 		226 		> 20.53 			v
116954 		8680 		8845		> 21.40 			v
184147 		3318 		3379		> 21.32 			v
4486 		49 		49 		20.10+0.27/-0.22 		b
5918 		49 		49 		20.20+0.41/-0.30 		b
16711 		224		227 		21.06+0.30/-0.24 		b
23377 		177		179 		21.27+0.65/-0.40 		b
40696 		197		198 		> 21.02 			b
58053 		395		396 		> 20.98 			b
4281 		49 		49 		> 20.39 			u
5713 		49 		49 		> 20.22 			u
15799 		224		227 		> 21.89 			u
22560 		224		227 		> 21.57 			u
29221 		148		149 		> 20.19 			u
43093 		1831 		1913		> 22.68 			u
60462 		1843 		1901		> 21.79 			u
4077 		49 		49 		> 19.87 			uvw1
5509 		49 		49 		> 19.27 			uvw1
11768 		191 		194 		> 19.92 			uvw1
21645 		220 		222 		> 21.54 			uvw1
28460 		220 		222 		> 20.90 			uvw1
42229 		1852 		1937 		> 21.28 			uvw1
59599 		1864 		1925 		> 22.37 			uvw1
73712 		221 		221 		> 21.22 			uvw1
3872 		49 		49 		> 21.95 			uvm2
5304 		49 		49 		> 21.85 			uvm2
10916 		219 		223		> 21.58 			uvm2
27553 		220 		222		> 20.93 			uvm2
34905 		195 		196		> 21.36 			uvm2
48416 		2051 		2142 		> 22.44 			uvm2
65785 		2063 		2130 		> 21.52 			uvm2
4895 		48 		49 		> 20.19 			uvw2
6304 		37 		37 		> 20.18 			uvw2
33138 		221 		222 		> 21.59 			uvw2
50495 		220 		221 		> 21.24 			uvw2
67853 		221 		222 		> 22.16 			uvw2
