Time	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
73	16.9	0	P	JOHNSON	MASTER-IAC	no	25990
98	18.1	0	P	JOHNSON	MASTER-IAC	no	25990
438	20	0	P	JOHNSON	MASTER-IAC	no	25990
73	16.5	0	P-	JOHNSON	MASTER-IAC	no	25990
98	17.7	0	P-	JOHNSON	MASTER-IAC	no	25990
438	19.6	0	P-	JOHNSON	MASTER-IAC	no	25990
95	16.3	0	CR	JOHNSON	MASTER-OAFA	no	25990
130	17.2	0	CR	JOHNSON	MASTER-OAFA	no	25990
410	18.3	0	CR	JOHNSON	MASTER-OAFA	no	25990
125	17.6	0	P	JOHNSON	MASTER-IAC	no	25990
125	17	0	P-	JOHNSON	MASTER-IAC	no	25990
164	16.2	0	CR	JOHNSON	MASTER-OAFA	no	25990
174	17.2	0	P-	JOHNSON	MASTER-IAC	no	25990
174	17.8	0	P	JOHNSON	MASTER-IAC	no	25990
232	17.5	0	P-	JOHNSON	MASTER-IAC	no	25990
297	18.5	0	P-	JOHNSON	MASTER-IAC	no	25990
232	18	0	P	JOHNSON	MASTER-IAC	no	25990
297	18.9	0	P	JOHNSON	MASTER-IAC	no	25990
243	16.6	0	CR	JOHNSON	MASTER-OAFA	no	25990
311	17.8	0	P-	JOHNSON	MASTER-IAC	no	25990
311	18.2	0	P	JOHNSON	MASTER-IAC	no	25990
338	16.8	0	CR	JOHNSON	MASTER-OAFA	no	25990
433	17.6	0	CR	JOHNSON	MASTER-OAFA	no	25990
400	18.4	0	P	JOHNSON	MASTER-IAC	no	25990
400	17.8	0	P-	JOHNSON	MASTER-IAC	no	25990
451	16.5	0	CR	JOHNSON	MASTER-OAFA	no	25990
499	18.6	0	P	JOHNSON	MASTER-IAC	no	25990
624	19.5	0	P	JOHNSON	MASTER-IAC	no	25990
499	18.3	0	P-	JOHNSON	MASTER-IAC	no	25990
624	19.3	0	P-	JOHNSON	MASTER-IAC	no	25990
588	17.2	0	CR	JOHNSON	MASTER-OAFA	no	25990
621	18.5	0	P	JOHNSON	MASTER-IAC	no	25990
