TABLE 3
Swift UVOT photometry of GRB 070110
afterglow.
Start 		(Delta)t 	Magnitude a 		Error b 	Filter
(s) 		(s)
103 		100 		19.90 			0.31 		White
4249 		200 		19.18 			0.26 		White
5681 		200 		19.69 			0.18 		White
85 		9 		17.35 			UL 		V
208 		400		20.28 			0.45 		V
4658 		200		18.94 			0.33 		V
6091 		200		18.83 			UL 		V
22298 		18665 		20.38 			0.27		V
161578 		47181 		21.52 			0.32		V
4044 		1632 		20.33 			0.30		B
11644 		598 		20.59 			0.21		B
28983 		603 		21.32 			0.36		B
114817 		12775 		22.08 			0.32		B
662 		15 		19.23 			0.51		U
5272 		200 		19.63 			0.22		U
10733 		906 		19.84 			0.14		U
17423 		602 		20.22 			0.23		U
28072 		906 		20.42 			0.22		U
34762 		603 		20.84 			0.31		U
235449 		135190 		22.58 			UL c 		U
495668 		81911 		22.07 			UL 		U
