Time_aftertrigger(d) Exp(hr) Telescope Instrument Band Fv(muJy) FvErr References
0.008 0.05 Swift UVOT V <199.5	? 1
0.089 1.42 Swift UVOT V <53.95 ? 1
0.24 0.50 NOT MOS r 12.59 0.23 2
0.25 0.25 WHT ACAM z 25.35 1.36 1
0.27 0.25 WHT ACAM i 16.44 0.88 1
0.28 0.50 CAHA DLR-MKIII V 8.32 0.73 1
0.29 0.008 GTC OSIRIS r 10.96 0.20 2
0.29 0.25 WHT ACAM g 6.31 0.34 2
0.33 0.40 Gemini-South GMOS g 5.30 0.19 3
0.34 0.17 Magellan/Baade IMACS r 8.64 0.14 4
0.37 0.40 Gemini-South GMOS i 12.25 1.18 3
0.60 0.14 Gemini-North GMOS z 6.54 0.18 2
0.60 0.19 UKIRT WFCAM K 13.68 1.32 2
0.61 0.14 Gemini-North GMOS i 4.53 0.12 2
0.61 0.19 UKIRT WFCAM J 9.29 1.12 2
0.62 0.14 Gemini-North GMOS r 2.88 0.08 2
0.62 0.14 Gemini-North GMOS g 1.60 0.06 2
1.30 0.15 Gemini-South GMOS r <0.30 ? 3
1.30 0.15 Gemini-South GMOS i <0.58 ? 3
1.34 0.33 Magellan/Baade IMACS r <0.46 ? 4
1.59 0.17 Gemini-North GMOS g <0.19 ? 2
1.60 0.17 Gemini-North GMOS r 0.21 0.05 2
1.61 0.17 Gemini-North GMOS i <0.48 ? 2
1.61 0.39 UKIRT WFCAM J <1.25 ? 2
1.62 0.17 Gemini-North GMOS z <1.00 ? 2
2.32 0.37 VLT HAWK-I J <1.25 ? 2
3.26 0.17 GTC OSIRIS r <0.33 ? 2
4.26 0.17 GTC OSIRIS r <0.23 ? 2
7.30 0.37 VLT HAWK-I J <1.45 ? 2
8.23 0.33 TNG DOLoRes r <1.15 ? 1
8.25 0.33 TNG DOLoRes i <0.52 ? 1
8.41 0.33 Magellan/Baade IMACS r <0.40 ? This_work
9.37 0.62 HST ACS F606W <0.03 ? 4
9.41 0.73 HST WFC3 F160W 0.17 0.03 2, 4
21.26 0.67 TNG DOLoRes r <1.49 ? 1
21.29 0.67 TNG DOLoRes i <0.93 ? 1
21.52 0.28 MMT MMTCam r <1.91 ? This_work
29.57 0.73 HST WFC3 F160W <0.10 ? 4
37.34 0.75 Magellan/Clay LDSS3 r <0.40 ? This_work
