Filter   T_start(s)   T_stop(s)  Exp(s)  Mag     Err

white_FC     427         577      147   17.94    0.04
white        855        1005      147   17.73    0.04
white       1856        1876       19   18.01    0.11
white       2030        2050       19   17.40    0.08
v            584         603       19   17.25    0.24
b           1134        1154       19   18.16    0.21
u           6064        6264      196   18.11    0.09
w1           633         653       19   17.16    0.24
m2          5653        5853      196   18.23    0.17
w2          5244        5443      196   17.96    0.12
