Table 2. UVOT and GROND observations of the afterglow of GRB 111209A.
(Delta)t (ks) 		(Delta)t (days) 	mag 			exp (s) 	seeing (arcsec) 	filter
1.8540 			0.021458 		18.97+0.26/-0.21 	38.9 		· · · 			uvm2
5.7528 			0.066583 		19.82+0.18/-0.15 	196.6 		· · · 			uvm2
7.1892 			0.083209 		19.11+0.12/-0.11 	196.6 		· · · 			uvm2
24.0487 		0.278342 		19.78+0.09/-0.08 	885.6 		· · · 			uvm2
78.9216 		0.913445 		20.96+0.14/-0.12 	1086.6 		· · · 			uvm2
93.2926 		1.079776 		21.04+0.12/-0.11 	1515 		· · · 			uvm2
122.9344 		1.422852 		21.49+0.14/-0.12 	1615.7		· · · 			uvm2
188.0702 		2.176739 		22.39+0.76/-0.44 	326.7 		· · · 			uvm2
217.0329 		2.511955 		21.62+0.32/-0.25 	430.3 		· · · 			uvm2
246.5969 		2.854131 		22.39+0.20/-0.17 	2541.1 		· · · 			uvm2
258.1727 		2.988110 		22.48+0.18/-0.15 	3498.1 		· · · 			uvm2
312.9983 		3.622665 		> 20.48 		100.7 		· · · 			uvm2
341.8239 		3.956295 		23.24+0.92/-0.49 	794.8 		· · · 			uvm2	
387.9034 		4.489623 		> 22.16 		814.5 		· · · 			uvm2
437.1636 		5.059764 		22.48+0.31/-0.24 	1129.4 		· · · 			uvm2	
474.4777 		5.491641 		> 21.59 		440.5 		· · · 			uvm2
0.6431 			0.007444 		18.61+0.26/-0.21 	19.4 		· · · 			uvw1
0.8155 			0.009439 		18.56+0.26/-0.21 	19.5 		· · · 			uvw1
1.1817 			0.013678 		19.02+0.22/-0.19 	38.9 		· · · 			uvw1
1.5309 			0.017718 		19.32+0.26/-/-21 	38.9 		· · · 			uvw1
1.8792 			0.021750 		19.09+0.23/-0.19 	38.9 		· · · 			uvw1
5.9580 			0.068958 		19.63+0.14/-0.12 	196.6 		· · · 			uvw1
7.3951 			0.085592 		18.81+0.09/-0.08 	196.6 		· · · 			uvw1
24.8339 		0.287430 		19.66+0.08/-0.07 	642.3 		· · · 			uvw1
35.6599 		0.412730 		20.33+0.09/-0.09 	885.6 		· · · 			uvw1
60.5834 		0.701197 		21.05+0.13/-0.12 	1259.8 		· · · 			uvw1
87.0549 		1.007580 		20.81+0.09/-0.08 	1771.2 		· · · 			uvw1
138.7108 		1.605449 		20.79+0.11/-0.10 	1042.8 		· · · 			uvw1
187.3159 		2.168008 		> 21.18 		314.5 		· · · 			uvw1
199.2553 		2.306196 		21.62+0.42/-0.30 	314.5 		· · · 			uvw1	
211.6930 		2.450151 		21.84+0.42/-0.30 	314.5 		· · · 			uvw1
223.7850 		2.590104 		21.74+0.34/-0.26 	471.7 		· · · 			uvw1
233.5397 		2.703006 		21.98+0.48/-0.33 	471.7 		· · · 			uvw1
241.6857 		2.797288 		22.16+0.80/-0.46 	271.2 		· · · 			uvw1
250.8648 		2.903527 		21.83+0.61/-0.39 	314.5 		· · · 			uvw1
262.3900 		3.036921 		21.81+0.61/-0.39 	314.5 		· · · 			uvw1
312.3202 		3.614818 		22.22+0.46/-0.32 	629 		· · · 			uvw1
328.1525 		3.798061 		22.47+0.54/-0.36 	546.1		· · · 			uvw1
353.2548 		4.088597 		> 22.44 		1100.7 		· · · 			uvw1
423.4824 		4.901417 		23.00+0.67/-0.41 	748.9 		· · · 			uvw1
452.1975 		5.233767		22.86+0.58/-0.37 	675.6 		· · · 			uvw1
0.6675 			0.007726 		18.13+0.17/-0.15 	19.5 		· · · 			u
0.8400 			0.009723 		18.98+0.28/-0.22 	19.4 		· · · 			u
1.2065 			0.013965 		18.63+0.16/-0.14 	38.9 		· · · 			u
1.5560 			0.018009 		18.63+0.16/-0.14 	38.9 		· · · 			u
1.9036 			0.022032 		18.65+0.16/-0.14 	38.9 		· · · 			u
6.1636 			0.071338 		19.21+0.10/-0.09 	196.6		· · · 			u
7.6001 			0.087964 		18.13+0.06/-0.06 	196.6		· · · 			u
29.1265			0.337112 		19.66+0.08/-0.07 	590.1 		· · · 			u
32.9249 		0.381075 		19.82+0.08/-0.07 	590.1 		· · · 			u
45.0843 		0.521809 		20.32+0.11/-0.10 	580.9 		· · · 			u
61.8953 		0.716381 		20.82+0.16/-0.14 	576.9 		· · · 			u
76.3139 		0.883262 		20.56+0.13/-0.12 	574.3 		· · · 			u
87.8171 		1.016401 		20.28+0.10/-0.09 	612.1 		· · · 			u
96.4025 		1.115769 		20.24+0.08/-0.08 	885.1 		· · · 			u
139.3566		1.612924 		20.23+0.11/-0.10 	546 		· · · 			u
187.4401 		2.169445 		21.14+0.77/-0.45 	157 		· · · 			u
199.3795 		2.307633 		21.24+0.58/-0.38 	157 		· · · 			u
211.8172 		2.451588 		21.72+0.77/-0.45 	157 		· · · 			u
223.9091 		2.591540 		21.25+0.42/-0.30 	235.5 		· · · 			u
233.6637 		2.704441 		21.75+0.90/-0.49 	235.6 		· · · 			u
245.1895 		2.837841 		20.82+0.55/-0.36 	156.9 		· · · 			u
256.7393 		2.971520 		21.74+2.17/-0.68 	157 		· · · 			u
286.4793 		3.315733 		> 20.66 		84.7 		· · · 			u
315.6230 		3.653044 		21.84+0.70/-0.42 	314.1		· · · 			u
332.6649 		3.850289 		21.98+0.52/-0.35 	382.4 		· · · 			u
357.8214 		4.141451 		21.78+0.51/-0.34 	844 		· · · 			u
428.4023 		4.958360		22.05+0.44/-0.31 	578.3 		· · · 			u
465.3887 		5.386443 		21.45+0.42/-0.30 	342 		· · · 			u
0.6923 			0.008013 		17.75+0.18/-0.16 	19.5 		· · · 			b
1.2313 			0.014252 		18.12+0.16/-0.14 	38.9 		· · · 			b
1.5816 			0.018305 		18.25+0.17/-0.15 	38.9 		· · · 			b
1.9288 			0.022324 		18.21+0.17/-0.15 	38.9 		· · · 			b
6.3687 			0.073712 		18.83+0.11/-0.10 	196.6 		· · · 			b
12.4288			0.143852 		18.17+0.06/-0.06 	422.9 		· · · 			b
17.4587 		0.202068 		18.46+0.06/-0.05 	590.1 		· · · 			b
30.1901 		0.349422 		19.30+0.07/-0.07 	885.1 		· · · 			b
46.7137 		0.540668 		19.98+0.21/-0.18 	322 		· · · 			b
55.5361 		0.642779 		20.00+0.18/-0.15 	590.1 		· · · 			b
78.6596 		0.910412 		20.04+0.13/-12 		885.2 		· · · 			b
113.1247 		1.309314 		20.21+0.20/-0.17 	508.1 		· · · 			b
181.8280 		2.104491 		> 19.75 		157 		· · · 			b		
193.2988 		2.237254 		20.89+1.53/-0.61 	157 		· · · 			b		
205.7917 		2.381848 		> 19.90 		118.7 		· · · 			b	
217.9545 		2.522621 		> 20.09 		150.1 		· · · 			b		
227.9728 		2.638574 		20.87+0.93/-0.49 	191.1 		· · · 			b		
237.6921 		2.751066 		> 19.86 		235.5 		· · · 			b		
251.0736 		2.905944 		20.76+1.29/-0.57 	157 		· · · 			b		
283.6520 		3.283009 		20.31+0.51/-0.34 	157 		· · · 			b
315.7073 		3.654019 		21.68+2.33/-0.69 	254.2 		· · · 			b
332.8640 		3.852593 		21.85+1.40/-0.59 	382.4 		· · · 			b		
358.2559 		4.146480 		21.72+0.76/-0.44 	844 		· · · 			b		
428.7012 		4.961819 		21.57+0.62/-0.39 	578.3		· · · 			b	
465.5675 		5.388512 		> 20.46 		342.1 		· · · 			b		
0.4140 			0.004791 		> 17.60 		9.5 		· · · 			v			
0.5940 			0.006875 		17.20+0.25/-0.20 	19.5		· · · 			v
0.7664 			0.008871 		17.47+0.29/-0.23 	19.4 		· · · 			v
1.1323 			0.013106 		17.77+0.24/-0.20 	38.9 		· · · 			v
1.4811 			0.017142 		17.86+0.26/-/-21 	38.9 		· · · 			v
1.8297 			0.021177 		17.73+0.23/-0.19 	38.9 		· · · 			v
5.5478 			0.064211 		18.04+0.15/-0.13 	196.6		· · · 			v
6.9842 			0.080836 		17.70+0.10/-0.09 	196.6 		· · · 			v
13.0037 		0.150505 		18.06+0.10/-0.09 	295 		· · · 			v
13.3072 		0.154018 		18.08+0.10/-0.09 	295 		· · · 			v
18.2242 		0.210928 		18.61+0.14/-0.13 	442.8 		· · · 			v
23.2940 		0.269607 		18.69+0.11/-0.10 	590.1 		· · · 			v
51.0158 		0.590461 		19.83+0.28/-0.22 	523.4 		· · · 			v
67.8238 		0.784998 		19.87+0.39/-0.29 	326.4 		· · · 			v
81.6539 		0.945068 		20.12+0.28/-0.22 	885.1 		· · · 			v
98.9052 		1.144736 		19.45+0.15/-0.13 	885.2 		· · ·			v
119.7450		1.385938 		19.84+0.23/-0.19 	796.3 		· · ·			v
182.2380 		2.109236 		> 19.20 		156.2 		· · · 			v
193.7085 		2.241996 		> 19.14 		157.1 		· · · 			v
234.1580 		2.710162 		20.32+1.44/-0.60 	132.5 		· · · 			v
245.6837 		2.843561 		> 19.14 		157 		· · · 			v
257.2340 		2.977245 		20.61+2.17/-0.68 	157 		· · · 			v
312.9387 		3.621976 		> 19.20 		157 		· · · 			v
348.0090 		4.027882 		> 20.20 		713.5 		· · · 			v
394.1291 		4.561679 		20.97+0.84/-0.47 	565.2 		· · · 			v
442.6982 		5.123822 		20.88+0.82/-0.46 	551.4 		· · · 			v
0.4323 			0.005003 		18.79+0.16/-0.14	10 		· · · 			white
0.4423 			0.005119 		18.80+0.16/-0.14 	10 		· · ·			white
0.4523 			0.005235 		18.85+0.16/-0.14 	10 		· · · 			white
0.4623 			0.005350 		18.93+0.17/-0.15 	10 		· · · 			white
0.4723 			0.005466 		19.06+0.18/-0.16 	10 		· · · 			white
0.4823 			0.005582 		19.24+0.21/-0.17 	10 		· · · 			white
0.4923 			0.005698 		19.08+0.18/-0.16 	10 		· · · 			white
0.5023 			0.005813 		18.85+0.16/-0.14 	10 		· · · 			white
0.5123 			0.005929 		18.81+0.16/-0.14 	10 		· · · 			white
0.5223 			0.006045 		19.11+0.19/-0.16 	10 		· · · 			white
0.5323 			0.006161 		18.79+0.16/-0.14 	10 		· · · 			white
0.5423 			0.006276 		18.70+0.15/-0.13 	10 		· · · 			white
0.5523 			0.006392 		18.50+0.14/-0.12 	10 		· · · 			white
0.5623 			0.006508 		18.70+0.15/-0.13 	10 		· · · 			white
0.5723 			0.006624 		18.67+0.15/-0.13 	9.8 		· · · 			white
0.7166 			0.008294 		18.12+0.09/-0.08 	19.5 		· · · 			white
0.9277 			0.010737 		18.57+0.05/-0.05 	147.4 		· · · 			white
1.2558 			0.014535 		18.66+0.08/-0.07 	38.9 		· · · 			white
1.6059 			0.018587 		18.69+0.08/-0.07 	38.9 		· · · 			white
1.9532 			0.022607 		18.56+0.07/-0.07 	38.9 		· · · 			white
6.5737 			0.076084 		18.97+0.05/-0.05 	196.6		· · · 			white
11.1840 		0.129445 		18.60+0.05/-0.04 	295 		· · · 			white
11.4876 		0.132958 		18.69+0.04/-0.04 	295 		· · · 			white
11.7913 		0.136473 		18.72+0.04/-0.04 	295 		· · · 			white
18.0674			0.209113 		18.86+0.03/-0.03 	590.1 		· · · 			white
24.6549 		0.285358 		19.42+0.04/-0.04 	575.8 		· · · 			white
56.0929 		0.649223 		20.49+0.07/-0.07 	427.1 		· · · 			white
93.9212 		1.087051 		20.42+0.07/-0.07 	393.4 		· · · 			white
136.1345		1.575631 		20.29+0.05/-0.05 	666.6 		· · · 			white
152.8072		1.768602 		20.58+0.06/-0.06 	941.7 		· · · 			white
158.5632 		1.835222 		20.67+0.06/-0.06 	1226.5		· · · 			white
164.3322 		1.901993 		20.66+0.07/-0.07 	780.1 		· · · 			white
170.1173 		1.968950 		20.89+0.09/-0.08 	735.5 		· · · 			white
219.2282 		2.537364 		21.08+0.11/-0.10 	700.8 		· · · 			white
269.2423 		3.116231 		21.32+0.17/-0.15 	334.4 		· · · 			white
275.9110 		3.193414 		21.67+0.31/-0.24 	141.4 		· · · 			white
310.6214 		3.595155 		22.05+0.28/-0.22 	312 		· · · 			white
358.6900 		4.151504 		22.34+0.21/-0.18 	844 		· · · 			white
428.9996 		4.965273 		22.42+0.28/-0.22 	578.3 		· · · 			white
465.7457 		5.390575 		22.08+0.32/-0.25 	342.1 		· · · 			white
508.0972 		5.880754 		22.44+0.12/-0.11 	3561.9 		· · · 			white
519.7252 		6.015338 		22.38+0.12/-0.10 	3422.5 		· · · 			white
560.4170 		6.486308 		22.43+0.11/-0.10 	3418.5 		· · · 			white
603.9736 		6.990435 		22.76+0.22/-0.19 	1627.4 		· · · 			white
619.1009 		7.165520 		22.86+0.14/-0.12 	4709 		· · · 			white
642.7491 		7.439226 		22.74+0.15/-0.13 	3218.4 		· · · 			white
668.0231 		7.731749 		22.91+0.21/-0.17 	2451.2 		· · · 			white
690.6005 		7.993062 		22.54+0.18/-0.16 	1626.3 		· · · 			white
713.7695 		8.261221 		22.79+0.13/-0.11 	4846.1 		· · · 			white
739.7536 		8.561963 		22.48+0.18/-0.16 	1485.5 		· · · 			white
765.6518 		8.861711 		23.09+0.21/-0.18 	3288 		· · · 			white
782.9717 		9.062172		23.10+0.17/-0.15 	4948.5 		· · · 			white
817.6420 		9.463449		23.03+0.30/-0.23 	1654.1 		· · · 			white
852.2990 		9.864572		23.31+0.26/-0.21 	3291.6 		· · · 			white
870.3247 		10.07320 		23.42+0.24/-0.20 	4641.8 		· · · 			white
904.9478 		10.47393 		23.72+0.57/-0.37 	1966.5 		· · · 			white
939.6598 		10.87569 		23.87+0.41/-0.29 	4380.6 		· · · 			white
982.1179 		11.36711 		23.37+0.27/-22 		3550.4 		· · · 			white
1028.4475		11.90333 		23.91+0.69/-0.42 	2202.2 		· · · 			white
1068.6013		12.36807 		24.07+0.64/-0.40 	3182.9 		· · · 			white
1103.3277 		12.77000 		24.39+0.77/-?0.45	4852 		· · · 			white
1149.9545 		13.30966 		24.82+1.70/-0.63 	4368.8 		· · · 			white
1199.1767 		13.87936 		24.44+0.84/-0.47 	6120.1 		· · · 			white
1245.3861 		14.41419 		23.63+0.86/-0.47 	893.9 		· · · 			white
1291.2045 		14.94450 		24.22+1.16/-0.55 	1925.4 		· · ·			white
1320.0897 		15.27882 		24.10+0.59/-0.38 	5253.9 		· · · 			white
1351.7119 		15.64481 		> 22.50 		634.4 		· · · 			white
1400.4694 		16.20914 		> 22.22 		1306.4		· · · 			white
1458.1890 		16.87719 		> 20.95 		206.3 		· · · 			white
1499.3459 		17.35354 		24.09+0.56/-0.37 	5169.2 		· · · 			white
1542.6334 		17.85455 		24.61+3.44/-0.73 	2189.9 		· · · 			white
1588.1806 		18.38172 		24.62+1.85/-0.65 	4533.7 		· · · 			white
1622.8880 		18.78343 		> 22.46 		3294.5 		· · · 			white
1678.0583 		19.42197 		24.76+1.83/-0.65 	5025.1 		· · · 			white
1744.7027 		20.19332 		23.74+0.89/-0.48 	1421.7 		· · ·		 	white	
1794.1713 		20.76587 		> 23.03 		2798.5 		· · · 			white
1834.5986 		21.23378 		22.99+0.45/-0.32 	838.7 		· · · 			white
1874.6821 		21.69771 		24.15+0.65/-0.40 	4605.8		· · · 			white
1938.2157 		22.43305 		> 22.92 		3090 		· · · 			white
2001.7916 		23.16888 		> 22.88 		1584.4 		· · · 			white
2068.2861 		23.93850 		> 22.91 		3074.9 		· · · 			white
2137.6769 		24.74163 		24.65+1.97/-0.66 	3156.8 		· · · 			white
2183.9082 		25.27671 		23.62+0.66/-0.41	1555.5 		· · · 			white
2235.9254 		25.87877 		> 22.97 		6310.5 		· · · 			white
64.49 			0.746440 		20.426 ± 0.059  	142 		0.99 			g
64.93 			0.751499 		20.478 ± 0.047  	142 		0.94 			g
65.37 			0.756632 		20.507 ± 0.055  	142 		0.85	 		g
65.82 			0.761760 		20.493 ± 0.061  	142 		0.87 			g
66.25 			0.766805 		20.476 ± 0.057  	142 		0.74 			g
66.69 			0.771848 		20.464 ± 0.065  	142 		0.85 			g
67.13 			0.776936 		20.462 ± 0.049  	142 		0.79 			g
67.58 			0.782209 		20.461 ± 0.059  	142 		0.86 			g
68.02 			0.787229 		20.502 ± 0.053  	142 		0.80 			g
68.46 			0.792317 		20.492 ± 0.054  	142 		0.84 			g
69.20 			0.800883 		20.462 ± 0.045 		460 		0.82 			g
70.00 			0.810153 		20.469 ± 0.047 		460 		0.79 			g
70.85 			0.820019 		20.429 ± 0.041 		460 		0.77 			g
71.60 			0.828663 		20.444 ± 0.055 		460 		0.79			g
72.38 			0.837725 		20.430 ± 0.055 		460 		0.86 			g
73.16 			0.846806 		20.456 ± 0.042 		460 		0.89 			g
73.96 			0.856003 		20.432 ± 0.055 		460 		1.08 			g
74.76 			0.865263 		20.382 ± 0.051 		460 		1.02 			g
75.56 			0.874504 		20.364 ± 0.081 		460 		1.19 			g
76.35 			0.883669 		20.303 ± 0.065 		460 		1.12 			g
77.14 			0.892841 		20.304 ± 0.069 		460 		1.23 			g
77.95 			0.902235 		20.262 ± 0.072 		460 		1.18			g
78.75 			0.911515 		20.170 ± 0.082 		460 		1.49 			g
79.56 			0.920794 		20.172 ± 0.081 		460 		1.47 			g
80.36 			0.930069 		20.166 ± 0.084 		460 		1.58 			g
81.17 			0.939427 		20.080 ± 0.046 		460 		1.59 			g
81.95 			0.948452 		20.002 ± 0.052 		460 		2.11 			g
151.49			1.753348 		20.047 ± 0.053 		460 		1.04 			g
155.91			1.804496 		20.073 ± 0.058 		460 		1.24 			g
160.33 			1.855649 		20.048 ± 0.040 		460 		1.56 			g
164.70 			1.906235 		20.138 ± 0.050 		460 		1.40 			g
239.81 			2.775588 		20.810 ± 0.043 		919 		0.92 			g
250.95 			2.904470 		20.852 ± 0.055 		919 		1.30 			g
329.17 			3.809864 		21.156 ± 0.055 		1133		1.10 			g
415.47 			4.808631 		21.493 ± 0.048 		1838		1.08 			g
501.08 			5.799551 		21.592 ± 0.031 		1838		0.98 			g
588.10 			6.806728 		21.851 ± 0.054 		1838		1.18 			g
669.18 			7.745094 		22.033 ± 0.053 		919 		1.24 			g
843.66 			9.764627 		22.393 ± 0.027 		1379		0.65 			g
1101.93 		12.75382 		22.855 ± 0.056 		2420		1.07 			g
1880.55 		21.76561 		23.260 ± 0.090 		2952		1.55 			g
2401.32 		27.79309 		23.454 ± 0.186 		4502		1.48 			g
3090.97 		35.77507 		23.803 ± 0.120 		3630		1.51 			g
4258.44 		49.28755 		24.267 ± 0.238 		5384 		1.77 			g
4732.20 		54.77078 		24.467 ± 0.352 		5422 		1.62 			g
6241.88 		72.24398 		> 24.573 		2758 		1.66 			g
24277.46 		280.9891 		25.661 ± 0.312 		3752 		1.22 			g
64.49 			0.746440 		20.106 ± 0.036 		142 		1.02 			r
64.93 			0.751499 		20.111 ± 0.037 		142 		0.93 			r
65.37 			0.756632 		20.160 ± 0.049 		142 		0.87 			r
65.82 			0.761760 		20.113 ± 0.038 		142 		0.86 			r
66.25 			0.766805 		20.133 ± 0.040 		142 		0.84 			r
66.69 			0.771848 		20.109 ± 0.030 		142 		0.94 			r
67.13 			0.776936 		20.111 ± 0.045 		142 		0.92 			r
67.58 			0.782209 		20.131 ± 0.035 		142 		0.72 			r
68.02 			0.787229 		20.123 ± 0.031 		142 		0.75 			r
68.46 			0.792317 		20.097 ± 0.027 		142 		0.78 			r
69.20 			0.800883 		20.122 ± 0.038 		460 		0.84 			r
70.00 			0.810153 		20.121 ± 0.031 		460 		0.88 			r
70.85 			0.820019 		20.120 ± 0.039 		460 		0.86 			r
71.60 			0.828663 		20.102 ± 0.018 		460 		0.62 			r
72.38 			0.837725 		20.075 ± 0.022 		460 		0.65 			r
73.16 			0.846806 		20.105 ± 0.021 		460 		0.70 			r
73.96 			0.856003 		20.019 ± 0.020 		460 		0.77 			r
74.76 			0.865263 		19.996 ± 0.019 		460 		0.77 			r
75.56 			0.874504 		19.951 ± 0.024 		460 		0.84 			r
76.35 			0.883669 		19.901 ± 0.020 		460 		0.80 			r
77.14 			0.892841 		19.870 ± 0.019 		460 		0.78 			r
77.95 			0.902235 		19.827 ± 0.023 		460 		0.88 			r
78.75 			0.911515 		19.787 ± 0.024 		460 		1.06 			r
79.56 			0.920794 		19.752 ± 0.021 		460 		0.98 			r
80.36 			0.930069 		19.701 ± 0.024 		460 		1.03 			r
81.17 			0.939427 		19.656 ± 0.046 		460 		1.07 			r
81.95 			0.948452 		19.622 ± 0.030 		460 		1.41 			r
151.49 			1.753348 		19.659 ± 0.016 		460 		0.81 			r
155.91 			1.804496 		19.617 ± 0.022 		460 		0.91 			r
160.33 			1.855649 		19.653 ± 0.015 		460 		1.14 			r
164.70 			1.906235 		19.751 ± 0.037 		460 		1.13 			r
239.81 			2.775588 		20.347 ± 0.029 		919 		0.95 			r
250.95 			2.904470 		20.492 ± 0.023 		919 		0.95 			r
329.17 			3.809864 		20.737 ± 0.026 		1133		0.71 			r
415.47 			4.808631 		21.084 ± 0.031 		1838 		0.86 			r
501.08 			5.799551 		21.188 ± 0.024 		1838 		0.73 			r
588.10 			6.806728 		21.461 ± 0.027	 	1838 		0.98 			r
669.18 			7.745094 		21.668 ± 0.076 		919 		1.25 			r
843.66 			9.764627 		22.009 ± 0.028 		1379 		0.69 			r
1101.93 		12.75382 		22.425 ± 0.038 		2420 		0.94 			r
1880.55 		21.76561 		22.680 ± 0.046 		2952 		1.25 			r
2401.32 		27.79309 		23.005 ± 0.093 		4502 		1.24 			r
3090.97 		35.77507 		23.106 ± 0.082 		3630 		1.20 			r
4258.44 		49.28755 		23.598 ± 0.134 		5384 		1.36 			r
4732.20 		54.77078 		23.923 ± 0.148 		5422 		1.19 			r
6241.88 		72.24398 		24.450 ± 0.278 		2758 		1.17 			r
24277.46 		280.9891 		25.044 ± 0.184 		3752 		0.96 			r
64.49 			0.746440 		19.914 ± 0.043 		142 		0.90 			i
64.93 			0.751499 		19.916 ± 0.051 		142 		0.84 			i
65.37 			0.756632 		19.899 ± 0.032 		142 		0.80 			i
65.82 			0.761760 		19.917 ± 0.037 		142 		0.75 			i
66.25 			0.766805 		19.929 ± 0.036 		142 		0.71 			i
66.69 			0.771848 		19.894 ± 0.036 		142 		0.79 			i
67.13 			0.776936 		19.892 ± 0.039 		142 		0.76 			i
67.58 			0.782209 		19.915 ± 0.037 		142 		0.66 			i
68.02 			0.787229 		19.914 ± 0.038 		142 		0.67 			i
68.46 			0.792317 		19.904 ± 0.040 		142 		0.69 			i
69.20 			0.800883 		19.921 ± 0.022 		460 		0.78 			i
70.00 			0.810153 		19.904 ± 0.021 		460 		0.76 			i
70.85 			0.820019 		19.902 ± 0.023 		460 		0.74 			i
71.60 			0.828663 		19.899 ± 0.020 		460 		0.57 			i
72.38 			0.837725 		19.884 ± 0.022 		460 		0.61 			i
73.16 			0.846806 		19.860 ± 0.023 		460 		0.64 			i
73.96 			0.856003 		19.835 ± 0.024 		460 		0.72 			i
74.76 			0.865263 		19.788 ± 0.024 		460 		0.72 			i
75.56 			0.874504 		19.748 ± 0.025 		460 		0.78 			i
76.35 			0.883669 		19.654 ± 0.019 		460 		0.73 			i
77.14 			0.892841 		19.634 ± 0.017 		460 		0.75 			i
77.95 			0.902235 		19.578 ± 0.022 		460 		0.80 			i
78.75 			0.911515 		19.533 ± 0.028 		460 		0.97 			i
79.56 			0.920794 		19.460 ± 0.029 		460 		0.89 			i
80.36 			0.930069 		19.408 ± 0.025 		460 		0.94 			i
81.17 			0.939427 		19.414 ± 0.036 		460 		0.98 			i
81.95 			0.948452 		19.400 ± 0.024 		460 		1.28 			i
151.49	 		1.753348 		19.360 ± 0.030 		460 		0.81 			i
155.91 			1.804496 		19.392 ± 0.033 		460 		0.95 			i
160.33 			1.855649 		19.360 ± 0.021 		460 		1.10 			i
164.70 			1.906235 		19.434 ± 0.029 		460 		1.12 			i
239.81 			2.775588 		20.105 ± 0.024 		919 		0.85 			i
250.95 			2.904470 		20.201 ± 0.029 		919 		0.92 			i
329.17 			3.809864 		20.432 ± 0.031 		1133		0.74 			i
415.47 			4.808631 		20.811 ± 0.022 		1838		0.82 			i
501.08 			5.799551 		20.902 ± 0.019 		1838		0.72 			i
588.10 			6.806728 		21.181 ± 0.038 		1838		0.90 			i
669.18 			7.745094 		21.396 ± 0.089 		919 		1.12 			i
843.66 			9.764627 		21.754 ± 0.042 		1379 		0.63 			i
1101.93 		12.75382 		22.198 ± 0.067 		2420 		0.86 			i
1880.55 		21.76561 		22.398 ± 0.073 		2952 		1.14 			i
2401.32 		27.79309 		22.627 ± 0.105 		4502 		1.18 			i
3090.97 		35.77507 		22.811 ± 0.102 		3630 		1.17 			i
4258.44 		49.28755 		23.262 ± 0.233 		5384 		1.33 			i
4732.20 		54.77078 		23.378 ± 0.160 		5422 		1.14 			i
6241.88 		72.24398 		23.678 ± 0.320 		2758 		1.12 			i
24277.46		280.9891 		24.364 ± 0.218 		3752 		0.94 			i
64.49 			0.746440 		19.716 ± 0.053 		142 		0.81 			z
64.93 			0.751499 		19.745 ± 0.053 		142 		0.77 			z
65.37 			0.756632 		19.759 ± 0.065 		142 		0.71 			z
65.82 			0.761760 		19.734 ± 0.062 		142 		0.70 			z
66.25 			0.766805 		19.717 ± 0.051 		142 		0.63 			z
66.69 			0.771848 		19.721 ± 0.053 		142 		0.72 			z
67.13 			0.776936 		19.767 ± 0.059 		142 		0.71 			z
67.58 			0.782209 		19.692 ± 0.041 		142 		0.63 			z
68.02 			0.787229 		19.723 ± 0.048 		142 		0.65 			z
68.46 			0.792317 		19.742 ± 0.043 		142 		0.67 			z
69.20 			0.800883 		19.675 ± 0.023 		460 		0.68 			z
