Table 2. UVOT and GROND observations of the afterglow of GRB 111209A.
(Delta)t (ks) 		(Delta)t (days) 	mag 			exp (s) 	seeing (arcsec) 	filter
70.00 			0.810153 		19.663 ± 0.052 		460 		0.68 			z
70.85 			0.820019 		19.670 ± 0.044 		460 		0.67 			z
71.60 			0.828663 		19.681 ± 0.055 		460 		0.53 			z
72.38 			0.837725 		19.642 ± 0.053 		460 		0.58 			z
73.16 			0.846806		19.634 ± 0.053 		460 		0.64 			z
73.96 			0.856003		19.537 ± 0.043 		460 		0.69 			z
74.76 			0.865263		19.547 ± 0.035 		460 		0.72 			z
75.56 			0.874504		19.534 ± 0.063 		460 		0.75 			z
76.35 			0.883669		19.416 ± 0.044 		460 		0.70 			z
77.14 			0.892841		19.395 ± 0.036 		460 		0.73 			z
77.95 			0.902235 		19.323 ± 0.026 		460 		0.78 			z
78.75 			0.911515 		19.277 ± 0.041 		460 		0.95 			z
79.56 			0.920794 		19.237 ± 0.044 		460 		0.88 			z
80.36 			0.930069 		19.166 ± 0.024 		460 		0.92 			z
81.17 			0.939427 		19.136 ± 0.024 		460	 	0.94 			z
81.95 			0.948452 		19.098 ± 0.037 		460 		1.27 			z
151.49 			1.753348 		19.132 ± 0.017 		460 		0.77 			z
155.91 			1.804496 		19.128 ± 0.020 		460 		0.92 			z
160.33 			1.855649 		19.149 ± 0.024 		460 		1.08 			z
164.70 			1.906235 		19.189 ± 0.043 		460 		1.10 			z
239.81 			2.775588 		19.889 ± 0.053 		919 		0.76 			z
250.95 			2.904470 		19.950 ± 0.067 		919 		0.87 			z
329.17 			3.809864 		20.221 ± 0.045 		1133		0.72 			z
415.47 			4.808631 		20.604 ± 0.041 		1838 		0.79 			z
501.08 			5.799551 		20.713 ± 0.038 		1838 		0.72 			z
588.10 			6.806728 		20.941 ± 0.054 		1838 		0.87 			z
669.18 			7.745094 		21.174 ± 0.077 		919 		1.04 			z
843.66 			9.764627 		21.569 ± 0.064 		1379 		0.61 			z
1101.93 		12.75382 		22.028 ± 0.085 		2420 		0.82 			z
1880.55 		21.76561 		22.298 ± 0.088 		2952 		1.10 			z
2401.32 		27.79309 		22.360 ± 0.138 		4502 		1.10 			z
3090.97 		35.77507 		22.459 ± 0.118 		3630 		1.12 			z
4258.44 		49.28755 		23.000 ± 0.319 		5384 		1.33 			z
4732.20 		54.77078 		23.147 ± 0.214 		5422 		1.13 			z
6241.88 		72.24398 		23.470 ± 0.443 		2758 		1.06 			z
24277.46		280.9891 		24.022 ± 0.279 		3752 		0.90 			z
64.52 			0.746718 		19.313 ± 0.128 		240 		1.38 			J
64.96 			0.751794 		19.411 ± 0.128 		240 		1.49 			J
65.40 			0.756904 		19.323 ± 0.145 		240 		1.29 			J
65.84 			0.762041 		19.455 ± 0.166 		240 		1.36 			J
66.28 			0.767086 		19.332 ± 0.167 		240 		1.32 			J
66.71 			0.772126 		19.314 ± 0.147 		240 		1.38 			J
67.15 			0.777215 		19.349 ± 0.147 		240 		1.36 			J
67.61 			0.782483 		19.327 ± 0.110 		240 		1.24 			J
68.04 			0.787512 		19.313 ± 0.098 		240 		1.14 			J
68.48	 		0.792610 		19.339 ± 0.130 		240 		1.23 			J
69.22 			0.801194 		19.312 ± 0.137 		480 		1.31 			J
70.02 			0.810466	 	19.324 ± 0.155 		480 		1.36 			J
70.82 			0.819633 		19.106 ± 0.159 		480 		1.33 			J
71.62 			0.828972 		19.239 ± 0.172 		480 		1.08 			J
72.41 			0.838035 		19.353 ± 0.163 		480 		1.13 			J
73.19 			0.847117  		19.198 ± 0.149    	480 		1.17 			J
73.99			0.856314  		19.226 ± 0.099 		480 		1.18 			J
74.79	 		0.865581  		19.121 ± 0.150 		480 		1.09 			J
75.58 			0.874812  		19.140 ± 0.115 		480 		1.21 			J
76.38 			0.883978  		18.998 ± 0.136 		480 		1.14 			J
77.17 			0.893158  		18.910 ± 0.121 		480 		1.09 			J
77.98 			0.902545  		19.022 ± 0.121 		480 		1.17 			J
78.78 			0.911825  		18.911 ± 0.106 		480 		1.26 			J
79.58 			0.921103  		18.910 ± 0.116 		480 		1.23 			J
80.38 			0.930378  		18.890 ± 0.102 		480		1.20 			J
81.19 			0.939736  		18.782 ± 0.115 		480 		1.20 			J
81.97 			0.948770  		18.719 ± 0.097 		480 		1.63 			J
151.52 			1.753657  		18.722 ± 0.124 		480 		1.17 			J
155.94 			1.804812  		18.786 ± 0.077 		480 		1.18 			J
160.36 			1.855967  		18.746 ± 0.105 		480 		1.36 			J
164.73 			1.906554  		18.749 ± 0.107 		480 		1.42 			J
239.84 			2.775900 		19.657 ± 0.133 		960 		1.51 			J
250.97 			2.904789  		19.647 ± 0.111 		960 		1.25 			J
329.20 			3.810145  		19.875 ± 0.077 		1920 		1.06 			J
415.49 			4.808939  		20.173 ± 0.112 		1920 		1.25 			J
501.11 			5.799862  		20.254 ± 0.115 		1920 		1.19 			J
588.13 			6.807036  		20.625 ± 0.157 		1920 		1.47 			J
669.20 			7.745412  		20.698 ± 0.229 		960 		1.61 			J
843.69 			9.764943  		21.226 ± 0.212 		1440 		1.27 			J
1101.95			12.75411  		21.833 ± 0.237 		2160 		1.28 			J
1880.58 		21.76593  		21.792 ± 0.237 		2400 		1.36 			J
2401.32 		27.79309  		22.154 ± 0.321 		3600 		1.34 			J
3090.99 		35.77538  		> 22.25 		3240 		1.33 			J
4258.47 		49.28783  		> 21.54 		4560 		1.33 			J			
4732.22 		54.77109  		> 22.06 		4560 		1.44 			J		
6241.91 		72.24430  		> 21.52 		2880 		1.35 			J
24277.49 		280.9894  		> 22.39 		3600 		1.25 			J
64.52 			0.746718  		18.986 ± 0.154 		240 		1.46 			H
64.96 			0.751794  		19.111 ± 0.164 		240 		1.33 			H
65.40 			0.756904  		18.995 ± 0.165 		240 		1.32 			H
65.84 			0.762041  		19.099 ± 0.159 		240 		1.41 			H
66.28 			0.767086  		18.993 ± 0.166 		240 		1.42 			H
66.71 			0.772126  		19.135 ± 0.169 		240 		1.51 			H
67.15 			0.777215  		18.966 ± 0.188 		240 		1.41 			H
67.61 			0.782483  		19.165 ± 0.160 		240 		1.24 			H
68.04 			0.787512  		18.994 ± 0.167 		240 		1.18 			H
68.48 			0.792610  		18.993 ± 0.149 		240 		1.21 			H
69.22 			0.801194  		19.018 ± 0.132 		480 		1.38 			H
70.02 			0.810466  		18.985 ± 0.143 		480 		1.34 			H
70.82 			0.819633  		18.973 ± 0.153 		480 		1.32 			H
71.62 			0.828972  		18.944 ± 0.130 		480 		1.12 			H
72.41 			0.838035  		18.887 ± 0.112 		480 		1.11 			H
73.19 			0.847117  		18.857 ± 0.115 		480 		1.14 			H
73.99 			0.856314  		18.915 ± 0.108 		480 		1.14 			H
74.79 			0.865581  		18.919 ± 0.118 		480 		1.10 			H
75.58 			0.874812  		18.844 ± 0.115 		480 		1.16 			H
76.38 			0.883978  		18.777 ± 0.106 		480 		1.15 			H
77.17 			0.893158  		18.704 ± 0.112 		480 		1.14 			H
77.98 			0.902545  		18.590 ± 0.109 		480 		1.14 			H
78.78 			0.911825  		18.574 ± 0.106 		480 		1.23 			H
79.58 			0.921103  		18.571 ± 0.103 		480 		1.19 			H
80.38 			0.930378  		18.441 ± 0.086 		480 		1.21 			H
81.19 			0.939736  		18.498 ± 0.098 		480 		1.15 			H
81.97 			0.948770  		18.374 ± 0.101 		480 		1.55 			H
151.52 			1.753657  		18.309 ± 0.117 		480		1.17 			H
155.94 			1.804812  		18.313 ± 0.114 		480 		1.16 			H
160.36 			1.855967  		18.351 ± 0.104 		480 		1.33 			H
164.73 			1.906554  		18.404 ± 0.121 		480 		1.28 			H
239.84 			2.775900  		19.010 ± 0.137 		960 		1.52 			H
250.97 			2.904789  		19.106 ± 0.121 		960 		1.18 			H
329.20 			3.810145  		19.390 ± 0.120 		1920		1.08 			H
415.49 			4.808939  		19.881 ± 0.159 		1920		1.27 			H
501.11 			5.799862  		19.987 ± 0.150 		1920		1.14 			H
588.13 			6.807036  		20.247 ± 0.193 		1920		1.34 			H
669.20 			7.745412  		20.365 ± 0.291 		960 		1.81 			H
843.69 			9.764943  		20.711 ± 0.405 		1440 		1.34 			H
1101.95	 		12.75411  		20.817 ± 0.250 		2160 		1.30 			H
1880.58	 		21.76593  		21.762 ± 0.274 		2400 		1.27 			H
2401.32	 		27.79309  		21.856 ± 0.358 		3600 		1.33 			H
3090.99	 		35.77538  		> 21.85 		3240 		1.27 			H
4258.47	 		49.28783  		> 21.05 		4560 		1.34 			H
4732.22 		54.77109  		> 21.62 		4560 		1.44 			H
6241.91 		72.24430  		> 20.91 		2880 		1.39 			H
24277.49		280.9894  		> 21.84			3600 		1.34 			H
64.52 			0.746718  		18.920 ± 0.245 		240 		1.43 			KS
64.96 			0.751794  		18.547 ± 0.179 		240 		1.33 			KS
65.40 			0.756904  		18.757 ± 0.255 		240 		1.34 			KS
65.84 			0.762041  		18.714 ± 0.199 		240 		1.29 			KS
66.28 			0.767086  		18.896 ± 0.242 		240 		1.31 			KS
66.71 			0.772126  		18.702 ± 0.203 		240 		1.32 			KS
67.15 			0.777215  		18.861 ± 0.275 		240 		1.30 			KS
67.61 			0.782483  		18.643 ± 0.214 		240 		1.29 			KS
68.04 			0.787512  		18.635 ± 0.217 		240 		1.25 			KS
68.48 			0.792610  		18.564 ± 0.196 		240 		1.32 			KS
69.22 			0.801194  		18.680 ± 0.219 		480 		1.36 			KS
70.02 			0.810466  		18.722 ± 0.206 		480 		1.34 			KS
70.82 			0.819633  		18.702 ± 0.202 		480 		1.39 			KS
71.62 			0.828972  		18.500 ± 0.175 		480 		1.25 			KS
72.41 			0.838035  		18.454 ± 0.171 		480 		1.33 			KS
73.19 			0.847117  		18.525 ± 0.177 		480 		1.27 			KS
73.99 			0.856314  		18.515 ± 0.169 		480 		1.36 			KS
74.79 			0.865581  		18.475 ± 0.170 		480 		1.30 			KS
75.58 			0.874812  		18.476 ± 0.188 		480 		1.42 			KS
76.38 			0.883978  		18.431 ± 0.173 		480 		1.28 			KS
77.17 			0.893158  		18.247 ± 0.191 		480 		1.30 			KS
77.98 			0.902545  		18.470 ± 0.182 		480 		1.26 			KS
78.78 			0.911825  		18.261 ± 0.187 		480 		1.43 			KS
79.58 			0.921103  		18.054 ± 0.187 		480 		1.39 			KS
80.38 			0.930378  		17.999 ± 0.154 		480 		1.42 			KS
81.19 			0.939736  		17.965 ± 0.171 		480 		1.43 			KS
81.97 			0.948770  		17.922 ± 0.211 		480 		1.62 			KS
151.52 			1.753657  		17.843 ± 0.147 		480 		1.32 			KS
155.94 			1.804812  		17.866 ± 0.146 		480 		1.35 			KS
160.36 			1.855967  		18.014 ± 0.164 		480 		1.45 			KS
164.73 			1.906554  		18.095 ± 0.176 		480 		1.47 			KS
239.84 			2.775900  		18.713 ± 0.173 		960 		1.35 			KS
250.97 			2.904789  		18.985 ± 0.208 		960 		1.31 			KS
329.20 			3.810145  		19.102 ± 0.179 		1920 		1.27 			KS
415.49 			4.808939  		19.650 ± 0.259 		1920 		1.33 			KS
501.11 			5.799862  		19.937 ± 0.320 		1920 		1.30 			KS
588.13 			6.807036  		19.667 ± 0.272 		1920 		1.41 			KS
669.20 			7.745412  		19.860 ± 0.351 		960 		1.49 			KS
843.69 			9.764943  		20.486 ± 0.458 		1440 		1.22 			KS
1101.95 		12.75411  		20.573 ± 0.516 		2160 		1.33 			KS
1880.58 		21.76593  		20.698 ± 0.747 		2400 		1.47 			KS
2401.32 		27.79309  		> 20.32 		3600 		1.50 			KS
3090.99 		35.77538  		> 20.22 		3240 		1.50 			KS
4258.47 		49.28783  		> 19.19 		4560 		2.12 			KS
4732.22 		54.77109  		> 20.33 		4560 		1.37 			KS
6241.91 		72.24430  		> 20.06 		2880 		1.50 			KS
24277.49		280.9894  		> 20.56 		3600 		1.31 			KS
