Filter         T_start(s)   T_stop(s)      Exp(s)           Mag

white (fc)          90          240          147         19.47 +/- 0.09
white               90          770          180         19.34 +/ -0.10
white             45830       52026         1028        >21.66
v                  632         5179           99        >18.9
b                  558          750           39        >19.4
u (fc)              302         552          246         18.95 +/- 0.12
u                  303          726          265         18.95 +/ -0.14
w1                 682          701           19        >17.8
m2                 656          676           19        >17.4
w2                 607         5094          216         19.45 +/- 0.28
