#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-06-17T19:09:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5eea6a5b5e15 
#INFO -out.max=9999 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=9999
#-nav=cat:J/A+A/620/A119&tab:{J/A+A/620/A119/tablea1}&key:source=J/A+A/620/A119/tablea1&HTTPPRM:&
#-source=J/A+A/620/A119/tablea1
#-order=I
#-out=T-T0
#-out=Tel
#-out=Band
#-out=mag
#-out=e_mag
#-out=Flux
#-out=e_Flux
#

#RESOURCE=yCat_36200119
#Name: J/A+A/620/A119
#Title: GRB 161023A light curves and EW (de Ugarte Postigo+, 2018)
#Table J_A_A_620_A119_tablea1:
#Name: J/A+A/620/A119/tablea1
#Title: Optical/NIR observations
#---Details of Columns:
    T-T0 (d)     (F9.5)  Days after the burst (T-T_0_) [ucd=time;arith.diff]
    Tel          (a17)   Telescope/Instrument (1) [ucd=meta.note]
    Band         (a14)   Band (2) [ucd=instr.bandpass]
    mag (mag)    (F5.2)  Magnitude in Band (AB) (3) [ucd=phot.mag]
    e_mag (mag)  (F5.2)  ? rms uncertainty on mag [ucd=stat.error;phot.mag]
    Flux (uJy)   (F8.2)  Flux density in Band (4) [ucd=phot.flux.density]
    e_Flux (uJy) (F6.2)  ? rms uncertainty on Flux [ucd=stat.error;phot.flux]
--------- ----------------- -------------- ----- ----- -------- ------
                                                 e                    
                                           mag   _mag  Fl       e_Flux
T-T0 (d)  Tel               Band           (mag) (mag) ux (uJy) (uJy) 
--------- ----------------- -------------- ----- ----- -------- ------
  0.46868 2.0mFaulkes       gp             19.08  0.07    94.02   6.07
  0.53520 1.0mZadko-Gingin  gp             18.80         121.67 
  0.56466 2.0mFaulkes       gp             19.30  0.07    76.77   4.95
  1.05378 2.2mMPG/GROND     gp             19.82  0.04    47.42   1.70
  1.06005 2.2mMPG/GROND     gp             19.80  0.02    48.43   0.88
  1.06869 2.2mMPG/GROND     gp             19.79  0.02    48.67   0.76
  1.08363 2.2mMPG/GROND     gp             19.84  0.02    46.85   0.80
  1.09443 2.2mMPG/GROND     gp             19.85  0.02    46.45   0.79
  1.12178 2.2mMPG/GROND     gp             19.86  0.02    45.66   0.78
  1.13536 2.2mMPG/GROND     gp             19.90  0.02    44.13   0.75
  2.06320 2.2mMPG/GROND     gp             20.82  0.02    19.01   0.34
  2.07639 2.2mMPG/GROND     gp             20.85  0.02    18.45   0.31
  3.06313 2.2mMPG/GROND     gp             21.37  0.03    11.43   0.28
  3.07624 2.2mMPG/GROND     gp             21.36  0.02    11.55   0.22
  4.06666 2.2mMPG/GROND     gp             21.99  0.03     6.44   0.16
  4.07855 2.2mMPG/GROND     gp             22.00  0.02     6.41   0.14
  5.06072 2.2mMPG/GROND     gp             22.48  0.04     4.11   0.14
  6.08295 2.2mMPG/GROND     gp             22.83  0.05     2.96   0.13
 14.09933 2.2mMPG/GROND     gp             24.43           0.68 
