#Filter Tmean(min) Mag Err Tstart Tend Texp(s)
clear 0.39 12.26 0.01 0 0 5
clear 0.54 12.66 0.02 0 0 5
clear 0.68 13.08 0.03 0 0 5
R 55.6 18.86 0.05 0 0 300
RC 4.38 15.55 0.05 4.30 4.47 10
RC 4.67 15.70 0.05 4.59 4.76 10
RC 4.93 15.79 0.05 4.85 5.02 10
RC 9.53 16.89 0.05 9.28 9.78 30
RC 14.1 17.35 0.05 13.6 14.6 60
RC 22.7 17.89 0.05 21.7 23.7 120
RC 36.7 18.39 0.05 35.2 38.2 180
RC 51.1 18.73 0.06 50.1 52.1 120
RC 212.7 19.99 0.06 210.1 215.3 300
RC 218.0 20.03 0.06 215.4 220.6 300
RC 236.5 20.08 0.06 233.9 239.2 300
RC 241.9 20.08 0.06 239.3 244.5 300
RC 280.3 20.31 0.07 277.8 283.0 300
RC 285.7 20.31 0.07 283.1 288.3 300
RC 304.3 20.20 0.07 301.7 306.9 300
RC 309.6 20.35 0.08 307.0 312.2 300
RC 331.7 20.44 0.08 329.1 334.3 300
RC 337.1 20.39 0.08 334.4 339.7 300
RC 379.6 20.85 0.12 377.0 382.2 300
RC 384.9 20.69 0.10 382.3 387.5 300
RC 49.80 18.64 0.06 47.30 52.30 300
RC 54.90 18.72 0.08 52.40 57.40 300
RC 60.05 18.83 0.07 57.55 62.55 300
RC 65.13 19.10 0.13 62.63 67.63 300
RC 70.25 19.15 0.11 67.75 72.75 300
RC 75.38 19.08 0.10 72.88 77.88 300
RC 80.51 19.28 0.17 78.01 83.01 300
RC 85.62 19.34 0.18 83.12 88.12 300
RC 90.77 19.30 0.20 88.27 93.27 300
RC 95.85 19.86 0.35 93.35 98.35 300
RC 101.2 19.53 0.31 98.65 103.7 300
RC 106.3 19.13 0.19 103.8 108.8 300
RC 111.4 20.31 0.40 108.9 113.9 300
RC 121.6 19.48 0.23 119.1 124.1 300
RC 126.8 19.39 0.21 124.3 129.3 300
RC 137.0 19.61 0.19 134.5 139.5 300
RC 142.1 19.90 0.19 139.6 144.6 300
RC 147.2 19.40 0.10 144.7 149.7 300
RC 152.5 19.53 0.17 150.0 155.0 300
RC 157.6 19.57 0.18 155.1 160.1 300
RC 162.8 19.65 0.20 160.3 165.3 300
RC 173.0 19.65 0.20 170.5 175.5 300
RC 178.1 19.96 0.29 175.6 180.6 300
RC 183.3 20.56 0.35 180.8 185.8 300
RC 193.5 19.76 0.17 191.0 196.0 300
RC 198.6 21.07 0.50 196.1 201.1 300
RC 203.9 20.11 0.21 201.4 206.4 300
RC 219.2 19.85 0.17 216.7 221.7 300
RC 224.4 19.85 0.16 221.9 226.9 300
RC 229.5 20.76 0.37 227.0 232.0 300
RC 234.6 20.41 0.25 232.1 237.1 300
RC 239.7 20.17 0.22 237.2 242.2 300
RC 244.9 19.80 0.17 242.4 247.4 300
RC 250.0 19.92 0.24 247.5 252.5 300
RC 255.3 19.71 0.25 252.8 257.8 300
RC 260.4 19.76 0.42 257.9 262.9 300
