Table 1
The Swift/UVOT Photometry of GRB 081029
Time 		Filter 		Exposure 	Magnitude 	Error
(s) 		(s)
2783 		white 		147 		20.47 		-0.19, +0.39
3377 		white 		197 		20.64 		-0.22, +0.28
4812 		white 		197 		19.41 		-0.10, +0.10
101 891 	white 		3219 		>23.2
3787 		v 		197 		19.02 		-0.18, +0.22
8657 		v 		197 		18.69 		-0.20, +0.25
15 407 		v 		295 		18.76 		-0.13, +0.15
15 710 		v 		295 		18.66 		-0.12, +0.14
16 014 		v 		295 		18.75 		-0.13, +0.15
32 933 		v 		295 		20.06 		-0.29, +0.39
33 237 		v 		295 		19.98 		-0.27, +0.37
62 874 		v 		44 		>19.1
102 333 	v 		2996 		>21.8
222 873 	v 		9630 		>22.2
312 805 	v 		9418 		>22.2
498 648 	v 		6804 		>21.8
596 971 	v 		11 369 		>22.1
639 792 	v 		17 900 		>22.4
726 351 	v 		14 756 		>22.2
3172 		b 		197 		>20.5
4607 		b 		197 		20.08 		-0.18, +0.22
22 088 		b 		295 		20.44 		-0.19, +0.23
22 352 		b 		219 		20.67 		-0.25, +0.32
39 624 		b 		295 		>21.4
101 443		b 		3217 		>22.2
2967 		u 		197 		>20.0
101 188 	u 		321 		>20.3
4197 		uvw1 		197 		>20.4
3992 		uvm2 		197 		>20.0
3582 		uvw2 		197 		>20.4




Table 2
REM Observation Log for GRB 081029
Mid Obs. Time 		t - t0 		Exposure 	Instrument 		Mag 			Filter
(UT) 			(s) 		(s)
20081029.07814 		515 		23.0 		REM/REMIR 		15.18 ± 0.30 		H
20081029.08122 		781 		35.5 		REM/REMIR 		14.86 ± 0.16 		H
20081029.08590 		1185		61.0 		REM/REMIR 		15.73 ± 0.24 		H
20081029.09291 		1791 		86.0 		REM/REMIR 		15.21 ± 0.12 		H
20081029.07396 		154 		36.0 		REM/REMIR 		14.83 ± 0.13 		J
20081029.07488 		233 		35.5 		REM/REMIR 		14.80 ± 0.12 		J
20081029.07579 		312 		35.5 		REM/REMIR 		15.12 ± 0.17 		J
20081029.07671 		391 		35.5 		REM/REMIR 		15.33 ± 0.22 		J
20081029.07748 		458 		23.5 		REM/REMIR 		15.56 ± 0.36 		J
20081029.08437 		1053 		61.0 		REM/REMIR 		15.67 ± 0.17 		J
20081029.09079 		1608 		85.5 		REM/REMIR 		16.23 ± 0.21 		J
20081029.07600 		330.048 	1 × 30.0 	REM/ROSS 		16.42 ± 0.16 		R
20081029.07646 		369.792 	1 × 30.0 	REM/ROSS 		16.75 ± 0.21 		R
20081029.07692 		409.536 	1 × 30.0 	REM/ROSS 		16.89 ± 0.24 		R
20081029.07737 		448.416 	1 × 30.0 	REM/ROSS 		16.83 ± 0.22 		R
20081029.07782 		487.296 	1 × 30.0 	REM/ROSS 		16.78 ± 0.22 		R
20081029.07828 		527.040 	1 × 30.0 	REM/ROSS 		16.91 ± 0.24 		R
20081029.07873 		565.920 	1 × 30.0 	REM/ROSS 		16.95 ± 0.25 		R
20081029.07918 		604.800 	1 × 30.0 	REM/ROSS 		17.11 ± 0.29 		R
20081029.07964 		644.544 	1 × 30.0 	REM/ROSS 		16.98 ± 0.26 		R
20081029.08009 		683.424 	1 × 30.0 	REM/ROSS 		16.88 ± 0.24 		R
20081029.08054 		722.304 	1 × 30.0 	REM/ROSS 		16.87 ± 0.23 		R
20081029.08101 		762.912 	1 × 30.0 	REM/ROSS 		16.94 ± 0.25 		R
20081029.08146 		801.792 	1 × 30.0 	REM/ROSS 		16.89 ± 0.24 		R
20081029.08191 		840.672 	1 × 30.0 	REM/ROSS 		17.11 ± 0.29 		R
20081029.08253 		894.240 	1 × 60.0 	REM/ROSS 		17.16 ± 0.16 		R
20081029.08334 		964.224 	1 × 60.0 	REM/ROSS 		17.14 ± 0.16 		R
20081029.08414 		1033.344 	1 × 60.0 	REM/ROSS 		17.48 ± 0.22 		R
20081029.08494 		1102.464 	1 × 60.0 	REM/ROSS 		17.44 ± 0.21 		R
20081029.08609 		1201.824 	1 × 120.0 	REM/ROSS 		17.38 ± 0.12 		R
20081029.08758 		1330.560 	1 × 120.0 	REM/ROSS 		17.49 ± 0.13 		R
20081029.09108 		1632.960 	1 × 60.0 	REM/ROSS 		17.50 ± 0.22 		R
20081029.09187 		1701.216 	1 × 60.0 	REM/ROSS 		17.55 ± 0.23 		R
20081029.09269 		1772.064 	1 × 60.0 	REM/ROSS 		17.69 ± 0.26 		R
20081029.09383 		1870.560 	1 × 120.0 	REM/ROSS 		17.88 ± 0.18 		R
20081029.09532 		1999.296 	1 × 120.0 	REM/ROSS 		17.99 ± 0.20 		R
