#tstart tend texp R 
#(s) (s) (s) (mag) (mag)
25.4 35.4 10 15.960 999.0
35.3 45.3 10 16.323 0.046
60.3 70.3 10 16.532 0.050
85.3 95.3 10 16.722 0.056
110.3 120.3 10 16.818 0.055
135.3 145.3 10 16.656 0.050
160.3 170.3 10 16.870 0.059
185.5 195.5 10 17.160 0.080
210.3 220.3 10 17.021 0.077
235.3 245.3 10 17.084 0.096
260.5 270.5 10 17.007 0.087
285.3 315.3 30 17.127 0.056
330.3 360.3 30 17.309 0.068
375.3 405.3 30 17.175 0.053
420.5 450.5 30 17.364 0.057
465.2 495.2 30 17.138 0.047
510.2 540.2 30 17.529 0.065
555.2 585.2 30 17.705 0.072
600.2 630.2 30 17.642 0.074
645.2 675.2 30 17.675 0.074
690.2 720.2 30 17.951 0.091
735.4 765.4 30 17.920 0.089
780.2 810.2 30 17.948 0.087
825.2 855.2 30 17.949 0.093
870.2 900.2 30 17.912 0.085
915.2 945.2 30 18.110 0.104
960.4 990.4 30 17.874 0.085
1005.2 1035.2 30 18.241 0.120
1050.2 1080.2 30 17.903 0.089
1095.2 1125.2 30 18.016 0.094
1140.4 1170.4 30 18.272 0.118
2445.0 2654.9 150 19.001 0.076
2669.9 2924.9 180 19.109 0.096
