
GRB 		Obs Date 		Exptime 		Slit width 		Airmass 		Seeing 		?t 		Magacq 		Redshift 		Notes
					(ks) 			(arcsec) 					(arcsec) 	(hr)	
GRB090313a 	2009-03-15 		6.9/6.9/6.9 		1.0/0.9/0.9 		1.2–1.4			1.5 		45 		21.6 		3.374 			B.1
GRB090530a 	2009-05-30 		4.8/4.8/4.8 		1.0/1.2/1.2 		1.6–2.2 		1.7 		20.6 		22 		1.266 			B.2
GRB090809a 	2009-08-10 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.2–1.1 		1.1 		10.2 		21 		2.737 			B.3
GRB090926Aa 	2009-09-27 		7.2/7.2/7.2 		1.0/0.9/0.9 		1.4–1.5 		0.7 		22 		17.9 		2.106 			B.4
GRB091018 	2009-10-18 		2.4/2.4/2.4 		1.0/0.9/0.9 		2.1–1.8 		1.0 		3.5 		19.		1 0.97			1 B.5
GRB091127 	2009-12-02 		6.0/6.0/6.0 		1.0/0.9/0.9 		1.1–1.2 		1.0 		101 		21.2 		0.490 			B.6
GRB100205A 	2010-02-08 		10.8/10.8/10.8 		1.0/0.9/0.9 		1.9–1.8 		0.9 		71 		>24 		– 			B.7	
GRB100219A 	2010-02-20 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.3–1.1 		0.8 		12.5 		23 		4.667			B.8
GRB100316B 	2010-03-16 		2.4/2.4/2.4 		1.0/0.9/0.9 		2.0–2.4 		0.6 		0.7 		18.2 		1.180 			B.9
GRB100316D-1b 	2010-03-17 		3.6/3.6/3.6 		1.0/0.9/0.9 		1.2–1.3 		0.8 		10 		21.5 		0.059 			B.10
GRB100316D-2 	2010-03-19 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.1–1.2 		0.9 		58 		20.2 		0.059 			B.10
GRB100316D-3 	2010-03-20 		2.6/2.6/3.2 		1.0/0.9/0.9 		1.1–1.2 		1.1 		79 		19.9 		0.059 			B.10
GRB100316D-4 	2010-03-21 		2.6/2.6/3.2 		1.0/0.9/0.9 		1.1–1.2 		1.5 		101 		19.9 		0.059 			B.10
GRB100418A-1 	2010-04-19 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.6–1.3 		0.7 		8.4 		18.1 		0.624 			B.11
GRB100418A-2 	2010-04-20 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.2–1.3 		0.6 		34 		19.2 		0.624 			B.11
GRB100418A-3 	2010-04-21 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.2–1.4 		0.7 		58 		>24 		0.624 			B.11
GRB100424Ac 	2013-03-11 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.1–1.2 		0.9 		25239 		>24 		2.465 			B.12
GRB100425A 	2010-04-25 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.5–1.3 		0.7 		4 		20.6 		1.755 			B.13
GRB100615Ac 	2013-03-05 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.0–1.1 		0.9 		23859 		>24 		1.398 			B.14
GRB100621A 	2010-06-21 		2.4/2.4/2.4 		1.0/0.9/0.9 		1.3–1.4 		1.0 		7.1 		22 		0.542 			B.15
GRB100625Acf 	2010-07-07 		4.8/4.8/4.8 		1.0/0.9/0.9 		1.1–1.0 		0.8 		278.7 		>24 		0.452 			B.16
