#T-T0(s) 	R+P\ (mag) 	Err(R+P\) (mag) 	R+P/ (mag) 	Err(R+P/) (mag)
58.5 		15.28 		0.43 			14.89 		0.29
98.1 		15.3 		0.25 			15.03 		0.17
143.0 		15.73 		0.31 			16.04 		0.47
197.3 		15.77 		0.38 			15.73 		0.38
261.0 		16.05 		0.27 			16.35 		0.41
336.4 		16.53 		0.32 			16.53 		0.37
427.1 		16.35 		0.41 			16.36 		0.45
539.4 		16.78 		0.33 			16.68 		0.34
672.5 		17.17 		0.34 			17.74 		0.79
833.7 		17.52 		0.33 			17.78 		0.59
1019.3 		17.56 		0.32 			17.26 		0.3
1223.8 		17.78 		0.48 			17.22 		0.33
1423.0 		18.32 		0.87 			17.2 		0.32
1623.7 		18.71 		1.27 			17.59 		0.45
1822.8 		19.25 		2.64 			18.08 		0.91
