#t0(d)	t0(s)	te(s)	tf(s)	Filter	m(AB)	Flux(µJy)	(aperture)	(PSF)
0.01	930	80	0.01	i	12.88	±	0.02	
0.01	1009	67	0.01	Z	12.75	±	0.02	
0.01	1012	67	0.01	J	12.69	±	0.02
0.01	1037	80	0.01	i	12.97	±	0.02
0.01	1111	67	0.01	H	12.86	±	0.02
0.01	1114	67	0.01	Y	12.77	±	0.02
0.01	1141	80	0.01	i	13.12	±	0.02
0.01	1216	67	0.01	Y	12.88	±	0.02
0.01	1216	67	0.01	H	13.00	±	0.02
0.01	1249	80	0.02	i	13.24	±	0.02
0.02	1323	67	0.02	Z	13.10	±	0.02
0.02	1326	67	0.02	J	13.01	±	0.02
0.02	1348	80	0.02	i	13.35	±	0.02
0.02	1429	67	0.02	J	13.14	±	0.02
0.02	1432	67	0.02	Z	13.22	±	0.02
0.02	1458	80	0.02	i	13.42	±	0.02
0.02	1532	67	0.02	H	13.21	±	0.03
0.02	1534	67	0.02	Y	13.20	±	0.02
0.02	1579	80	0.02	i	13.51	±	0.02
0.02	1653	67	0.02	H	13.26	±	0.02
0.02	1653	67	0.02	Y	13.28	±	0.02
0.02	1684	80	0.02	i	13.55	±	0.02
0.02	1762	67	0.02	Z	13.43	±	0.02
0.02	1764	67	0.02	J	13.37	±	0.02
0.02	1778	80	0.02	i	13.61	±	0.02
0.02	1858	67	0.02	J	13.40	±	0.02
0.02	1859	67	0.02	Z	13.50	±	0.02
0.02	1888	80	0.02	i	13.70	±	0.02
0.02	1962	67	0.02	Y	13.47	±	0.02
0.02	1964	67	0.02	H	13.43	±	0.03
0.02	1993	80	0.02	i	13.72	±	0.02
0.02	2067	67	0.02	Y	13.53	±	0.02
0.02	2068	67	0.02	H	13.48	±	0.03
0.02	2121	80	0.03	i	13.87	±	0.02
0.03	2196	67	0.03	J	13.59	±	0.02
0.03	2196	67	0.03	Z	13.69	±	0.02
0.03	2224	80	0.03	i	13.87	±	0.02
0.03	2298	67	0.03	J	13.64	±	0.02
0.03	2300	67	0.03	Z	13.73	±	0.02
0.03	2329	80	0.03	i	13.89	±	0.02
0.03	2408	67	0.03	H	13.67	±	0.02
0.03	2408	67	0.03	Y	13.70	±	0.02
0.03	2422	80	0.03	i	13.98	±	0.02
0.03	2502	67	0.03	Y	13.76	±	0.02
0.03	2506	67	0.03	H	13.72	±	0.02
0.03	2531	80	0.03	i	14.03	±	0.02
0.03	2605	67	0.03	J	13.81	±	0.02
0.03	2607	67	0.03	Z	13.88	±	0.02
0.03	2655	80	0.03	i	14.07	±	0.02
0.03	2729	67	0.03	J	13.88	±	0.02
0.03	2732	67	0.03	Z	13.97	±	0.02
0.03	2780	80	0.03	i	14.15	±	0.02
0.03	2855	67	0.03	Y	13.89	±	0.02
0.03	2856	67	0.03	H	13.87	±	0.03
0.03	2885	80	0.03	i	14.14	±	0.02
0.03	2960	67	0.04	Y	13.93	±	0.02
0.03	2961	67	0.04	H	13.85	±	0.03
0.03	2990	80	0.04	i	14.19	±	0.02
0.04	3067	67	0.04	Z	14.06	±	0.02
0.04	3069	67	0.04	J	14.00	±	0.02
0.04	3108	80	0.04	i	14.25	±	0.02
0.04	3186	67	0.04	J	14.06	±	0.02
0.04	3186	67	0.04	Z	14.15	±	0.02
0.04	3214	80	0.04	i	14.28	±	0.02
0.04	3292	67	0.04	Y	14.06	±	0.02
0.04	3293	67	0.04	H	13.99	±	0.03
