Table 2. UVOT data.
Sequence 		Obs/Filter 	Start time (UT) 		End time (UT)			Exposure (s)	Start time a		mag b		err
00214805000		UVOT/White 	2006-06-14 12:45:33 		2006-06-14 12:47:11 		97 		104 			18.41 		0.11
00214805000		UVOT/V 		2006-06-14 12:47:15 		2006-06-14 12:50:30 		191 		206.5 			>19.70		 –
00214805000		UVOT/UVM2 	2006-06-14 13:57:40 		2006-06-14 14:00:60 		22 		4431 			>17.70		 –
00214805000		UVOT/UVW1 	2006-06-14 14:01:05 		2006-06-14 14:04:25 		197 		4636 			18.49 		0.31
00214805000		UVOT/U 		2006-06-14 14:04:29 		2006-06-14 14:07:49 		197 		4840 			18.79 		0.16
00214805000		UVOT/B 		2006-06-14 14:07:54 		2006-06-14 14:11:14 		197 		5045 			19.82 		0.21
00214805000		UVOT/White 	2006-06-14 14:11:18 		2006-06-14 14:14:38 		197 		5249 			18.25 		0.06
00214805000		UVOT/UVW2 	2006-06-14 14:14:43 		2006-06-14 14:18:03 		197 		5454 			18.26 		0.23
00214805000		UVOT/V 		2006-06-14 14:18:08 		2006-06-14 14:21:28 		197 		5659 			19.34 		0.27
00214805000		UVOT/UVM2 	2006-06-14 14:21:32 		2006-06-14 14:24:52 		197 		5863 			17.78 		0.18
00214805000		UVOT/UVW1 	2006-06-14 14:24:57 		2006-06-14 14:28:17 		197 		6068 			18.32 		0.25
00214805000		UVOT/U 		2006-06-14 14:28:22 		2006-06-14 14:30:57 		153 		6272.5 			18.55 		0.19
00214805000		UVOT/B 		2006-06-14 15:34:07 		2006-06-14 15:39:07 		295 		10218 			19.46 		0.13
00214805000		UVOT/B 		2006-06-14 15:39:11 		2006-06-14 15:44:11 		295 		10522 			19.51 		0.13
00214805000		UVOT/B 		2006-06-14 15:44:13 		2006-06-14 15:49:13 		295 		10824 			19.56 		0.12
00214805000		UVOT/White 	2006-06-14 15:49:18 		2006-06-14 15:54:18 		293 		11129 			18.34 		0.07
00214805000		UVOT/White 	2006-06-14 15:54:21 		2006-06-14 15:59:21 		295 		11432 			18.36 		0.05
00214805000		UVOT/White 	2006-06-14 15:59:25 		2006-06-14 16:04:25 		295 		11736 			18.24 		0.08
00214805000		UVOT/UVW2 	2006-06-14 16:04:30 		2006-06-14 16:13:26 		528 		12041 			18.10 		0.48
00214805000		UVOT/V 		2006-06-14 17:10:30 		2006-06-14 17:15:30 		295 		16001 			19.46 		0.25
00214805000		UVOT/V	 	2006-06-14 17:15:34 		2006-06-14 17:20:34 		295 		16305 			19.21 		0.21
00214805000		UVOT/V 		2006-06-14 17:20:37 		2006-06-14 17:25:37 		295 		16608 			19.32 		0.22
00214805000		UVOT/UVM2 	2006-06-14 17:25:41 		2006-06-14 17:40:41 		886 		16912 			18.62 		0.81
00214805000		UVOT/UVW1 	2006-06-14 17:40:48 		2006-06-14 17:52:21 		682 		17819.5 		18.44 		0.27
00214805000		UVOT/U 		2006-06-14 18:46:57 		2006-06-14 18:51:57 		295 		21788 			18.56 		0.12
00214805000		UVOT/U 		2006-06-14 18:51:60 		2006-06-14 18:56:60 		295 		22091 			18.48 		0.12
00214805000		UVOT/U 		2006-06-14 18:57:03 		2006-06-14 19:02:03 		295 		22394 			18.53 		0.11
00214805000		UVOT/B 		2006-06-14 19:02:09 		2006-06-14 19:07:09 		295 		22700 			19.54 		0.14
00214805000		UVOT/B 		2006-06-14 19:07:11 		2006-06-14 19:12:11 		295 		23002 			19.37 		0.13
00214805000		UVOT/B 		2006-06-14 19:12:15 		2006-06-14 19:17:15 		295 		23306 			19.50 		0.16
00214805000		UVOT/White	2006-06-14 19:17:19 		2006-06-14 19:22:19 		295 		23610 			18.25 		0.13
00214805000		UVOT/White	2006-06-14 19:22:23 		2006-06-14 19:27:23 		295 		23914 			18.26 		0.11
00214805000		UVOT/White	2006-06-14 19:27:25 		2006-06-14 19:28:46 		80 		24216.5 		18.31 		0.22
00214805000		UVOT/UVW1 	2006-06-14 20:23:21 		2006-06-14 20:38:21 		886 		27572 			18.38 		0.12
00214805000		UVOT/U 		2006-06-14 20:38:27 		2006-06-14 20:43:27 		295 		28478 			18.34 		0.10
00214805000		UVOT/U 		2006-06-14 20:43:31 		2006-06-14 20:45:11 		99 		28782 			18.45 		0.21
00214805001		UVOT/UVW1 	2006-06-15 00:01:34 		2006-06-15 02:54:47 		396 		40665.5 		19.02 		0.26
00214805001		UVOT/U 		2006-06-15 00:03:54 		2006-06-15 02:55:59 		197 		40805.5 		18.76 		0.17
00214805001		UVOT/B 		2006-06-15 00:05:05 		2006-06-15 02:57:10 		197 		40876.5 		19.73 		0.19
00214805001		UVOT/UVW2	2006-06-15 00:06:19 		2006-06-15 03:01:45 		794 		40950 			18.74 		0.46
00214805001		UVOT/V 		2006-06-15 00:10:53 		2006-06-15 03:02:57 		197 		41224 			19.23 		0.28
00214805001		UVOT/UVM2	2006-06-15 00:12:04 		2006-06-15 03:06:01 		527 		41295.5 		18.65 		0.54
