no_gal_ext_corr,,,,,,,,
time,mag,err,band,sys,telescope,,source,gal_ext_corr
3445.4,18.9,0.055,B,,Kiso,,arXiv_astroph-0612623,no
3856.4,18.965,0.058,B,,Kiso,,arXiv_astroph-0612623,no
4286.4,18.89,0.07,B,,Kiso,,arXiv_astroph-0612623,no
10303,19.696,0.074,B,,Kiso,,arXiv_astroph-0612623,no
14153,19.997,0.074,B,,Mt.,Maidanak,arXiv_astroph-0612623,no
15129,20.122,0.078,B,,Mt.,Maidanak,arXiv_astroph-0612623,no
27689,21.004,0.188,B,,Lulin,,arXiv_astroph-0612623,no
8593.4,19.141,0.117,V,,Kiso,,arXiv_astroph-0612623,no
9437.4,19.316,0.145,V,,Kiso,,arXiv_astroph-0612623,no
13651,19.564,0.057,V,,Mt.,Maidanak,arXiv_astroph-0612623,no
14328,19.677,0.078,V,,Mt.,Maidanak,arXiv_astroph-0612623,no
15469,19.752,0.074,V,,Mt.,Maidanak,arXiv_astroph-0612623,no
2141.4,17.799,0.04,R,,Kiso,,arXiv_astroph-0612623,no
2562.4,17.988,0.063,R,,Kiso,,arXiv_astroph-0612623,no
2984.4,18.152,0.08,R,,Kiso,,arXiv_astroph-0612623,no
8142.4,18.97,0.23,R,,Beijing,,arXiv_astroph-0612623,no
10746,18.89,0.24,R,,Beijing,,arXiv_astroph-0612623,no
12743,19.211,0.067,R,,Mt.,Maidanak,arXiv_astroph-0612623,no
13067,19.231,0.075,R,,Mt.,Maidanak,arXiv_astroph-0612623,no
14570,19.229,0.074,R,,Mt.,Maidanak,arXiv_astroph-0612623,no
15731,19.544,0.076,R,,Mt.,Maidanak,arXiv_astroph-0612623,no
16249,19.371,0.156,R,,Mt.,Maidanak,arXiv_astroph-0612623,no
28035,20.349,0.09,R,,Lulin,,arXiv_astroph-0612623,no
28426,20.314,0.092,R,,Lulin,,arXiv_astroph-0612623,no
