time,mag,err,band,sys,Observatory,source,gal_ext_corr
2241,20.931,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2271.96,20.918,0.017,Rc,,MMT,arXiv:astro-ph/0502319,yes
2302.92,20.973,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2310.48,20.925,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2317.32,20.954,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes
2323.8,20.952,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes
2330.28,20.997,0.027,Rc,,MMT,arXiv:astro-ph/0502319,yes
2337.12,20.995,0.033,Rc,,MMT,arXiv:astro-ph/0502319,yes
2343.6,21.023,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2350.08,20.989,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2356.92,20.975,0.035,Rc,,MMT,arXiv:astro-ph/0502319,yes
2363.4,21.005,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes
2369.88,20.99,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes
2376.36,21.01,0.027,Rc,,MMT,arXiv:astro-ph/0502319,yes
2383.2,20.962,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2390.04,20.996,0.038,Rc,,MMT,arXiv:astro-ph/0502319,yes
2396.52,21.051,0.032,Rc,,MMT,arXiv:astro-ph/0502319,yes
2403,20.991,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2409.48,21.023,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2416.32,21.07,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2422.8,21.02,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes
2429.64,21.037,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes
2436.12,21.057,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
2442.6,21.028,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes
2449.44,21.028,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes
2455.92,21.073,0.029,Rc,,MMT,arXiv:astro-ph/0502319,yes
2462.4,21.056,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2469.24,21.051,0.03,Rc,,MMT,arXiv:astro-ph/0502319,yes
2475.72,21.036,0.028,Rc,,MMT,arXiv:astro-ph/0502319,yes
2482.2,21.052,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
2488.68,21.034,0.026,Rc,,MMT,arXiv:astro-ph/0502319,yes
2495.16,21.077,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
2525.04,21.079,0.024,Rc,,MMT,arXiv:astro-ph/0502319,yes
2531.52,21.05,0.019,Rc,,MMT,arXiv:astro-ph/0502319,yes
2538.36,21.044,0.023,Rc,,MMT,arXiv:astro-ph/0502319,yes
2544.84,21.047,0.021,Rc,,MMT,arXiv:astro-ph/0502319,yes
2551.32,21.052,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes
2557.8,21.036,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes
2564.64,21.086,0.025,Rc,,MMT,arXiv:astro-ph/0502319,yes
6266.52,22.33,0.04,Rc,,VATT,arXiv:astro-ph/0502319,yes
6426.36,22.351,0.02,Rc,,MMT,arXiv:astro-ph/0502319,yes
6455.16,22.367,0.022,Rc,,MMT,arXiv:astro-ph/0502319,yes
9842.76,22.97,0.05,Rc,,VATT,arXiv:astro-ph/0502319,yes
9920.52,22.878,0.06,Rc,,MMT,arXiv:astro-ph/0502319,yes
10470.96,22.98,0.08,Rc,,MMT,arXiv:astro-ph/0502319,yes
10503.36,23.072,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes
13415.76,23.33,0.08,Rc,,VATT,arXiv:astro-ph/0502319,yes
13871.16,23.539,0.07,Rc,,MMT,arXiv:astro-ph/0502319,yes
