GRB140518A
Filter         T_start(s)   T_stop(s)      Exp(s)         Mag

white_FC            77          226          147         >20.7
u_FC               289          539          246         >20.7
white               77        13719         1583         >22.6
v                  619         7499          568         >20.2
b                  545        12953         1060         >22.0
u                  289        12041         1286         >21.6
w1                 668         7910          568         >21.4
m2                1071         7705          413         >21.1
w2                 595         7295          510         >21.3
