Mar 06.8889 0.191 ,WHT / LIRIS, J 1.′′1 1200> 22.4 . . .< 1.7 . . .
Mar 08.0542 1.357 ,VLT / ISAAC, J 0.′′9 1040> 22.0 . . .< 2.5 . . .
Mar 09.2342 2.537 ,VLT / ISAAC, J 0.′′7 2560 (20.90) 0.13 6.82 0.75
Apr 30.8871 55.190 ,WHT / LIRIS, J 0.′′8 1800 −− . . . . . . . . .
Mar 06.8670 0.170 ,WHT / LIRIS, H 1.′′1 1200 19.78 0.12 12.31 1.36
Mar 08.0836 1.386 ,VLT / ISAAC, H 0.′′8 1152 20.52 0.21 6.23 1.20
Mar 09.2074 2.510 ,VLT / ISAAC, H 0.′′6 1344 (20.00) 0.20 10.05 1.48
Apr 30.9242 55.227 ,WHT / LIRIS, H 1.′′0 1800 −− . . . . . . . . .
Mar 06.8416 0.144 ,WHT / LIRIS, K 1.′′0 1500 18.28 0.15 31.92 4.41
Mar 07.0361 0.339 ,WHT / LIRIS, K 0.′′9 1200 17.61 0.14 59.16 7.62
Mar 08.0701 1.373 ,VLT / ISAAC, K 0.′′7 1152 18.53 0.15 25.35 3.50
Mar 08.2153 1.512 ,VLT / ISAAC, K 0.′′6 1152 18.50 0.15 26.06 3.60
Mar 09.1879 2.490 ,VLT / ISAAC, K 0.′′6 1152 19.83 0.19 7.66 1.34
Apr 30.9699 55.272 ,WHT / LIRIS, K 0.′′9 1800 −− . . . . . . . . .
Jan 30.2244 329.526 ,VLT / ISAAC, K 0.′′5 1920 (19.60) 0.19 . . . . . .
