Table 2. 
Photometric data used in this paper. Magnitudes are in the Vega system unless for griz filters that are in the AB system, and they are all not corrected for Galactic absorption. Errors are at 1? level.

t-t0 (s) 		Exp. (s) 		Mag 		Band 		Telescope 		t-t0 (s) 		Exp. (s) 		Mag 		Band 		Telescope
30224 			360 			19.10±0.02 	z 		CQUEAN 			266 			125 			17.91±0.09 	u 		UVOT
3126 			177 			16.76±0.03 	z 		GROND 			606 			39 			17.59±0.20 	u 		UVOT
3728 			348 			16.98±0.03 	z 		GROND 			921 			102 			18.06±0.18 	u 		UVOT
4508 			347 			17.27±0.03 	z 		GROND 			1162 			10 			17.78±0.33 	u 		UVOT
5811 			871 			17.61±0.03 	z 		GROND 			1308 			9 			18.08±0.46 	u 		UVOT
7651 			871 			17.92±0.03 	z 		GROND 			6166 			48	 		20.01±0.44 	u 		UVOT
9479 			866 			18.20±0.03 	z 		GROND 			406 			10 			16.99±0.11 	b 		UVOT
11305 			873 			18.35±0.03 	z 		GROND 			557 			10 			17.05±0.12 	b 		UVOT
13134 			867 			18.49±0.03 	z 		GROND 			706 			10 			17.14±0.13 	b 		UVOT
14959 			866 			18.61±0.03 	z 		GROND 			855 			10 			17.54±0.18 	b 		UVOT
30376 			360 			18.95±0.05 	Y 		CQUEAN 			1038 			10 			17.55±0.19 	b 		UVOT
1366 			20 			14.34±0.04 	J 		REM 			1186 			10 			17.85±0.32 	b		UVOT
2112 			246 			14.83±0.06 	J 		REM 			6268 			48 			20.26±0.39 	b 		UVOT
2859 			150 			15.41±0.09 	J 		REM 			458 			10 			15.65±0.08 	v 		UVOT
3982 			300 			15.77±0.09 	J 		REM 			608 			10 			15.91±0.12 	v 		UVOT
5470 			300 			16.39±0.15 	J 		REM 			756 			10 			16.00±0.13 	v 		UVOT
8341 			300 			16.43±0.13 	J 		REM 			1088 			10 			16.38±0.16 	v 		UVOT
6452 			720 			16.31±0.07 	J 		SMARTS 			1236 			10 			16.46±0.19 	v 		UVOT
14628 			720 			17.27±0.08 	J 		SMARTS 			6762 			48 			19.10±0.40 	v 		UVOT
106377 			1800 			19.56±0.14 	J 		SMARTS 			2177 			10 			17.53±0.08 	V 		PROMPT1
3149 			200 			16.26±0.05 	J 		GROND 			2263 			10 			17.56±0.09 	V 		PROMPT1
3756 			376 			16.57±0.05 	J 		GROND 			2349 			10 			17.55±0.08 	V 		PROMPT1
4535 			374 			16.82±0.05 	J 		GROND 			2435 			10 			17.81±0.11 	V 		PROMPT1
5844 			895 			17.14±0.05 	J 		GROND 			2659 			10 			17.76±0.08 	V 		PROMPT1
7674 			895 			17.42±0.05 	J 		GROND 			3003 			10 			17.85±0.08 	V 		PROMPT1
9503 			890 			17.75±0.05 	J 		GROND 			3090 			10 			17.84±0.07 	V 		PROMPT1
11329 			896 			17.83±0.05 	J 		GROND 			3158 			10 			17.85±0.12 	V 		PROMPT1
13158 			891 			17.95±0.05 	J 		GROND 			3256 			10 			18.05±0.08 	V 		PROMPT1
14982 			890 			18.11±0.05 	J 		GROND 			3344 			10 			17.80±0.07 	V 		PROMPT1
6480 			360 			16.31±0.07 	J 		CTIO 			3432 			10 			17.93±0.08 	V 		PROMPT1
14760 			360 			17.27±0.08 	J 		CTIO 			3519 			10 			18.01±0.08 	V 		PROMPT1
608 			50 			12.32±0.04 	H 		REM 			3607 			10 			18.00±0.08 	V 		PROMPT1
693 			50 			12.38±0.04 	H 		REM 			3694 			10 			18.12±0.08 	V 		PROMPT1
775 			50 			12.59±0.05 	H 		REM 			3782 			10 			18.15±0.09 	V 		PROMPT1
859 			50 			12.59±0.05 	H 		REM 			3898 			10 			18.22±0.09 	V 		PROMPT1
992 			150			12.93±0.06 	H 		REM 			3989 			10 			18.20±0.09 	V 		PROMPT1
1739 			150 			13.68±0.06 	H 		REM 			4076 			10 			18.31±0.10 	V 		PROMPT1
2485 			150 			14.33±0.09 	H 		REM 			4164 			10 			18.35±0.10 	V 		PROMPT1
3309 			300 			14.52±0.09 	H 		REM 			4251 			10 			18.45±0.12 	V 		PROMPT1
4755 			300 			15.22±0.15 	H 		REM 			5348 			10 			18.65±0.04 	V 		PROMPT1
3149 			200 			15.91±0.05 	H 		GROND 			6086 			10 			18.73±0.06 	V 		PROMPT1
3756 			376 			16.24±0.05 	H 		GROND 			7078 			10 			18.94±0.04 	V 		PROMPT1
4535 			374 			16.52±0.05 	H 		GROND 			8413 			10			19.21±0.05 	V 		PROMPT1
5844 			895 			16.87±0.05 	H 		GROND 			9727 			10 			19.42±0.05 	V 		PROMPT1
7674 			895 			17.17±0.05 	H 		GROND 			11056 			10 			19.47±0.06 	V 		PROMPT1
9503 			890 			17.46±0.05 	H 		GROND 			12387 			10 			19.66±0.07 	V 		PROMPT1
11329			896 			17.63±0.05 	H 		GROND 			14326 			10 			19.94±0.07 	V 		PROMPT1
13158			891 			17.74±0.05 	H 		GROND 			16927 			10 			20.24±0.10 	V 		PROMPT1
14982 			890 			17.77±0.05 	H 		GROND 			19515 			10 			20.02±0.08 	V 		PROMPT1
1179 			150 			12.30 ± 0.06 	K 		REM 			22302 			10 			20.02±0.07 	V 		PROMPT1
1925 			150 			13.12 ± 0.10 	K 		REM 			24398			10 			19.86±0.06 	V 		PROMPT1
6452 			720 			14.78±0.09 	K 		SMARTS 			6480 			450			18.82±0.03 	V 		CTIO
14627 			720 			15.68±0.09 	K 		SMARTS 			14760 			450 			19.87±0.03 	V 		CTIO
3149 			200 			15.61±0.06 	K 		GROND 			5676 			225 			18.66±0.04 	V 		SMARTS
3756 			376 			15.87±0.06 	K 		GROND 			6255 			225			18.78±0.04 	V 		SMARTS
4535 			374 			16.18±0.06 	K 		GROND 			6540 			225			18.86±0.04 	V 		SMARTS
5843 			895 			16.48±0.06 	K 		GROND 			7110 			225			18.94±0.04 	V 		SMARTS
7674 			895 			16.92±0.06 	K 		GROND 			13854			225			19.73±0.04 	V 		SMARTS
9503 			890 			17.12±0.06 	K 		GROND 			14427 			225			19.84±0.04 	V 		SMARTS
11329			896 			17.21±0.06 	K 		GROND 			14712 			225			19.79±0.04 	V 		SMARTS
13158			891 			17.35±0.06 	K 		GROND 			15282 			225			19.75±0.04 	V 		SMARTS
14982 			890 			17.41±0	.07 	K 		GROND 			1993 			80 			18.72±0.16 	B 		PROMPT3
6480 			360 			14.78±0.09 	K 		CTIO 			2351 			80 			18.98±0.16 	B 		PROMPT3
14760 			360 			15.68±0.09 	K		CTIO 			2625 			80 			18.80±0.12 	B 		PROMPT3
656 			159 			20.43±0.59 	uvw1 		UVOT 			3072 			80 			19.30±0.18 	B 		PROMPT3
3740 			80 			19.54±0.12 	B 		PROMPT3 		3522 			10 			17.37±0.05 	Rc 		PROMPT4
