t	mag	dmag	band
29734.7	18.784481	0.039611	r
29905.9	18.751426	0.037009	r
30006.3	18.809194	0.039374	r
30107.5	18.788141	0.03875	r
30197.0	18.849687	0.041285	r
30298.4	18.823065	0.039391	r
30397.5	18.850245	0.04064	r
30493.3	18.831361	0.03963	r
30590.4	18.880105	0.040569	r
30686.0	18.817488	0.038763	r
30786.5	18.759873	0.036731	r
30885.0	18.884484	0.040887	r
30977.3	18.834116	0.039396	r
31079.8	18.740633	0.035648	r
31169.2	18.806207	0.039612	r
31264.2	18.820895	0.039747	r
31376.6	18.80038	0.039036	r
31474.9	18.873994	0.041575	r
31567.0	18.895411	0.040982	r
31676.5	18.870224	0.040312	r
31768.0	18.844402	0.04067	r
31871.6	18.912708	0.044107	r
31973.9	18.904272	0.043439	r
32071.4	18.822946	0.039156	r
32164.3	18.855039	0.039986	r
32262.0	18.857999	0.040134	r
32364.6	18.854655	0.039467	r
32463.7	18.894088	0.043246	r
32554.7	18.914603	0.04227	r
32652.6	18.892302	0.041674	r
32751.9	18.753128	0.037147	r
32845.6	18.903619	0.044142	r
32959.2	18.929735	0.045351	r
33053.7	18.874891	0.042381	r
33154.0	18.86993	0.043146	r
33249.3	19.027546	0.048537	r
33349.7	18.894029	0.043584	r
33446.1	18.865573	0.043868	r
33547.7	18.963547	0.047087	r
33642.5	18.96182	0.046392	r
33732.8	18.97381	0.048444	r
33837.2	18.922422	0.046695	r
33945.4	18.958525	0.047031	r
34042.9	18.890957	0.043992	r
34133.4	19.018615	0.050944	r
34232.3	18.898249	0.046115	r
34325.2	18.951142	0.048883	r
34421.3	18.935623	0.048686	r
35322.9	19.052065	0.055093	r
35496.2	19.017755	0.05234	r
35590.3	18.902467	0.047248	r
35692.5	19.044164	0.066601	r
35880.9	19.096625	0.058538	r
36080.7	19.040286	0.057005	r
36265.1	19.043921	0.058754	r
36368.2	19.019043	0.087403	r
36559.3	19.080441	0.059539	r
36657.8	19.036211	0.056784	r
36759.0	19.150869	0.067449	r
36979.0	19.050345	0.059227	r
37172.8	19.024753	0.086842	r
37268.5	18.957658	0.089915	r
37359.1	19.126483	0.113122	r
37457.0	19.01756	0.057614	r
37558.1	19.040305	0.058327	r
37650.8	19.288358	0.074317	r
37743.1	19.248965	0.072628	r
37845.2	18.753552	0.100736	r
37942.8	19.219119	0.067925	r
38059.3	19.06597	0.059638	r
38154.5	19.044787	0.056877	r
38257.2	19.051951	0.056148	r
38350.6	19.019485	0.056822	r
38448.5	19.203423	0.066954	r
38564.1	19.169664	0.074122	r
38664.6	19.299033	0.080723	r
38755.4	19.143725	0.07453	r
38850.4	19.147519	0.0761	r
38941.2	19.276863	0.089399	r
39045.7	19.181368	0.070468	r
39242.8	19.252452	0.083145	r
39333.0	19.141831	0.071039	r
39426.7	19.244201	0.083149	r
39546.9	19.284023	0.086755	r
39640.7	19.063371	0.075467	r
39733.9	19.161971	0.07604	r
39828.6	19.079664	0.07228	r
39922.3	19.174514	0.0765	r
40014.7	19.2028	0.084293	r
41409.1	19.352828	0.095876	r
41581.3	19.217246	0.080227	r
41673.7	19.268332	0.085183	r
41880.3	19.443328	0.094553	r
41975.6	19.337312	0.092066	r
42075.7	19.206906	0.088117	r
42175.9	19.33872	0.110139	r
42285.1	19.381295	0.110201	r
42379.5	19.250958	0.097793	r
42479.3	19.448213	0.115761	r
42582.0	19.491858	0.108141	r
42794.3	19.279481	0.094829	r
42986.4	19.485604	0.120036	r
43102.6	19.418008	0.103705	r
43223.9	19.633644	0.1242	r
43314.0	19.618269	0.135489	r
43920.8	19.365593	0.105323	r
44423.7	19.386339	0.105579	r
44949.1	19.381263	0.108633	r
45263.1	19.521132	0.12432	r
45385.4	19.246053	0.095989	r
45795.3	19.45977	0.119014	r
38018.95	19.04007	0.005575	r
29734.8	18.501812	0.037463	i
29906.2	18.497481	0.035444	i
30006.4	18.565945	0.03725	i
30107.7	18.499121	0.037036	i
30197.1	18.526593	0.03843	i
30298.4	18.622066	0.037881	i
30397.6	18.59923	0.03791	i
30493.4	18.585533	0.038642	i
30590.5	18.487342	0.035262	i
30686.1	18.621544	0.037238	i
30786.6	18.602146	0.037169	i
30885.1	18.592682	0.038821	i
30977.4	18.569208	0.037914	i
31079.9	18.606315	0.036701	i
31169.4	18.574982	0.037124	i
31264.4	18.613617	0.041108	i
31376.7	18.584103	0.039127	i
31475.0	18.620218	0.03936	i
31567.2	18.691615	0.040898	i
31676.6	18.616355	0.039673	i
31768.1	18.586638	0.03985	i
31871.7	18.674057	0.040832	i
31973.9	18.70353	0.04313	i
32071.6	18.578271	0.037935	i
32164.5	18.627682	0.039139	i
32262.1	18.621537	0.037728	i
32364.7	18.666577	0.038805	i
32463.7	18.67315	0.041624	i
32554.8	18.713121	0.043199	i
32652.7	18.61096	0.03852	i
32752.0	18.63866	0.039179	i
32845.7	18.535534	0.038738	i
32959.2	18.63121	0.042834	i
33053.8	18.680696	0.043668	i
33154.1	18.671302	0.042095	i
33249.4	18.628603	0.042395	i
33349.8	18.704117	0.045219	i
33446.1	18.685824	0.042247	i
33547.8	18.685687	0.043646	i
33642.5	18.647458	0.042624	i
33732.9	18.646078	0.044697	i
33837.3	18.755592	0.047128	i
33945.4	18.71043	0.044114	i
34043.0	18.651304	0.043965	i
34133.5	18.790795	0.049888	i
34232.4	18.860894	0.052458	i
34325.3	18.674251	0.044915	i
34421.4	18.675277	0.047429	i
35323.0	18.775739	0.053775	i
35496.2	18.781501	0.049529	i
35590.5	18.891599	0.054204	i
35692.7	18.63943	0.057409	i
35881.1	18.879944	0.055748	i
36080.8	18.817733	0.058126	i
36171.1	18.464486	0.091857	i
36265.3	18.767902	0.053724	i
36368.3	18.948522	0.095482	i
36466.0	18.970981	0.115037	i
36559.4	18.773251	0.05536	i
36658.1	18.817628	0.056544	i
36759.2	18.77338	0.055475	i
36979.8	18.724425	0.054998	i
37079.8	18.891944	0.13503	i
37172.8	19.102974	0.110275	i
37359.2	18.867187	0.110696	i
37457.1	18.980231	0.063875	i
37558.1	18.961907	0.065816	i
37651.0	18.794167	0.057869	i
37743.2	18.862459	0.06214	i
37942.8	18.783242	0.056463	i
38059.4	18.791381	0.055296	i
38154.6	18.761291	0.055214	i
38257.4	19.006567	0.064096	i
38350.7	18.830579	0.053924	i
38448.6	18.881401	0.060732	i
38564.2	18.977414	0.076636	i
38664.8	18.831566	0.063468	i
38755.5	18.842164	0.064393	i
38850.5	18.759353	0.067221	i
38941.2	18.857914	0.076155	i
39045.8	18.846344	0.060323	i
39147.5	19.027828	0.121379	i
39243.0	18.900789	0.07435	i
39333.1	18.894974	0.070457	i
39426.8	18.895798	0.069897	i
39547.0	18.837498	0.06858	i
39640.8	19.014744	0.088924	i
39733.9	18.893202	0.073621	i
39828.7	18.944679	0.072566	i
39922.4	18.976407	0.073743	i
40015.0	19.061516	0.090713	i
41409.2	19.007696	0.08502	i
41581.4	18.908167	0.073572	i
41673.8	18.987024	0.076181	i
41767.1	19.019758	0.097723	i
41880.4	19.165098	0.089784	i
41975.8	19.118954	0.08919	i
42075.8	19.031719	0.086104	i
42176.0	18.928278	0.0911	i
42285.2	19.137048	0.109824	i
42479.5	19.122803	0.102928	i
42582.1	19.179572	0.100645	i
42671.6	19.19437	0.115485	i
42794.4	19.121623	0.094952	i
43102.7	19.146474	0.098386	i
43224.0	19.042164	0.089494	i
43314.1	19.263192	0.112939	i
43628.1	19.024624	0.095084	i
43828.2	19.470459	0.160958	i
43921.0	19.216157	0.116147	i
44017.1	19.307284	0.120034	i
44331.3	19.245726	0.121571	i
44423.8	19.221123	0.105382	i
44617.1	19.225501	0.125312	i
44733.2	19.004349	0.109946	i
44949.3	19.139554	0.099177	i
45263.2	19.141271	0.101633	i
45385.4	19.172074	0.10591	i
45482.5	19.37409	0.143739	i
45695.1	19.332196	0.116059	i
46181.7	19.334333	0.130172	i
46303.3	19.015805	0.111062	i
38019.05	18.800194	0.005237	i
29823.05	18.25959	0.054615	Z
30116.05	18.24713	0.053346	Z
30203.05	18.249888	0.053831	Z
30500.05	18.289032	0.055669	Z
30597.05	18.223678	0.050249	Z
30894.05	18.249109	0.0531	Z
30985.1	18.202272	0.05152	Z
31271.1	18.173595	0.051566	Z
31389.1	18.326499	0.057849	Z
31684.1	18.297114	0.054887	Z
31780.1	18.410168	0.063013	Z
32080.1	18.261066	0.052712	Z
32173.15	18.252618	0.05353	Z
32472.15	18.343774	0.059153	Z
32563.15	18.360172	0.057839	Z
32854.149999999994	18.349069	0.062385	Z
32966.149999999994	18.300222	0.05747	Z
33259.149999999994	18.548698	0.071528	Z
33361.149999999994	18.40894	0.066618	Z
33649.149999999994	18.350062	0.062369	Z
33740.149999999994	18.434619	0.066045	Z
34051.149999999994	18.503722	0.070518	Z
34147.149999999994	18.422446	0.066019	Z
34433.149999999994	18.494351	0.075146	Z
35411.149999999994	18.454108	0.073785	Z
35701.149999999994	18.434281	0.082715	Z
36090.149999999994	18.395108	0.073052	Z
36567.149999999994	18.52416	0.081098	Z
36987.149999999994	18.543433	0.082837	Z
37659.149999999994	18.488815	0.078217	Z
37749.149999999994	18.515729	0.085144	Z
38067.149999999994	18.539094	0.08521	Z
38164.149999999994	18.557733	0.08391	Z
38460.149999999994	18.774155	0.099833	Z
38572.149999999994	18.519659	0.088347	Z
38858.149999999994	18.565198	0.094616	Z
38949.149999999994	18.754351	0.113065	Z
39252.149999999994	18.664492	0.107625	Z
39340.149999999994	18.533209	0.090994	Z
39649.2	18.7358	0.11783	Z
39745.2	18.736793	0.118783	Z
41887.25	18.865633	0.121907	Z
43114.25	18.614239	0.108497	Z
38066.65	18.512128	0.011597	Z
29915.05	18.052959	0.06538	Y
30017.05	18.081911	0.067989	Y
30306.05	18.249125	0.078302	Y
30408.05	18.046731	0.06516	Y
30695.05	18.198106	0.073814	Y
30794.05	18.267557	0.081142	Y
31087.1	18.143817	0.072743	Y
31180.1	18.155607	0.075375	Y
31484.1	18.106491	0.070658	Y
31575.1	18.466368	0.096434	Y
31884.1	18.242864	0.078943	Y
31987.1	18.063048	0.067069	Y
