GRB		GCN		Telescope
000131		1133		 hubble space
000301		1063		 hubble space
000301		1603		 1.52-m Loiano
000301		569		westerbork synthesis radio
000301		571		 152 cm
000301		572		calar alto 3.5-m
000301		573		 flwo 1.2m
000301		575		 3.6-m cfh
000301		577		behalf of subaru
000301		577		 subaru 8m
000301		577		  subaru
000301		578		 mdm 1.3m
000301		579		 1.23 m
000301		580		iram 30 m
000301		581		 flwo 1.2m
000301		583		 usnofs 1.0-m
000301		584		  hobby-eberly
000301		584		  hobby-eberly
000301		585		 mdm 1.3m
000301		587		behalf of subaru
000301		587		  subaru
000301		588		 3.6-m cfh
000301		591		2.34m vainu bappu
000301		592		 3.6-m cfh
000301		593		wise observatory 1-m
000301		595		  1-metre
000301		597		  2.1m
000301		598		 3.6-m cfh
000301		599		152 cm loiano
000301		605		 keck-ii 10-m
000301		606		 2.7 meter
000301		607		 2.7 meter
000301		610		 3.6-m cfh
000301		611		 3.6-m cfh
000301		611		  
000301		6219		 Large Binocular
000301		623		 3.6-m cfh
000301		701		 hubble space
000301		766		 flwo 1.2m
000301		831		 3.6-m cfh
000301		831		  
000301		886		4.2m william herschel
000418		1061		 hubble space
000418		1182		james clark maxwell
000418		645		calar alto 3.5-m
000418		645		  same
000418		645		calar alto 1.23-m
000418		646		 mdm 2.4m
000418		650		 mdm 2.4m
000418		652		nofs 1.3-m automated
000418		653		 mdm 2.4m
000418		656		 usnofs 1.0-m
000418		661		keck ii 10-m
000418		662		 usnofs 1.0-m
000418		669		 keck i
000418		689		 palomar 200-inch
000418		689		keck i 10-m
000418		733		 hubble space
000418		886		4.2m william herschel
000911		793		 mso 50-inch
000911		795		stromlo observatory 50-inch
000911		796		 keck ii
000911		796		 mso 50-inch
000911		796		18.6. results are:
000911		798		james clerk maxwell
000911		798		  jcmt
000911		800		 usnofs 1.0-m
000911		815		 nordic optical
000926		1091		  6-m
000926		28696		swift  
000926		803		  2.2m.
000926		807		 nordic optical
000926		808		 hubble space
000926		809		2.56-m nordic optical
000926		811		 palomar 60-inch
000926		816		 azt-24 1.1-meter
000926		817		40-cm f6.3 sct
000926		818		 3.6-m cfh
000926		819		flagstaff station, 1.0-m
000926		821		behalf of subaru
000926		821		 subaru 8.2m
000926		823		 3.6-m cfh
000926		826		 3.6-m cfh
000926		827		 3.6-m cfh
000926		830		 3.6-m cfh
000926		831		 3.6-m cfh
000926		831		  
000926		840		2.5m nordic optical
000926		844		  same
000926		850		2.5m isaac newton
000926		851		 wmko keck-ii
000926		886		4.2m william herschel
010222		1000		 3.6-m cfh
010222		1002		2.5m nordic optical
010222		1002		 usno 1.0m
010222		1002		 rc err
010222		1003		 3.6-m cfh
010222		1004		james clerk maxwell
010222		1007		stereoscopic hegra cherenkov
010222		1009		vatican advanced technology
010222		1082		4.2-m william herschel
010222		1182		james clark maxwell
010222		15394		  AS-32
010222		1898		 ESO NTT
010222		965		observatory 1.5m tillinghast
010222		967		 usnofs 1.0-m
010222		973		 wise 1-metre
010222		976		meter jacobus kapteyn
010222		977		 azt-24 1.1-meter
010222		980		 0.72 m
010222		982		152 cm loiano
010222		984		 0.30-m schmidt-cassegren
010222		986		  0.72-m
010222		987		 usnofs 1.0-m
010222		989		keck i 10-m
010222		990		  0.4m
010222		992		  0.72-m
010222		993		  subaru
010222		994		 hubble space
010222		996		james clark millimetre
010222		996		 iram 30-m
010222		998		 3.6-m cfh
010222		999		 keck-ii 10-m
010921		1099		 hale 200-inch
010921		1100		 usnofs 1.0-m
010921		1101		 nofs 1.0m
010921		1107		 palomar 200-inch
010921		1107		 usnofs 1.0-m
010921		1113		 tautenburg schmidt
010921		1117		 palomar 200-inch
010921		1117		 palomar 60-inch
010921		1117		 usnofs 1.0-metre
