Time	Mag(Unfiltered,P45) MagErr(Unfiltered,P45)	Mag(Unfiltered,P135) MagErr(Unfiltered,P135)
79.	15.26    0.04	15.43    0.05
127.	15.61    0.05	15.71    0.05
187.	16.17    0.06	16.18    0.06
276.	16.47    0.08	16.54    0.07
389.	17.14    0.10	16.79    0.08
502.	17.48    0.12	17.49    0.10
659.	17.89    0.14	17.71    0.10
827.	18.13    0.16	18.22    0.12
1015.	18.38    0.17	18.16    0.12
1246.	18.48    0.18	18.86    0.14
1465.	19.01    0.21	18.50    0.13
1688.	18.68    0.19	18.85    0.14
1914.	18.98    0.21	18.87    0.13
2142.	19.03    0.19	19.09    0.14
