Filter         T_start(s)   T_stop(s)      Exp(s)           Mag

white (fc)         161          311          147         19.34 +/- 0.10
white              600         2418          341         19.80 +/- 0.13 
white             6755         8196          201        >20.82
v                  650         7366          400         19.40 +/- 0.25
b                  575         2393          194         19.71 +/- 0.35
b                 6550         8186          393        >20.10
u (fc)             319          569          245         19.44 +/- 0.20
u                  724         2368          174        >19.22
w1                 699         7776          540        >20.5
m2                1082         7570          432        >21.1
w2                1206         7161          294        >20.7
