GRB 071010A

covino08

Mean date (ut)	t−tGRB (d)	Exposure time (s)	Airmass	Filter	Instrument	Magnitude
2007 October 11.036 01	0.882 40	60 × 2	1.2	U	VLT+FORS2	20.77 ± 0.07
2007 October 12.011 51	1.857 90	60 × 1	1.1	U	VLT+FORS2	22.11 ± 0.13
2007 October 11.039 45	0.885 84	60 × 2	1.2	B	VLT+FORS2	21.16 ± 0.04
2007 October 12.021 97	1.868 36	60 × 5	1.1	B	VLT+FORS2	22.75 ± 0.05
2007 October 10.840 27	0.686 66	0.1 × 6000	3.9	V	NOT+PolCor	20.20 ± 0.09
2007 October 11.033 76	0.880 15	40 × 1	1.2	V	VLT+FORS1	20.35 ± 0.04
2007 October 11.038 80	0.885 19	225 × 1	1.2	V	VLT+FORS1	20.34 ± 0.04
2007 October 11.041 64	0.888 03	60 × 1	1.2	V	VLT+FORS2	20.35 ± 0.04
2007 October 11.041 88	0.888 27	225 × 1	1.2	V	VLT+FORS1	20.36 ± 0.04
2007 October 11.044 96	0.891 35	225 × 1	1.2	V	VLT+FORS1	20.36 ± 0.04
2007 October 11.048 04	0.894 43	225 × 1	1.2	V	VLT+FORS1	20.37 ± 0.04
2007 October 11.051 35	0.897 74	225 × 1	1.2	V	VLT+FORS1	20.39 ± 0.04
2007 October 11.054 41	0.900 80	225 × 1	1.3	V	VLT+FORS1	20.40 ± 0.04
2007 October 11.057 48	0.903 87	225 × 1	1.3	V	VLT+FORS1	20.40 ± 0.04
2007 October 11.060 56	0.906 95	225 × 1	1.2	V	VLT+FORS1	20.42 ± 0.04
2007 October 11.209 25	1.055 64	180 × 1	1.7	V	Keck_I+LRIS	20.62 ± 0.04
2007 October 11.212 38	1.058 77	180 × 1	1.7	V	Keck_I+LRIS	20.62 ± 0.04
2007 October 12.026 82	1.873 21	60 × 2	1.1	V	VLT+FORS2	21.94 ± 0.04
2007 October 13.008 48	2.854 87	60 × 2	1.1	V	VLT+FORS2	22.75 ± 0.04
2007 October 10.201 07	0.047 45	100 × 1	1.7	R	Keck_I+LRIS	18.15 ± 0.06
2007 October 10.203 51	0.049 90	100 × 1	1.7	R	Keck_I+LRIS	18.25 ± 0.04
2007 October 10.285 70	0.132 09	120 × 1	2.2	R	Keck_I+LRIS	18.94 ± 0.04
2007 October 10.288 84	0.135 23	30 × 1	2.3	R	Keck_I+LRIS	18.98 ± 0.04
2007 October 10.292 30	0.138 69	30 × 1	2.3	R	Keck_I+LRIS	18.97 ± 0.04
2007 October 10.293 75	0.140 14	30 × 1	2.4	R	Keck_I+LRIS	18.98 ± 0.04
2007 October 10.295 30	0.141 69	30 × 1	2.4	R	Keck_I+LRIS	19.00 ± 0.04
2007 October 10.580 79	0.427 19	300 × 4	2.3	R	Sampurnanand	20.00 ± 0.20
2007 October 11.043 11	0.889 50	60 × 1	1.2	R	VLT+FORS2	19.78 ± 0.04
2007 October 11.067 35	0.913 74	180 × 1	1.3	R	VLT+FORS1	19.83 ± 0.04
2007 October 11.199 98	1.046 37	30 × 1	1.7	R	Keck_I+LRIS	20.05 ± 0.04
2007 October 11.201 62	1.048 01	30 × 1	1.7	R	Keck_I+LRIS	20.01 ± 0.05
2007 October 11.203 47	1.049 86	45 × 1	1.7	R	Keck_I+LRIS	20.03 ± 0.04
2007 October 11.205 82	1.052 21	45 × 1	1.7	R	Keck_I+LRIS	20.04 ± 0.04
2007 October 12.029 61	1.876 00	60 × 1	1.1	R	VLT+FORS2	21.34 ± 0.04
2007 October 13.014 53	2.860 92	60 × 5	1.1	R	VLT+FORS2	22.14 ± 0.04
2007 October 14.009 19	3.855 58	60 × 5	1.1	R	VLT+FORS2	22.87 ± 0.05
2007 October 16.018 41	5.864 80	60 × 15	1.2	R	VLT+FORS2	23.80 ± 0.08
2007 October 16.209 48	6.055 86	3 × 150	1.7	R	Keck_I+LRIS	24.03 ± 0.05
2007 October 10.827 11	0.673 50	0.1 × 6000	3.2	I	NOT+PolCor	18.81 ± 0.05
2007 October 11.044 57	0.890 96	60 × 1	1.2	I	VLT+FORS2	19.14 ± 0.03
2007 October 12.032 23	1.878 62	60 × 2	1.2	I	VLT+FORS2	20.65 ± 0.03
2007 October 14.015 44	3.861 83	60 × 5	1.1	I	VLT+FORS2	22.23 ± 0.05
2007 October 16.015 65	5.862 04	60 × 15	1.1	I	VLT+FORS2	23.06 ± 0.10
2007 October 27.000 14	16.846 53	180 × 3	1.2	I	VLT+FORS2	24.41 ± 0.29
2007 November 11.014 43	30.860 82	180 × 9	1.5	I	VLT+FORS2	24.44 ± 0.25
2007 October 10.157 42	0.003 81	10 × 5	2.3	J	REM+REMIR	14.72 ± 0.18
2007 October 10.164 98	0.011 37	30 × 5	2.5	J	REM+REMIR	15.08 ± 0.13
2007 October 10.167 37	0.013 76	240	2.5	J	GROND	15.16 ± 0.11
2007 October 10.178 56	0.024 95	60 × 5	3.0	J	REM+REMIR	15.64 ± 0.13
2007 October 10.264 26	0.110 53	30 × 9	2.0	J	GEMINI_N+NIRI	16.90 ± 0.05
2007 October 11.152 18	0.998 56	1200	2.2	J	GROND	17.76 ± 0.10
2007 October 13.010 86	2.857 26	60 × 15	1.1	J	NTT+SofI	19.90 ± 0.08
2007 October 10.155 19	0.001 58	10 × 5	2.3	H	REM+REMIR	14.43 ± 0.15
2007 October 10.160 38	0.006 77	30 × 5	2.4	H	REM+REMIR	14.02 ± 0.10
2007 October 10.167 37	0.013 76	240	2.5	H	GROND	14.38 ± 0.05
2007 October 10.170 49	0.016 88	60 × 5	2.8	H	REM+REMIR	14.52 ± 0.10
2007 October 10.272 97	0.119 36	60 × 12	2.1	H	GEMINI_N+NIRI	16.12 ± 0.05
2007 October 10.820 59	0.666 98	60 × 30	2.1	H	TNG+NICS	16.62 ± 0.04
2007 October 11.152 18	0.998 56	1200	2.2	H	GROND	16.94 ± 0.05
2007 October 13.048 76	2.895 15	60 × 20	1.2	H	NTT+SofI	19.01 ± 0.07
2007 October 10.156 32	0.002 71	10 × 5	2.3	K	REM+REMIR	13.42 ± 0.20
2007 October 10.162 70	0.009 09	30 × 5	2.4	K	REM+REMIR	13.39 ± 0.12
2007 October 10.167 37	0.013 76	240	2.5	K	GROND	13.66 ± 0.07
2007 October 10.174 55	0.020 94	60 × 5	2.8	K	REM+REMIR	14.04 ± 0.14
2007 October 10.289 11	0.135 50	30 × 6	2.3	K	GEMINI_N+NIRI	15.31 ± 0.05
2007 October 11.152 18	0.998 56	1200	2.2	K	GROND	16.10 ± 0.05
2007 October 13.027 86	2.874 25	60 × 25	1.1	K	NTT+SofI	18.20 ± 0.06
2007 October 10.155 23	0.001 61	31	2.3	Clear	TAROT	17.57 ± 0.15
2007 October 10.155 64	0.002 03	29	2.3	Clear	TAROT	17.20 ± 0.10
2007 October 10.157 93	0.004 32	90	2.3	Clear	TAROT	16.52 ± 0.10
2007 October 10.159 04	0.005 43	90	2.3	Clear	TAROT	16.39 ± 0.10
2007 October 10.160 23	0.006 61	91	2.3	R	TAROT	16.60 ± 0.10
2007 October 10.161 38	0.007 77	90	2.4	Clear	TAROT	16.68 ± 0.10
2007 October 10.162 49	0.008 88	89	2.4	Clear	TAROT	16.82 ± 0.10
2007 October 10.163 67	0.010 06	89	2.5	R	TAROT	16.97 ± 0.10
2007 October 10.164 84	0.011 23	90	2.5	Clear	TAROT	17.00 ± 0.10
2007 October 10.165 95	0.012 34	91	2.5	Clear	TAROT	17.10 ± 0.10
2007 October 10.167 14	0.013 53	90	2.5	R	TAROT	17.03 ± 0.10
2007 October 10.168 29	0.014 68	90	2.6	Clear	TAROT	17.20 ± 0.10
2007 October 10.169 40	0.015 79	90	2.6	Clear	TAROT	17.16 ± 0.10
2007 October 10.170 59	0.016 98	91	2.6	R	TAROT	17.27 ± 0.12
2007 October 10.186 39	0.032 78	365	3.3	Clear	TAROT	17.91 ± 0.12
2007 October 10.192 98	0.039 36	365	3.6	Clear	TAROT	17.98 ± 0.12
