Table 1. 
Optical Afterglow Photometry Log? of GRB 140629A by TNT
T ? T0 		Exposure 	Filter 		Mag 		? 		T ? T0 		Exposure 	Filter 		Mag 		?
3087 		40 		B 		17.47 		0.18		2722 		60 		R 		16.46 		0.08
2950 		40 		V 		17.05 		0.15 		2800 		60 		R 		16.76 		0.10
3308 		60 		V 		17.17 		0.11 		2878 		60 		R 		16.94 		0.11
3471 		60 		V 		17.40 		0.12 		3077 		40 		R 		16.71 		0.11
3633 		60 		V 		17.42 		0.10 		3251 		40 		R 		16.69 		0.10
3795 		60 		V 		17.33 		0.08 		3414 		40 		R 		16.55 		0.11
3957 		60 		V 		17.41 		0.08 		3576 		40 		R 		16.94 		0.08
4120 		60 		V 		17.55 		0.09 		3738 		40 		R 		17.04 		0.08
4272 		60 		V 		17.58 		0.09 		3901 		40 		R 		16.91 		0.07
4424 		60 		V 		17.65 		0.09 		4063 		40 		R 		17.23 		0.09
4577 		60 		V 		17.80 		0.11 		4215 		40 		R 		17.12 		0.07
4729 		60 		V 		17.84 		0.12 		4368 		40 		R 		17.23 		0.08
4881 		60 		V 		17.98 		0.12 		4520 		40 		R 		17.21 		0.08
5044 		80 		V 		17.81 		0.10 		4672 		40 		R 		17.39 		0.09
5216 		80 		V 		17.97 		0.11 		4824 		40 		R 		17.40 		0.09
5408 		80 		V 		17.88 		0.09 		4977 		40 		R 		17.60 		0.11
5600 		80		V 		17.81 		0.10 		5149 		40 		R 		17.55 		0.10
5813 		80		V 		18.13 		0.13 		5341 		40 		R 		17.09 		0.14
6025 		80 		V 		18.15 		0.14		5534 		40 		R 		17.73		0.19
6247 		100 		V 		18.04 		0.12 		5736 		60 		R 		17.81		0.12
6529 		100 		V 		17.93 		0.12 		5948 		60 		R 		17.65		0.10
611 		60 		R 		14.85 		0.02 		6160 		60 		R 		17.76		0.11
690 		60 		R 		14.99 		0.03 		6433 		80 		R 		17.95 		0.12
768 		60 		R 		15.07 		0.03 		6715 		80 		R 		17.70 		0.12
846 		60 		R 		15.16 		0.03 		7027 		100 		R 		17.73 		0.12
924 		60 		R 		15.22 		0.03 		7407 		120 		R 		17.84 		0.13
1003 		60 		R 		15.37 		0.03 		7729 		200 		R 		17.83 		0.09
1081 		60		R 		15.47 		0.03 		3367 		40 		I 		16.56 		0.10
1159 		60 		R 		15.61 		0.04 		3529 		40 		I 		16.55 		0.08
1237 		60 		R 		15.59 		0.03 		3691 		40 		I 		16.63 		0.09
1315 		60 		R 		15.64 		0.04 		3854 		40 		I 		16.53 		0.07
1393 		60 		R 		15.75 		0.05 		4016 		40 		I 		16.75 		0.08
1471 		60 		R 		15.97 		0.05 		4173 		30 		I 		16.70 		0.09
1549 		60 		R 		15.93 		0.04 		4326 		30 		I 		16.81 		0.09
1628 		60 		R 		16.01 		0.04 		4478 		30 		I 		16.94 		0.10
1706 		60 		R 		16.04 		0.05 		4630 		30 		I 		16.83 		0.10
1784 		60 		R 		16.15 		0.05 		4783 		30 		I 		17.10 		0.12
1862 		60 		R 		16.06 		0.05 		4935 		30 		I 		16.93 		0.11
1940 		60 		R 		16.29 		0.06 		5107 		30 		I 		17.07 		0.12
2018 		60 		R 		16.12 		0.05 		5482 		50 		I 		17.29 		0.11
2096 		60 		R 		16.27 		0.06 		5674 		50 		I 		17.26 		0.12
2175 		60 		R 		16.30 		0.07 		5886 		50 		I 		17.22 		0.11
2253 		60 		R 		16.34 		0.07 		6099 		50 		I 		17.46 		0.14
2331 		60 		R 		16.46 		0.08 		6346 		80 		I 		17.35 		0.10
2409 		60 		R 		16.47 		0.07 		6628 		80 		I 		17.29 		0.11
2487 		60 		R 		16.49 		0.08 		6930 		80 		I 		17.21 		0.12
2566 		60 		R 		16.53 		0.07 		7290 		100 		I 		17.84 		0.23
2644 		60 		R 		16.61 		0.09
