GRB140614A
Filter         T_start(s)   T_stop(s)      Exp(s)         Mag

white_FC           132          281          147         >21.5
u_FC               290          539          246         >20.5
white              132          763          186         >21.6
v                  620         1668           39         >19.1
b                  546          739           39         >19.6
u                  290          714          265         >20.5
w1                 670         1718           39         >19.1
m2                 645         1693           39         >18.9
w2                 596          783           34         >20.4
