Filter         T_start(s)   T_stop(s)      Exp(s)         Mag

white_FC           118          268          147         >20.7
u_FC               276          526          246         >19.4
white              118         6151          541         >21.3
v                 4927         6395          229         >20.0
b                 4312         5947          393         >21.2
u                  276         5742          639         >20.6
w1                3902         5537          393         >20.2
m2                5132         5332          197         >19.7
w2                4723         6357          393         >20.8
