GRB150910A
Photometry Log of GRB 150910A
T–T0(mid, s) 	Exp (s) 	Maga 		o 	Filter		Telescope, GCN
									Circ., References
228 		73 		19.90 		0.01 	W 		UVOT,18270, (1)
229 		72 		19.93 		0.01 	W 		UVOT,18270, (1)
602 		9.5		17.09 		0.01 	W 		UVOT,18270, (1)
775 		9.5 		16.67 		0.01 	W 		UVOT,18270, (1)
941 		73 		16.30 		0.01 	W 		UVOT,18270, (1)
578 		9.5 		17.56 		0.01 	b 		UVOT,18270, (1)
751 		9.5 		16.87 		0.01 	b 		UVOT,18270, (1)
1815 		10 		16.81 		0.12 	V 		KAIT
1915 		10 		16.82 		0.13 	V 		KAIT
2014 		10 		16.96 		0.14 	V 		KAIT
2112 		10 		16.83 		0.12 	V 		KAIT
2212 		10 		17.08 		0.16 	V 		KAIT
2312 		10 		17.01 		0.15 	V 		KAIT
2412 		10 		17.36 		0.17 	V 		KAIT
2510 		10 		17.05 		0.17 	V 		KAIT
2614 		10 		17.06 		0.18 	V 		KAIT
2714 		10 		17.15 		0.17 	V 		KAIT
2814 		10 		17.07 		0.12 	V 		KAIT
2914 		10 		17.66 		0.14 	V 		KAIT
3013 		10 		17.52 		0.20 	V 		KAIT
3113 		10 		17.38 		0.22 	V 		KAIT
2,583,936 	2 × 300 	>24.30 			L 		V Keck
1849 		10 		15.74 		0.08 	I 		KAIT
1947 		10 		15.78 		0.08 	I 		KAIT
2045 		10 		15.85 		0.08 	I 		KAIT
2145 		10 		15.99 		0.09 	I 		KAIT
2245 		10 		16.04 		0.09 	I 		KAIT
2345 		10 		16.10 		0.12 	I 		KAIT
2445 		10 		16.10 		0.09 	I 		KAIT
2549 		10 		16.19 		0.12 	I 		KAIT
2648 		10 		16.27 		0.08 	I 		KAIT
2748 		10 		16.28 		0.10 	I 		KAIT
2848 		10 		16.60 		0.13 	I 		KAIT
2946 		10 		16.51 		0.11 	I 		KAIT
3046 		10 		16.38 		0.09 	I 		KAIT
3144 		10 		16.54 		0.11 	I 		KAIT
3209 		10 		16.67 		0.16 	I 		KAIT
3276 		10 		16.82 		0.13 	I 		KAIT
3342 		10 		16.76 		0.11 	I 		KAIT
3409 		10 		16.95 		0.14 	I 		KAIT
3476 		10 		16.89 		0.12 	I 		KAIT
3541 		10 		16.74 		0.13 	I 		KAIT
3608 		10 		16.86 		0.14 	I 		KAIT
3674 		10 		16.93 		0.13 	I 		KAIT
3739 		10 		16.78 		0.13 	I 		KAIT
3806 		10 		17.01 		0.14 	I 		KAIT
3873 		10 		16.97 		0.13 	I		KAIT
3940 		10 		16.97 		0.19 	I		KAIT
4007 		10 		16.99 		0.17 	I 		KAIT
4080 		10 		17.09 		0.11 	I 		KAIT
4146 		10 		17.17 		0.15 	I 		KAIT
4213 		10 		17.15 		0.11 	I 		KAIT
4280 		10 		17.20 		0.14 	I 		KAIT
4516 		10 		16.99 		0.16 	I 		KAIT
4583 		10 		17.16 		0.19 	I 		KAIT
4650 		10 		17.11 		0.15 	I 		KAIT
4717 		10 		17.29 		0.17 	I 		KAIT
4783 		10 		17.21 		0.16 	I 		KAIT
4850 		10 		17.25 		0.15 	I 		KAIT
4915 		10 		17.16 		0.11 	I 		KAIT
4982 		10 		17.31 		0.16 	I 		KAIT
5048 		10 		17.62 		0.21 	I 		KAIT
5115 		10 		17.35 		0.24 	I 		KAIT
5182 		10 		17.62 		0.18 	I 		KAIT
5249 		10 		17.14 		0.26 	I 		KAIT
5316 		10 		17.34 		0.19 	I 		KAIT
5382 		10 		17.16 		0.14 	I 		KAIT
5845 		10 		17.30 		0.21 	I 		KAIT
5912 		10 		17.48 		0.16 	I 		KAIT
5979 		10 		17.31 		0.16 	I 		KAIT
6046 		10 		17.52 		0.20 	I 		KAIT
6112 		10 		17.48 		0.22 	I 		KAIT
6177 		10 		17.47 		0.24 	I 		KAIT
6244 		10 		17.78 		0.30 	I 		KAIT
2583936 	2 × 300 	>23.30 		L 	I 		Keck
1782 		10 		16.18 		0.04 	Clear 		KAIT
1882 		10 		16.24 		0.04 	Clear 		KAIT
1980 		10 		16.31 		0.04 	Clear 		KAIT
2078 		10 		16.34 		0.03 	Clear 		KAIT
2178 		10 		16.36 		0.04 	Clear 		KAIT
2278 		10 		16.45 		0.04 	Clear 		KAIT
2378 		10 		16.47 		0.04 	Clear 		KAIT
2478 		10 		16.52 		0.03 	Clear 		KAIT
