GRB141121A
Table 2
Log of Observations
T-T0 	Mag 		Flux 		Band 	Instrument
(days) 			(?Jy)	
0.197 	19.53 ± 0.08 	56.05 ± 4.35 	r? 	RATIR
0.239 	19.50 ± 0.07 	57.62 ± 3.62 	r? 	RATIR
0.282 	19.55 ± 0.07 	54.79 ± 3.58 	r? 	RATIR
0.324 	19.59 ± 0.07 	53.15 ± 3.64 	r? 	RATIR
0.361 	19.69 ± 0.07 	48.28 ± 3.05 	r? 	RATIR
1.152 	20.67 ± 0.07 	19.67 ± 1.25 	r? 	RATIR
1.208 	20.73 ± 0.07 	18.61 ± 1.12 	r? 	RATIR
1.264 	20.77 ± 0.07 	17.84 ± 1.07 	r? 	RATIR
1.321 	20.80 ± 0.06 	17.43 ± 1.01 	r? 	RATIR
1.365 	20.78 ± 0.04 	17.77 ± 0.73 	r? 	RATIR
2.186 	20.59 ± 0.09 	21.08 ± 1.67 	r? 	RATIR
2.241 	20.53 ± 0.06 	22.33 ± 1.24 	r? 	RATIR
2.287 	20.48 ± 0.06 	23.40 ± 1.22 	r? 	RATIR
2.346 	20.54 ± 0.06 	22.04 ± 1.21 	r? 	RATIR
2.382 	20.55 ± 0.04 	21.84 ± 0.88 	r? 	RATIR
3.167 	20.55 ± 0.09 	21.90 ± 1.91 	r? 	RATIR
3.223 	20.61 ± 0.12 	20.62 ± 2.30 	r? 	RATIR
3.279 	20.60 ± 0.08 	20.93 ± 1.63 	r? 	RATIR
3.336 	20.62 ± 0.07 	20.59 ± 1.28 	r? 	RATIR
3.371 	20.60 ± 0.05 	20.83 ± 0.91 	r? 	RATIR
4.151 	20.86 ± 0.12 	16.50 ± 1.87 	r? 	RATIR
4.210 	21.01 ± 0.15 	14.35 ± 2.04 	r? 	RATIR
4.252 	20.93 ± 0.12 	15.49 ± 1.76 	r? 	RATIR
4.302 	20.83 ± 0.10 	16.90 ± 1.61 	r? 	RATIR
4.357 	20.94 ± 0.07 	15.28 ± 1.01 	r? 	RATIR
5.187 	21.12 ± 0.09 	12.91 ± 1.13 	r? 	RATIR
5.242 	21.20 ± 0.09 	11.99 ± 1.04 	r? 	RATIR
5.296 	21.15 ± 0.08 	12.59 ± 0.92 	r? 	RATIR
5.351 	21.22 ± 0.06 	11.76 ± 0.68 	r? 	RATIR
6.182 	21.39 ± 0.14 	10.07 ± 1.28 	r? 	RATIR
6.237 	21.47 ± 0.11 	9.35 ± 0.98 	r? 	RATIR
6.292 	21.56 ± 0.12 	8.61 ± 0.97 	r? 	RATIR
6.350 	21.61 ± 0.14 	8.22 ± 1.07 	r? 	RATIR
6.385 	21.58 ± 0.10 	8.47 ± 0.77 	r? 	RATIR
7.172 	21.67 ± 0.14 	7.79 ± 1.03 	r? 	RATIR
7.228 	21.74 ± 0.13 	7.30 ± 0.90 	r? 	RATIR
7.283 	21.93 ± 0.17 	6.16 ± 0.99 	r? 	RATIR
7.339 	21.97 ± 0.20 	5.94 ± 1.12 	r? 	RATIR
7.379 	22.05 ± 0.14 	5.48 ± 0.68 	r? 	RATIR
8.167 	21.91 ± 0.16 	6.26 ± 0.93 	r? 	RATIR
8.223 	22.09 ± 0.20 	5.29 ± 0.97 	r? 	RATIR
8.279 	22.02 ± 0.17 	5.63 ± 0.87 	r? 	RATIR
8.336 	22.25 ± 0.19 	4.58 ± 0.80 	r? 	RATIR
8.371 	22.30 ± 0.14 	4.37 ± 0.57 	r? 	RATIR
9.161 	22.11 ± 0.24 	5.20 ± 1.16 	r? 	RATIR
9.236 	22.28 ± 0.24 	4.45 ± 0.98 	r? 	RATIR
9.298 	22.27 ± 0.23 	4.49 ± 0.95 	r? 	RATIR
9.362 	21.98 ± 0.13 	5.86 ± 0.68 	r? 	RATIR
10.158	22.05 ± 0.20 	5.50 ± 1.02 	r? 	RATIR
16.245	23.33 ± 0.23 	1.68 ± 0.36 	r? 	RATIR
21.261	23.50 ± 0.23 	1.44 ± 0.31 	r? 	RATIR
0.198 	19.31 ± 0.08 	68.60 ± 4.75	i? 	RATIR
0.239 	19.33 ± 0.07 	67.05 ± 4.02 	i? 	RATIR
0.282 	19.38 ± 0.07 	64.41 ± 3.97 	i? 	RATIR
0.324 	19.43 ± 0.07 	61.54 ± 3.93 	i? 	RATIR
0.361 	19.48 ± 0.06 	58.50 ± 3.21 	i? 	RATIR
1.152 	20.56 ± 0.07 	21.77 ± 1.40 	i? 	RATIR
1.208 	20.60 ± 0.06 	20.82 ± 1.23 	i? 	RATIR
1.264 	20.67 ± 0.06 	19.63 ± 1.14 	i? 	RATIR
1.321 	20.68 ± 0.06 	19.39 ± 1.15 	i? 	RATIR
1.365 	20.72 ± 0.05 	18.72 ± 0.78 	i? 	RATIR
2.186 	20.46 ± 0.09 	23.72 ± 1.98 	i? 	RATIR
2.241 	20.37 ± 0.06 	25.72 ± 1.46 	i? 	RATIR
2.287 	20.40 ± 0.06 	25.02 ± 1.40 	i? 	RATIR
2.346 	20.36 ± 0.06 	26.08 ± 1.41 	i? 	RATIR
2.382 	20.39 ± 0.04 	25.43 ± 1.03 	i? 	RATIR
3.184 	20.37 ± 0.11 	25.83 ± 2.66 	i? 	RATIR
3.243 	20.46 ± 0.12 	23.72 ± 2.61 	i? 	RATIR
3.298 	20.37 ± 0.08 	25.76 ± 1.81 	i? 	RATIR
3.353 	20.52 ± 0.05 	22.54 ± 1.03 	i? 	RATIR
4.151 	20.71 ± 0.12 	18.95 ± 2.10 	i? 	RATIR
4.210 	20.82 ± 0.14 	17.07 ± 2.14 	i? 	RATIR
4.252 	20.66 ± 0.10 	19.81 ± 1.92 	i? 	RATIR
4.302 	20.75 ± 0.11 	18.24 ± 1.78 	i? 	RATIR
4.357 	20.73 ± 0.07 	18.57 ± 1.14 	i? 	RATIR
5.187 	20.93 ± 0.09 	15.39 ± 1.23 	i? 	RATIR
5.242 	20.95 ± 0.08 	15.11 ± 1.17 	i? 	RATIR
5.296 	21.06 ± 0.08 	13.73 ± 1.04 	i? 	RATIR
5.351 	20.94 ± 0.06 	15.34 ± 0.80 	i? 	RATIR
6.182 	21.36 ± 0.14 	10.37 ± 1.37 	i? 	RATIR
6.237 	21.41 ± 0.11 	9.87 ± 0.96 	i? 	RATIR
6.292 	21.35 ± 0.11 	10.49 ± 1.04 	i? 	RATIR
6.350 	21.40 ± 0.13 	9.99 ± 1.16 	i? 	RATIR
6.275 	21.31 ± 0.04 	10.82 ± 0.44 	i? 	RATIR
7.172 	21.50 ± 0.13 	9.14 ± 1.07 	i? 	RATIR
7.228 	21.58 ± 0.12 	8.49 ± 0.97 	i? 	RATIR
7.283 	21.49 ± 0.12 	9.21 ± 0.98 	i? 	RATIR
7.339 	21.64 ± 0.15 	8.03 ± 1.09 	i? 	RATIR
7.379 	21.56 ± 0.09 	8.60 ± 0.71 	i? 	RATIR
8.167 	21.91 ± 0.15 	6.28 ± 0.89 	i? 	RATIR
8.223 	21.85 ± 0.14 	6.62 ± 0.86 	i? 	RATIR
8.279 	21.82 ± 0.13 	6.78 ± 0.82 	i? 	RATIR
8.336 	21.95 ± 0.14 	6.05 ± 0.80 	i? 	RATIR
8.371 	21.95 ± 0.11 	6.04 ± 0.58 	i? 	RATIR
9.161 	22.00 ± 0.23 	5.74 ± 1.21 	i? 	RATIR
9.216 	22.03 ± 0.19 	5.62 ± 0.99 	i? 	RATIR
9.271 	22.12 ± 0.18 	5.17 ± 0.88 	i? 	RATIR
9.326 	22.18 ± 0.20 	4.88 ± 0.89 	i? 	RATIR
9.371 	21.91 ± 0.12 	6.26 ± 0.70 	i? 	RATIR
10.158	22.26 ± 0.22 	4.54 ± 0.92 	i? 	RATIR
16.245 	23.34 ± 0.22 	1.68 ± 0.35 	i? 	RATIR
21.261 	23.79 ± 0.32 	1.11 ± 0.33 	i? 	RATIR
Palomar P60
1.270  	20.70 ± 0.03 	19.02 ± 0.51 	r? 	Palomar-P60
2.250  	20.57 ± 0.08 	21.40 ± 1.50 	r? 	Palomar-P60
