Tstart(daltrigger) 	Tend  Tmid(s)  Terr 		Exposure Filter Mag        Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
25.4	 		35.4	-9. 	-9. 10.  	RC      	15.960     100.    -9.   -9.   -9.  	RAPTOR          wozniak05  1 		USNOA2.0 0. 0. 0 E(B-V)=0.01
35.3	 45.3	-9. -9. 10.  RC      16.323	0.046   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
60.3	 70.3	-9. -9. 10.  RC      16.532	0.050   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
85.3	 95.3	-9. -9. 10.  RC      16.722	0.056   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
110.3	 120.3	-9. -9. 10.  RC      16.818	0.055   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
135.3	 145.3	-9. -9. 10.  RC      16.656	0.050   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
160.3	 170.3	-9. -9. 10.  RC      16.870	0.059   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
185.5	 195.5	-9. -9. 10.  RC      17.160	0.080   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
210.3	 220.3	-9. -9. 10.  RC      17.021	0.077   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
235.3	 245.3	-9. -9. 10.  RC      17.084	0.096   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
260.5	 270.5	-9. -9. 10.  RC      17.007	0.087   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
285.3	 315.3	-9. -9. 30.  RC      17.127	0.056   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
330.3	 360.3	-9. -9. 30.  RC      17.309	0.068   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
375.3	 405.3	-9. -9. 30.  RC      17.175	0.053   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
420.5	 450.5	-9. -9. 30.  RC      17.364	0.057   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
465.2	 495.2	-9. -9. 30.  RC      17.138	0.047   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
510.2	 540.2	-9. -9. 30.  RC      17.529	0.065   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
555.2	 585.2	-9. -9. 30.  RC      17.705	0.072   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
600.2	 630.2	-9. -9. 30.  RC      17.642	0.074   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
645.2	 675.2	-9. -9. 30.  RC      17.675	0.074   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
690.2	 720.2	-9. -9. 30.  RC      17.951	0.091   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
735.4	 765.4	-9. -9. 30.  RC      17.920	0.089   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
780.2	 810.2	-9. -9. 30.  RC      17.948	0.087   -9.   -9.   -9.  RAPTOR          wozniak05  0 USNOA2.0 0. 0. 0 E(B-V)=0.01
