							Table 3. RATIR GRB 160625B Data

Days after		Exposure
GRB			(minutes)		r 			i 			Z 			Y 			J 			H
0.37 			1.2 			18.24 ± 0.01 		18.05 ± 0.01 		17.99 ± 0.01 		17.90 ± 0.01 		17.79 ± 0.01 		17.65 ± 0.02
0.39 			1.2 			18.29 ± 0.01 		18.11 ± 0.01 		18.03 ± 0.01 		17.96 ± 0.01 		17.85 ± 0.01 		17.69 ± 0.02
0.41 			1.2 			18.35 ± 0.01 		18.17 ± 0.01 		18.08 ± 0.01 		18.01 ± 0.01 		17.87 ± 0.01 		17.71 ± 0.02
0.43 			1.2 			18.43 ± 0.01 		18.23 ± 0.01 		18.16 ±	 0.01 		18.07 ± 0.02 		17.92 ± 0.01 		17.82 ± 0.01
0.45 			1.2 			18.46 ± 0.01 		18.28 ± 0.01 		18.20 ± 0.01 		18.14 ± 0.02 		17.99 ± 0.01 		17.83 ± 0.01
0.48 			1.2 			18.52 ± 0.01 		18.33 ± 0.01 		18.23 ± 0.01 		18.15 ± 0.01 		17.97 ± 0.01 		17.85 ± 0.01
0.50 			1.2 			18.55 ± 0.01 		18.36 ± 0.01 		18.30 ± 0.01 		18.22 ± 0.01 		18.04 ± 0.01 		17.92 ± 0.01
1.47 			6.6 			19.70 ± 0.01 		19.51 ± 0.01 		19.41 ± 0.02 		19.28 ± 0.02 		19.11 ± 0.02 		18.96 ± 0.03
2.39 			15.0 			20.26 ± 0.03 		19.99 ± 0.01 		19.91 ± 0.01 		19.79 ± 0.02 		19.62 ± 0.02 		19.45 ± 0.02
3.41 			13.8 			20.58 ± 0.01 		20.38 ± 0.01 		20.28 ± 0.02 		20.15 ± 0.03 		19.95 ± 0.03 		19.80 ± 0.04
4.39 			16.8 			20.87 ± 0.01 		20.66 ± 0.01 		20.56 ± 0.02 		20.44 ± 0.03 		20.32 ± 0.04 		20.00 ± 0.04
5.38 			8.4 			21.11 ± 0.02 		20.89 ± 0.02 		20.81 ± 0.04 		20.59 ± 0.04 		20.39 ± 0.05 		20.12 ± 0.06
6.39 			8.4 			21.27 ± 0.02 		21.06 ± 0.02 		20.95 ± 0.05 		20.72 ± 0.06 		20.50 ± 0.07 		20.35 ± 0.09
7.38 			9.0 			21.38 ± 0.02 		21.17 ± 0.02 		21.08 ± 0.04 		20.96 ± 0.05 		20.73 ± 0.06 		20.50 ± 0.07
